setting_id,dataset,task,backbone,fold,seed,method,lambda,I_ERM,I_method,S_I_abs,S_I_rel,method_checkpoint_sha256,erm_checkpoint_sha256,task_outcome_accessed,z_SI
S6,OpenBMI,ERP,EEGConformer,0,1,DANN,0.1,0.09910431354106897,0.048062631990289706,0.05104168155077926,0.5150298682923875,e43b0296284c6ce7a3c1b8dd7b8e5c9a561183c330b1294b3cceb5ec6e08c97d,712904f8c9b22c7be56622e17f4dd3b4c3b9263ad362076d7f9509de127b9968,False,1.4860424468089493
S6,OpenBMI,ERP,EEGConformer,0,2,DANN,0.1,0.10037498383395449,0.0584447931149068,0.04193019071904769,0.41773546671741485,9de0fd16dbfdda046fd85ab26a6aba4d99730aa5d4abbcfbb95e9157f5d421b6,fab2369773a58d9dd6d16bbb8307a05a9bc56af7b76050c88c605ca6cccf5b4a,False,0.6744907594165189
S6,OpenBMI,ERP,EEGConformer,1,0,DANN,0.1,0.1155487207178223,0.04971440228166468,0.06583431843615761,0.5697537629720684,9efa0a252abfc30a3a10726993d2c1dd4c87b906a7c8986eb57a9cabb14a52b6,cb3c2c86140d2a8b0c00aeed51aa53392d8a50bf41f9ded1ab9d343181f031ca,False,2.803608325655457
S6,OpenBMI,ERP,EEGConformer,1,1,DANN,0.1,0.10333208117890358,0.05515851110552439,0.04817357007337919,0.4662014886694082,95a98ee3b0421a621cd8e1a995bb3427b63d3213b2ce2212b8023b2eba04e02c,150516ee27b31f1b9ed3ee06fc8fc89f38967b2da690ef56f04b66f7990cd8d2,False,1.2305825278890423
S6,OpenBMI,ERP,EEGConformer,1,2,DANN,0.1,0.09738845462005918,0.0664702618319708,0.030918192788088383,0.3174728761062265,8cc207e5dc450e7e33684fd02ccf57fef671e72a644a8e045833a417a6ad310a,4b02683d21a8a5e23a0e470f94c843556677d7b216a8b90e7cacf115a6f4c508,False,-0.30633725956241253
S6,OpenBMI,ERP,EEGConformer,2,0,DANN,0.1,0.09464256520735459,0.059190934142844265,0.035451631064510325,0.3745844270647561,125f08f188015c0b9ec6a14bd9fd137a7910fdd72aaeb3531821f422c88d3d52,63d2f005208c37b5e4d1870c519054ffda00316fdd455308dbf8a75005d963aa,False,0.09745170877049723
S6,OpenBMI,ERP,EEGConformer,2,1,DANN,0.1,0.08860348271298246,0.06794308913297109,0.02066039358001137,0.23317812062426937,9f8489dbd032f84912f31f8bf7564045cc220d82387e622561106782e89750f6,1040bb9d4dc9572c3d4f1964903bd7c45045ef8cf2bba4316537fe618029d9f2,False,-1.2199895267913945
S6,OpenBMI,ERP,EEGConformer,2,2,DANN,0.1,0.09497472066639645,0.056964464578472596,0.038010256087923855,0.40021445518156984,f925f304f58eeceeef49f748645566b404619f55ba0a9d903dedc5660f9d1c07,c7ae1ca34dc222bf6136dc1476d8dfd737c70eedc513933e34b4948ce57447fd,False,0.32534596817361305
S6,OpenBMI,ERP,EEGConformer,3,0,DANN,0.1,0.07524396483965612,0.06209645159289767,0.013147513246758447,0.17473179775415726,36f277efcd78fd57879b7d17abcf82747b45eb335d198829dab0e3cf5ba9b0e0,79a7b9397a0dbd0bd61f8989673266108ae72ea5abc1feb8bb57a3c274a452a7,False,-1.8891545212174612
S6,OpenBMI,ERP,EEGConformer,3,1,DANN,0.1,0.09376569165593462,0.06667026556199662,0.027095426093938002,0.28896951129069076,c9125304ef4bc247d81f7dea6b599ac94509b54b5ec1ac51aad2f43cb46c961c,097fae939af041a45f1f0fe48072bd1f9686c352cde261c6a68a6c094e418af6,False,-0.6468273965157458
S6,OpenBMI,ERP,EEGConformer,3,2,DANN,0.1,0.07934760182659817,0.051709283216124335,0.027638318610473833,0.34831952036212455,992ec1573e0cff1239bb675c7d54aea19ef707d56562044f66368bcfff9ed55a,dd206bbb0602edad251e1c012a9a8f13a61b96be2c1efd619fb066d3848788ae,False,-0.5984724844597518
S6,OpenBMI,ERP,EEGConformer,4,0,DANN,0.1,0.10555844970488337,0.05635110289996126,0.049207346804922114,0.4661620831115664,dc4db4433348e643dcc153b11a41c1ad0d194b2f54d23ff27fe95853e632c59c,477ae2a4634f3da03682c75026720fa1f44f84087b7970acc59abd46d17ddc5c,False,1.3226600228198309
S6,OpenBMI,ERP,EEGConformer,4,1,DANN,0.1,0.09808164282591147,0.07063446248834326,0.02744718033756821,0.27984013671146724,3e70ea664234c334cf13f191a1f842e02f3e04dc886becebb858a5981f14200e,a0529317957b01ccf0c0b5db674318f86b147c49ea69cb4d8f73ea571362c177,False,-0.6154969858027832
S6,OpenBMI,ERP,EEGConformer,4,2,DANN,0.1,0.08692045633608902,0.06334446497683643,0.02357599135925259,0.27123639650281833,d705ccdbdca892d5c0d4e16b1ad039d90610d6bce4f36c3be52e94f7ec50e3e8,3de79f94646436a12cbb96c966489e2a325b8e217e123da86059f0b060affec9,False,-0.9603000488345624
