setting_id,fold,seed,method,lambda,subject_id,BA_ERM,BA_method,DeltaG_BA,F1_ERM,F1_method,DeltaG_F1,CE_ERM,CE_method,DeltaG_CE
S4,0,0,DANN,0.1,1,0.9099999999999999,0.9099999999999999,0.0,0.9097744360902256,0.9097744360902256,0.0,0.2556597465381739,0.27098979599062,-0.015330049452446093
S4,0,0,DANN,0.1,3,0.8200000000000001,0.865,0.04499999999999993,0.8197115384615384,0.8649155722326454,0.04520403377110693,0.4168540056218555,0.3648940034431071,0.05196000217874841
S4,0,0,DANN,0.1,5,0.77,0.775,0.0050000000000000044,0.7691690084303493,0.7749943748593715,0.005825366429022205,0.48547414446564374,0.43094276535990855,0.05453137910573519
S4,0,0,DANN,0.1,16,0.55,0.53,-0.020000000000000018,0.5495946351716545,0.5231331168831169,-0.0264615182885376,0.8298348782017178,0.7565952934061266,0.07323958479559112
S4,0,0,DANN,0.1,19,0.9450000000000001,0.935,-0.010000000000000009,0.9449656035021888,0.9349202773397411,-0.010045326162447688,0.17463159660834385,0.15308356262239414,0.021548033985949705
S4,0,0,DANN,0.1,21,0.875,0.855,-0.020000000000000018,0.8749968749218731,0.8548221571424997,-0.020174717779373408,0.2906887986634193,0.31966864480019774,-0.028979846136778453
S4,0,0,DANN,0.1,28,0.655,0.685,0.030000000000000027,0.6539532084555781,0.684044233807267,0.030091025351688838,0.5639349095607024,0.5568599075530133,0.0070750020076890685
S4,0,0,DANN,0.1,33,0.9550000000000001,0.94,-0.015000000000000124,0.9549718574108819,0.9399759903961584,-0.01499586701472344,0.15432878266503752,0.18033774817022963,-0.026008965505192105
S4,0,0,DANN,0.1,37,0.835,0.885,0.050000000000000044,0.8334973132521002,0.8847666524712543,0.05126933921915411,0.4138905190128213,0.3480107824225334,0.0658797365902879
S4,0,1,DANN,0.1,1,0.895,0.9,0.0050000000000000044,0.8949343339587242,0.8991833854219176,0.004249051463193321,0.30000179259735943,0.2896385775633932,0.010363215033966255
S4,0,1,DANN,0.1,3,0.75,0.835,0.08499999999999996,0.7497747973175859,0.8334973132521002,0.0837225159345143,0.4469264257221202,0.36895567293036174,0.07797075279175847
S4,0,1,DANN,0.1,5,0.745,0.775,0.030000000000000027,0.7444825772188681,0.7749943748593715,0.03051179764050338,0.49156487335166416,0.43191331693432283,0.05965155641734132
S4,0,1,DANN,0.1,16,0.5449999999999999,0.525,-0.019999999999999907,0.54242614707731,0.49967083607636603,-0.04275531100094393,0.8448527182000689,0.7400249498151745,0.10482776838489438
S4,0,1,DANN,0.1,19,0.9199999999999999,0.9450000000000001,0.025000000000000133,0.9199279351416274,0.9449325423643964,0.025004607222768982,0.17454764606514594,0.15507549961222408,0.019472146452921862
S4,0,1,DANN,0.1,21,0.865,0.825,-0.040000000000000036,0.864726070292342,0.823726423409131,-0.040999646883211005,0.3224902216526195,0.382224102443668,-0.05973388079104852
S4,0,1,DANN,0.1,28,0.66,0.74,0.07999999999999996,0.6353496353496353,0.7390606182256123,0.10371098287597702,0.5796222045532486,0.5371402954645877,0.042481909088660896
S4,0,1,DANN,0.1,33,0.96,0.9299999999999999,-0.030000000000000027,0.96,0.9298245614035088,-0.03017543859649119,0.1608159696547878,0.22091849051935,-0.06010252086456219
S4,0,1,DANN,0.1,37,0.79,0.8400000000000001,0.050000000000000044,0.7896634615384616,0.838693416675068,0.04902995513660646,0.46576473594861695,0.38271648161781585,0.0830482543308011
S4,0,2,DANN,0.1,1,0.885,0.87,-0.015000000000000013,0.8849280800500312,0.8696741854636592,-0.015253894586372052,0.40720011303079373,0.5318515068307117,-0.12465139379991796
S4,0,2,DANN,0.1,3,0.8049999999999999,0.7150000000000001,-0.08999999999999986,0.8028261583963194,0.7079843233689388,-0.09484183502738064,0.5016197563720469,0.5771732347304315,-0.07555347835838455
S4,0,2,DANN,0.1,5,0.755,0.74,-0.015000000000000013,0.7549448625940837,0.7393483709273183,-0.015596491666765355,0.4847616290386515,0.49514888207517693,-0.010387253036525435
S4,0,2,DANN,0.1,16,0.52,0.515,-0.0050000000000000044,0.5198079231692677,0.4996776273372018,-0.020130295832065936,0.7131155918948536,0.698887909335001,0.014227682559852628
S4,0,2,DANN,0.1,19,0.95,0.9099999999999999,-0.040000000000000036,0.9499799919967987,0.9098557692307692,-0.04012422276602956,0.18999208197217451,0.3583223705708224,-0.16833028859864788
S4,0,2,DANN,0.1,21,0.825,0.85,0.025000000000000022,0.8248905565978737,0.84998499849985,0.025094441901976294,0.3807692528611992,0.45599559193809713,-0.07522633907689791
S4,0,2,DANN,0.1,28,0.665,0.605,-0.06000000000000005,0.6612654516039334,0.5644863419609141,-0.09677910964301928,0.5849424438363786,0.5983270513056176,-0.013384607469238974
S4,0,2,DANN,0.1,33,0.94,0.9450000000000001,0.0050000000000001155,0.93999399939994,0.9449876222149984,0.0049936228150584405,0.2509776569505138,0.3429499068779967,-0.09197224992748287
S4,0,2,DANN,0.1,37,0.815,0.765,-0.04999999999999993,0.8149953748843721,0.7632897685779759,-0.0517056063063962,0.4717583452363969,0.5246792112456032,-0.05292086600920631
S4,1,0,DANN,0.1,2,0.75,0.7250000000000001,-0.02499999999999991,0.75,0.7244419950399559,-0.025558004960044123,0.5212896617899456,0.7792082659720927,-0.25791860418214707
S4,1,0,DANN,0.1,11,0.6950000000000001,0.6799999999999999,-0.015000000000000124,0.6927803379416282,0.6788438378161381,-0.013936500125490081,0.6039701043728776,0.8254238002223644,-0.22145369584948682
S4,1,0,DANN,0.1,13,0.845,0.87,0.025000000000000022,0.8443423464135975,0.8693598633303186,0.02501751691672105,0.3839769934329691,0.4079836321876341,-0.02400663875466502
S4,1,0,DANN,0.1,18,0.615,0.635,0.020000000000000018,0.613831841319993,0.6329352608422376,0.01910341952224459,0.75510470298915,0.910653692415839,-0.15554898942668904
S4,1,0,DANN,0.1,27,0.575,0.63,0.05500000000000005,0.5599389091662137,0.6269785260610949,0.06703961689488125,0.7561814340565643,0.8180696246973241,-0.06188819064075979
S4,1,0,DANN,0.1,36,0.98,0.975,-0.0050000000000000044,0.9799979997999799,0.9749943737340903,-0.005003626065889666,0.06982382520308297,0.0665344792608164,0.0032893459422665694
S4,1,0,DANN,0.1,44,0.825,0.8,-0.02499999999999991,0.8248905565978737,0.7996794871794872,-0.025211069418386467,0.35583926858827786,0.5456890253740568,-0.18984975678577898
S4,1,0,DANN,0.1,45,0.9199999999999999,0.94,0.020000000000000018,0.9199279351416274,0.9399759903961584,0.020048055254531016,0.15855152320674096,0.16194273151053606,-0.003391208303795107
S4,1,1,DANN,0.1,2,0.755,0.745,-0.010000000000000009,0.7549938748468712,0.7444825772188681,-0.010511297628003069,0.7120405655316816,0.6872662063978154,0.024774359133866164
S4,1,1,DANN,0.1,11,0.69,0.735,0.04500000000000004,0.6874684948079444,0.7325865940109488,0.04511809920300447,0.8703834409369029,0.5980488504375707,0.2723345904993322
S4,1,1,DANN,0.1,13,0.855,0.87,0.015000000000000013,0.8541797611565054,0.8691626409017714,0.01498287974526602,0.38370017088490227,0.3441626611024685,0.039537509782433755
S4,1,1,DANN,0.1,18,0.605,0.6000000000000001,-0.004999999999999893,0.6027655562539284,0.5985547972701726,-0.00421075898375578,0.8932080432565683,0.7864359087094576,0.10677213454711076
S4,1,1,DANN,0.1,27,0.61,0.6799999999999999,0.06999999999999995,0.60984393757503,0.6791979949874687,0.06935405741243872,0.7779844008819287,0.695575592120357,0.08240880876157164
S4,1,1,DANN,0.1,36,0.975,0.98,0.0050000000000000044,0.9749993749843746,0.98,0.005000625015625371,0.06668183178507994,0.04989724316253986,0.016784588622540085
S4,1,1,DANN,0.1,44,0.845,0.8049999999999999,-0.040000000000000036,0.8445297023496076,0.8032240974797548,-0.0413056048698528,0.436488766063931,0.4422651559286003,-0.0057763898646692735
S4,1,1,DANN,0.1,45,0.94,0.95,0.010000000000000009,0.9399759903961584,0.9499949994999499,0.010019009103791499,0.16027060902685852,0.11667265914206144,0.04359794988479708
S4,1,2,DANN,0.1,2,0.75,0.76,0.010000000000000009,0.7474747474747474,0.7593984962406015,0.011923748765854114,0.5670128649575613,0.5741179067028717,-0.007105041745310348
S4,1,2,DANN,0.1,11,0.675,0.7050000000000001,0.030000000000000027,0.6731615336266499,0.6933392239923075,0.02017769036565764,0.8019539646761554,0.6847257706905825,0.11722819398557294
S4,1,2,DANN,0.1,13,0.86,0.87,0.010000000000000009,0.8599859985998599,0.8698828946051447,0.009896896005284761,0.33529403249204165,0.31103409009375677,0.024259942398284884
S4,1,2,DANN,0.1,18,0.595,0.58,-0.015000000000000013,0.5904850982077403,0.5738636363636364,-0.016621461844103957,0.7875363842789495,0.9053352023316041,-0.11779881805265469
S4,1,2,DANN,0.1,27,0.625,0.635,0.010000000000000009,0.6030800984361355,0.6074319055685515,0.004351807132416008,0.6816410005123578,0.7874358532360506,-0.10579485272369282
S4,1,2,DANN,0.1,36,0.97,0.98,0.010000000000000009,0.9699879951980792,0.9799919967987194,0.010004001600640189,0.08607774471959409,0.069495257897234,0.01658248682236009
S4,1,2,DANN,0.1,44,0.825,0.835,0.010000000000000009,0.8244690187818149,0.8349628666449951,0.010493847863180195,0.33171920760121654,0.3595314075826134,-0.02781219998139689
S4,1,2,DANN,0.1,45,0.9450000000000001,0.94,-0.0050000000000001155,0.9449876222149984,0.94,-0.004987622214998488,0.13742536101794842,0.15013230861867377,-0.012706947600725355
S4,2,0,DANN,0.1,9,0.595,0.5800000000000001,-0.014999999999999902,0.5947467166979362,0.5779318661441061,-0.01681485055383014,0.8556167558026664,0.7088650577038546,0.14675169809881183
S4,2,0,DANN,0.1,22,0.78,0.755,-0.025000000000000022,0.7798018216394755,0.7542566262945409,-0.0255451953449346,0.5292035659364476,0.49838321585734263,0.03082035007910494
S4,2,0,DANN,0.1,25,0.965,0.985,0.020000000000000018,0.9649991249781245,0.9849966242404541,0.019997499262329632,0.07543607665103635,0.07407831592596875,0.0013577607250676027
S4,2,0,DANN,0.1,26,0.725,0.745,0.020000000000000018,0.7246627118219819,0.7442262845106447,0.01956357268866271,0.5428522409123628,0.5926605579880468,-0.049808317075684005
S4,2,0,DANN,0.1,29,0.745,0.7949999999999999,0.04999999999999993,0.7415824276050771,0.7927146793397204,0.05113225173464331,0.5090870577638292,0.42178924366199894,0.0872978141018303
S4,2,0,DANN,0.1,34,0.45,0.575,0.12499999999999994,0.44862155388471175,0.5741376286981137,0.12551607481340193,1.0035464939808914,0.8011607480731784,0.20238574590771297
