dataset,seed,fold,target,model,gain_mae,sign_balanced_accuracy,spearman,alpha,mae,underestimation_rate
hmc,0,0,benefit,elastic_net,0.026835707768623138,0.6320109439124487,0.26568410360370187,,,
hmc,0,0,benefit,hist_gradient_boosting,0.028931265912811022,0.5273597811217511,0.25863481639408026,,,
hmc,0,0,benefit,pairwise_sign_gain,0.03754058588157927,0.5205198358413132,0.2128679015620221,,,
hmc,0,0,benefit,constant_zero,0.024513888888888884,0.5,,,,
hmc,0,0,benefit,global_mean,0.02650462962962963,0.5,,,,
hmc,0,0,benefit,entropy_only,0.026435058426500548,0.6101231190150479,0.0209547208100323,,,
hmc,0,0,benefit,agreement_only,0.025874616610836725,0.5,0.12995236062324167,,,
hmc,0,0,risk,elastic_net,,,,0.1,3.2991487238031847,0.5666666666666667
hmc,0,0,risk,hist_gradient_boosting,,,,0.1,3.458119752559879,0.5888888888888889
hmc,0,0,risk,constant_critical_index,,,,0.1,3.0,0.5
hmc,0,0,risk,action_mean,,,,0.1,2.682962962962963,0.5555555555555556
hmc,0,0,risk,elastic_net,,,,0.2,5.187600165034613,0.5666666666666667
hmc,0,0,risk,hist_gradient_boosting,,,,0.2,5.601297559802749,0.6
hmc,0,0,risk,constant_critical_index,,,,0.2,4.2,0.4222222222222222
hmc,0,0,risk,action_mean,,,,0.2,4.182962962962963,0.4888888888888889
hmc,0,1,benefit,elastic_net,0.04201707918616092,0.40902872777017785,-0.18481914339053687,,,
hmc,0,1,benefit,hist_gradient_boosting,0.039692639983831886,0.5205198358413132,0.048365190298455166,,,
hmc,0,1,benefit,pairwise_sign_gain,0.05320033382876702,0.3803009575923393,-0.1315604080174208,,,
hmc,0,1,benefit,constant_zero,0.03083333333333333,0.5,,,,
hmc,0,1,benefit,global_mean,0.0315787037037037,0.5,,,,
hmc,0,1,benefit,entropy_only,0.03427788703512129,0.554719562243502,-0.049632608709414563,,,
hmc,0,1,benefit,agreement_only,0.030912690613960465,0.5,0.17159542964969618,,,
hmc,0,1,risk,elastic_net,,,,0.1,3.2816681966987815,0.5777777777777777
hmc,0,1,risk,hist_gradient_boosting,,,,0.1,4.004569207232941,0.4777777777777778
hmc,0,1,risk,constant_critical_index,,,,0.1,3.1222222222222222,0.45555555555555555
hmc,0,1,risk,action_mean,,,,0.1,2.941481481481481,0.5444444444444444
hmc,0,1,risk,elastic_net,,,,0.2,4.892459913890157,0.5111111111111111
hmc,0,1,risk,hist_gradient_boosting,,,,0.2,5.5252224202196505,0.5
hmc,0,1,risk,constant_critical_index,,,,0.2,4.011111111111111,0.5
hmc,0,1,risk,action_mean,,,,0.2,3.935555555555555,0.5666666666666667
hmc,0,2,benefit,elastic_net,0.024683042374579637,0.6196172248803828,0.15830588639213275,,,
hmc,0,2,benefit,hist_gradient_boosting,0.027225944433385774,0.59688995215311,0.15412791340968587,,,
hmc,0,2,benefit,pairwise_sign_gain,0.030788547000668586,0.5909090909090908,0.10992992003492354,,,
hmc,0,2,benefit,constant_zero,0.02194444444444444,0.5,,,,
hmc,0,2,benefit,global_mean,0.024124999999999994,0.5,,,,
hmc,0,2,benefit,entropy_only,0.02338006437315969,0.6746411483253589,0.29116267038896737,,,
hmc,0,2,benefit,agreement_only,0.023978207070024064,0.5,0.1719847667912846,,,
hmc,0,2,risk,elastic_net,,,,0.1,4.579524190949522,0.5666666666666667
hmc,0,2,risk,hist_gradient_boosting,,,,0.1,3.5661678915520807,0.5888888888888889
hmc,0,2,risk,constant_critical_index,,,,0.1,2.933333333333333,0.4777777777777778
hmc,0,2,risk,action_mean,,,,0.1,2.8251851851851852,0.5555555555555556
hmc,0,2,risk,elastic_net,,,,0.2,5.885388518608905,0.5111111111111111
hmc,0,2,risk,hist_gradient_boosting,,,,0.2,4.863703219767443,0.5111111111111111
hmc,0,2,risk,constant_critical_index,,,,0.2,3.6444444444444444,0.43333333333333335
hmc,0,2,risk,action_mean,,,,0.2,3.6592592592592585,0.4777777777777778
hmc,0,3,benefit,elastic_net,0.02850460835397034,0.46825396825396826,-0.11795917392980473,,,
hmc,0,3,benefit,hist_gradient_boosting,0.02939460011733064,0.47619047619047616,-0.058230677151767475,,,
hmc,0,3,benefit,pairwise_sign_gain,0.04473577858769705,0.376984126984127,-0.2105440693482415,,,
hmc,0,3,benefit,constant_zero,0.02222222222222222,0.5,,,,
hmc,0,3,benefit,global_mean,0.02248148148148148,0.5,,,,
hmc,0,3,benefit,entropy_only,0.023131069019365215,0.5833333333333333,0.10515850322664258,,,
hmc,0,3,benefit,agreement_only,0.022503863228854726,0.5,0.042630271227832514,,,
hmc,0,3,risk,elastic_net,,,,0.1,4.14237242490313,0.5333333333333333
hmc,0,3,risk,hist_gradient_boosting,,,,0.1,3.4691553229340566,0.5444444444444444
hmc,0,3,risk,constant_critical_index,,,,0.1,2.8,0.4444444444444444
hmc,0,3,risk,action_mean,,,,0.1,2.5555555555555554,0.45555555555555555
hmc,0,3,risk,elastic_net,,,,0.2,6.484249706826469,0.5555555555555556
hmc,0,3,risk,hist_gradient_boosting,,,,0.2,5.816114895831788,0.5444444444444444
hmc,0,3,risk,constant_critical_index,,,,0.2,3.922222222222222,0.4777777777777778
hmc,0,3,risk,action_mean,,,,0.2,3.8866666666666667,0.4666666666666667
hmc,0,4,benefit,elastic_net,0.03852605946396107,0.5277777777777778,0.153361470357881,,,
hmc,0,4,benefit,hist_gradient_boosting,0.039954965646350975,0.5317460317460317,0.1565744619409465,,,
hmc,0,4,benefit,pairwise_sign_gain,0.04745361207963655,0.5436507936507937,0.1637895969454088,,,
hmc,0,4,benefit,constant_zero,0.030069444444444437,0.5,,,,
hmc,0,4,benefit,global_mean,0.030124999999999996,0.5,,,,
hmc,0,4,benefit,entropy_only,0.03370479995561312,0.6547619047619048,0.119526733549435,,,
hmc,0,4,benefit,agreement_only,0.030336438675969003,0.32936507936507936,0.017767160593790337,,,
hmc,0,4,risk,elastic_net,,,,0.1,4.287653533448238,0.5
hmc,0,4,risk,hist_gradient_boosting,,,,0.1,3.8052879988723967,0.5111111111111111
hmc,0,4,risk,constant_critical_index,,,,0.1,2.966666666666667,0.4111111111111111
hmc,0,4,risk,action_mean,,,,0.1,2.8111111111111113,0.5888888888888889
hmc,0,4,risk,elastic_net,,,,0.2,6.366366993492127,0.5222222222222223
hmc,0,4,risk,hist_gradient_boosting,,,,0.2,5.673461083878388,0.4777777777777778
hmc,0,4,risk,constant_critical_index,,,,0.2,3.8777777777777778,0.4444444444444444
hmc,0,4,risk,action_mean,,,,0.2,3.8866666666666676,0.5888888888888889
hmc,1,0,benefit,elastic_net,0.027773027198015766,0.46875,0.14080251078065567,,,
hmc,1,0,benefit,hist_gradient_boosting,0.029703935700692678,0.3664772727272727,-0.15696369009861497,,,
hmc,1,0,benefit,pairwise_sign_gain,0.04368926520536654,0.5340909090909092,0.0910740760952576,,,
hmc,1,0,benefit,constant_zero,0.023333333333333334,0.5,,,,
hmc,1,0,benefit,global_mean,0.02414351851851853,0.5,,,,
hmc,1,0,benefit,entropy_only,0.023928067673384117,0.45738636363636365,0.1520837613921431,,,
hmc,1,0,benefit,agreement_only,0.02459015626995328,0.6221590909090908,0.0520830736585239,,,
hmc,1,0,risk,elastic_net,,,,0.1,3.4020795785029545,0.5333333333333333
hmc,1,0,risk,hist_gradient_boosting,,,,0.1,2.739663360973998,0.5777777777777777
hmc,1,0,risk,constant_critical_index,,,,0.1,2.8222222222222224,0.45555555555555555
hmc,1,0,risk,action_mean,,,,0.1,2.3474074074074074,0.6111111111111112
hmc,1,0,risk,elastic_net,,,,0.2,5.844570757878252,0.5666666666666667
hmc,1,0,risk,hist_gradient_boosting,,,,0.2,5.1030955463834005,0.5222222222222223
hmc,1,0,risk,constant_critical_index,,,,0.2,4.088888888888889,0.4666666666666667
hmc,1,0,risk,action_mean,,,,0.2,4.014814814814814,0.5777777777777777
hmc,1,1,benefit,elastic_net,0.020252383098321468,0.4744318181818182,-0.16359272906088124,,,
hmc,1,1,benefit,hist_gradient_boosting,0.020992219453682015,0.45454545454545453,-0.14766650266627562,,,
hmc,1,1,benefit,pairwise_sign_gain,0.027585458459808754,0.46875,-0.023802043695040225,,,
hmc,1,1,benefit,constant_zero,0.01645833333333334,0.5,,,,
hmc,1,1,benefit,global_mean,0.017180555555555563,0.5,,,,
hmc,1,1,benefit,entropy_only,0.017188690348594445,0.5,0.04367033645604985,,,
hmc,1,1,benefit,agreement_only,0.017197562984987383,0.5,0.026497563535185526,,,
hmc,1,1,risk,elastic_net,,,,0.1,4.134952249142354,0.6111111111111112
hmc,1,1,risk,hist_gradient_boosting,,,,0.1,3.2981611278572913,0.5444444444444444
hmc,1,1,risk,constant_critical_index,,,,0.1,3.011111111111111,0.4222222222222222
hmc,1,1,risk,action_mean,,,,0.1,2.84962962962963,0.5888888888888889
hmc,1,1,risk,elastic_net,,,,0.2,6.84459511969051,0.5888888888888889
hmc,1,1,risk,hist_gradient_boosting,,,,0.2,6.052760781378283,0.5222222222222223
hmc,1,1,risk,constant_critical_index,,,,0.2,4.7,0.4888888888888889
hmc,1,1,risk,action_mean,,,,0.2,4.678518518518518,0.5555555555555556
hmc,1,2,benefit,elastic_net,0.02834635929687281,0.5515873015873016,0.1334376865542557,,,
hmc,1,2,benefit,hist_gradient_boosting,0.02956100505430864,0.4444444444444444,0.04801809440196237,,,
hmc,1,2,benefit,pairwise_sign_gain,0.04098928352785585,0.5952380952380952,0.1960262485974519,,,
hmc,1,2,benefit,constant_zero,0.02451388888888889,0.5,,,,
hmc,1,2,benefit,global_mean,0.024541666666666673,0.5,,,,
hmc,1,2,benefit,entropy_only,0.02458377149685429,0.46825396825396826,0.09551803973078772,,,
hmc,1,2,benefit,agreement_only,0.02476342656495826,0.7341269841269842,-0.0021316471398848576,,,
hmc,1,2,risk,elastic_net,,,,0.1,2.331706777881471,0.45555555555555555
hmc,1,2,risk,hist_gradient_boosting,,,,0.1,2.5495255498369187,0.5777777777777777
hmc,1,2,risk,constant_critical_index,,,,0.1,2.566666666666667,0.5
hmc,1,2,risk,action_mean,,,,0.1,2.2666666666666666,0.6222222222222222
hmc,1,2,risk,elastic_net,,,,0.2,4.473064873724788,0.5222222222222223
hmc,1,2,risk,hist_gradient_boosting,,,,0.2,4.185479323676474,0.5333333333333333
hmc,1,2,risk,constant_critical_index,,,,0.2,3.7,0.45555555555555555
hmc,1,2,risk,action_mean,,,,0.2,3.658518518518519,0.6222222222222222
hmc,1,3,benefit,elastic_net,0.02215220291480986,0.5909712722298222,0.1997073429616859,,,
hmc,1,3,benefit,hist_gradient_boosting,0.021580111729431577,0.5205198358413132,0.10575999333719252,,,
hmc,1,3,benefit,pairwise_sign_gain,0.0302182272692958,0.5971272229822162,0.23272013106908965,,,
hmc,1,3,benefit,constant_zero,0.018680555555555554,0.5,,,,
hmc,1,3,benefit,global_mean,0.019432870370370378,0.5,,,,
hmc,1,3,benefit,entropy_only,0.01936198877552368,0.5813953488372093,-0.015247674229849389,,,
hmc,1,3,benefit,agreement_only,0.01869253136284552,0.5,0.045461336318409595,,,
hmc,1,3,risk,elastic_net,,,,0.1,4.15056157963105,0.5111111111111111
hmc,1,3,risk,hist_gradient_boosting,,,,0.1,2.865670889697125,0.5666666666666667
hmc,1,3,risk,constant_critical_index,,,,0.1,2.8555555555555556,0.43333333333333335
hmc,1,3,risk,action_mean,,,,0.1,2.5281481481481483,0.5666666666666667
hmc,1,3,risk,elastic_net,,,,0.2,6.398569855776705,0.5
hmc,1,3,risk,hist_gradient_boosting,,,,0.2,4.716048155094203,0.5888888888888889
hmc,1,3,risk,constant_critical_index,,,,0.2,3.8444444444444446,0.43333333333333335
hmc,1,3,risk,action_mean,,,,0.2,3.8014814814814812,0.5444444444444444
hmc,1,4,benefit,elastic_net,0.019290277456804544,0.3111111111111111,-0.03311907003554369,,,
hmc,1,4,benefit,hist_gradient_boosting,0.02046150835452002,0.47777777777777775,0.13541813356054833,,,
hmc,1,4,benefit,pairwise_sign_gain,0.028385081763433594,0.3333333333333333,-0.16114309011222905,,,
hmc,1,4,benefit,constant_zero,0.01680555555555556,0.5,,,,
hmc,1,4,benefit,global_mean,0.018509259259259257,0.5,,,,
hmc,1,4,benefit,entropy_only,0.018253590744166773,0.4888888888888889,0.09217614548487398,,,
hmc,1,4,benefit,agreement_only,0.01849463970572759,0.5,0.13331788997548152,,,
hmc,1,4,risk,elastic_net,,,,0.1,4.194420813906465,0.6
hmc,1,4,risk,hist_gradient_boosting,,,,0.1,3.5004379233098173,0.6222222222222222
hmc,1,4,risk,constant_critical_index,,,,0.1,3.022222222222222,0.4777777777777778
hmc,1,4,risk,action_mean,,,,0.1,2.7925925925925927,0.5888888888888889
hmc,1,4,risk,elastic_net,,,,0.2,7.199684991958709,0.5666666666666667
hmc,1,4,risk,hist_gradient_boosting,,,,0.2,5.7077002299856705,0.6111111111111112
hmc,1,4,risk,constant_critical_index,,,,0.2,4.844444444444444,0.4777777777777778
hmc,1,4,risk,action_mean,,,,0.2,4.828148148148148,0.5444444444444444
hmc,2,0,benefit,elastic_net,0.03042162939526017,0.43838254172015406,0.046564323082984506,,,
hmc,2,0,benefit,hist_gradient_boosting,0.026987750485924094,0.48908857509627723,0.29226524510311513,,,
