subject,session,bdf_path,bdf_bytes,manifest_checksum_algorithm,manifest_checksum,sampling_rate_hz,recording_duration_seconds,eeg_channel_count,total_channel_count,channel_names_hash,pz_present,all_channels_good,event_count,left_hand_trials,right_hand_trials,event_labels,malformed_events,manifest_size_match,bdf_header_open,bdf_sfreq,bdf_channels,bdf_samples,bdf_duration_seconds,bdf_channel_names_hash
sub-1,0,D:\nips-temp\TotalP\P2\nm000348_v1.0.4_bids\sub-1\ses-0\eeg\sub-1_ses-0_task-imagery_run-0_eeg.bdf,432091146,sha256,ca47bd0313ff5703acba78355816cf61f7ea081ae5effdef3f2ea7733c5ef095,1000.0,2249.999,59,64,ae5ed778c01dc82b3c7b29de69697b38ecaebe6f1addfa5227527c66cebe8ee2,True,True,200,100,100,left_hand|right_hand,0,True,True,1000.0,64,2250000,2250.0,fdbea354750717f606b5c226902df54db0f3bf587787faedfc802fc7e5bba9e6
sub-1,1,D:\nips-temp\TotalP\P2\nm000348_v1.0.4_bids\sub-1\ses-1\eeg\sub-1_ses-1_task-imagery_run-0_eeg.bdf,423065595,sha256,bddb390782dc336c5febd3dc123d4eed7850da5b8ecf98083905ed8ff981a75f,1000.0,2202.999,59,64,ae5ed778c01dc82b3c7b29de69697b38ecaebe6f1addfa5227527c66cebe8ee2,True,True,200,100,100,left_hand|right_hand,0,True,True,1000.0,64,2203000,2203.0,fdbea354750717f606b5c226902df54db0f3bf587787faedfc802fc7e5bba9e6
sub-1,2,D:\nips-temp\TotalP\P2\nm000348_v1.0.4_bids\sub-1\ses-2\eeg\sub-1_ses-2_task-imagery_run-0_eeg.bdf,422873562,sha256,5b8eb2d8bc76a472cd1256755afb6f486403f1d2b210d9d646ac25caa895aaa0,1000.0,2201.999,59,64,ae5ed778c01dc82b3c7b29de69697b38ecaebe6f1addfa5227527c66cebe8ee2,True,True,200,100,100,left_hand|right_hand,0,True,True,1000.0,64,2202000,2202.0,fdbea354750717f606b5c226902df54db0f3bf587787faedfc802fc7e5bba9e6
sub-2,0,D:\nips-temp\TotalP\P2\nm000348_v1.0.4_bids\sub-2\ses-0\eeg\sub-2_ses-0_task-imagery_run-0_eeg.bdf,440156532,sha256,e5da0a436aaf8dd4605a1be3146ee0f57e7b7a31152a617f7d16fdcd7527d7b2,1000.0,2291.999,59,64,ae5ed778c01dc82b3c7b29de69697b38ecaebe6f1addfa5227527c66cebe8ee2,True,True,200,100,100,left_hand|right_hand,0,True,True,1000.0,64,2292000,2292.0,fdbea354750717f606b5c226902df54db0f3bf587787faedfc802fc7e5bba9e6
sub-2,1,D:\nips-temp\TotalP\P2\nm000348_v1.0.4_bids\sub-2\ses-1\eeg\sub-2_ses-1_task-imagery_run-0_eeg.bdf,446877687,sha256,2a4a6c52bcd74b5b824f662566614c4752532b92e60881f3e53587e379c11aa7,1000.0,2326.999,59,64,ae5ed778c01dc82b3c7b29de69697b38ecaebe6f1addfa5227527c66cebe8ee2,True,True,200,100,100,left_hand|right_hand,0,True,True,1000.0,64,2327000,2327.0,fdbea354750717f606b5c226902df54db0f3bf587787faedfc802fc7e5bba9e6
sub-2,2,D:\nips-temp\TotalP\P2\nm000348_v1.0.4_bids\sub-2\ses-2\eeg\sub-2_ses-2_task-imagery_run-0_eeg.bdf,429978783,sha256,b8ac34055595e8d1f11376e5176a6b5007ef9108ec186042c98dc44d5051693e,1000.0,2238.999,59,64,ae5ed778c01dc82b3c7b29de69697b38ecaebe6f1addfa5227527c66cebe8ee2,True,True,200,100,100,left_hand|right_hand,0,True,True,1000.0,64,2239000,2239.0,fdbea354750717f606b5c226902df54db0f3bf587787faedfc802fc7e5bba9e6
sub-3,0,D:\nips-temp\TotalP\P2\nm000348_v1.0.4_bids\sub-3\ses-0\eeg\sub-3_ses-0_task-imagery_run-0_eeg.bdf,445341423,sha256,f6bb60bf8e154c6ad9ea84ff491f89ddf39c3ca2f0ebaa2d24775c861f020335,1000.0,2318.999,59,64,ae5ed778c01dc82b3c7b29de69697b38ecaebe6f1addfa5227527c66cebe8ee2,True,True,200,100,100,left_hand|right_hand,0,True,True,1000.0,64,2319000,2319.0,fdbea354750717f606b5c226902df54db0f3bf587787faedfc802fc7e5bba9e6
sub-3,1,D:\nips-temp\TotalP\P2\nm000348_v1.0.4_bids\sub-3\ses-1\eeg\sub-3_ses-1_task-imagery_run-0_eeg.bdf,432283179,sha256,4161cb995e02f0582e816289316008c246ee4eeeed2c4f9d55143a66252ce769,1000.0,2250.999,59,64,ae5ed778c01dc82b3c7b29de69697b38ecaebe6f1addfa5227527c66cebe8ee2,True,True,200,100,100,left_hand|right_hand,0,True,True,1000.0,64,2251000,2251.0,fdbea354750717f606b5c226902df54db0f3bf587787faedfc802fc7e5bba9e6
sub-3,2,D:\nips-temp\TotalP\P2\nm000348_v1.0.4_bids\sub-3\ses-2\eeg\sub-3_ses-2_task-imagery_run-0_eeg.bdf,430746915,sha256,7f66c9acfe169e04f43bff305d1ae8e5d322268fb39e09909c5c7b415411c7b7,1000.0,2242.999,59,64,ae5ed778c01dc82b3c7b29de69697b38ecaebe6f1addfa5227527c66cebe8ee2,True,True,200,100,100,left_hand|right_hand,0,True,True,1000.0,64,2243000,2243.0,fdbea354750717f606b5c226902df54db0f3bf587787faedfc802fc7e5bba9e6
sub-4,0,D:\nips-temp\TotalP\P2\nm000348_v1.0.4_bids\sub-4\ses-0\eeg\sub-4_ses-0_task-imagery_run-0_eeg.bdf,427290321,sha256,246490c422678368f638cac698a9827c4dc7a377fdcff25aeb2e332c05150c15,1000.0,2224.999,59,64,ae5ed778c01dc82b3c7b29de69697b38ecaebe6f1addfa5227527c66cebe8ee2,True,True,200,100,100,left_hand|right_hand,0,True,True,1000.0,64,2225000,2225.0,fdbea354750717f606b5c226902df54db0f3bf587787faedfc802fc7e5bba9e6
sub-4,1,D:\nips-temp\TotalP\P2\nm000348_v1.0.4_bids\sub-4\ses-1\eeg\sub-4_ses-1_task-imagery_run-0_eeg.bdf,429978783,sha256,e9c01f20c2d88f52b01b740beba90f9f3ead5c10ddbfae51a510ec3fdadfde82,1000.0,2238.999,59,64,ae5ed778c01dc82b3c7b29de69697b38ecaebe6f1addfa5227527c66cebe8ee2,True,True,200,100,100,left_hand|right_hand,0,True,True,1000.0,64,2239000,2239.0,fdbea354750717f606b5c226902df54db0f3bf587787faedfc802fc7e5bba9e6
sub-4,2,D:\nips-temp\TotalP\P2\nm000348_v1.0.4_bids\sub-4\ses-2\eeg\sub-4_ses-2_task-imagery_run-0_eeg.bdf,426330156,sha256,9a37cef2980dd05c9591d3a785a75db0f84211093f3169e4e33e6352938d161b,1000.0,2219.999,59,64,ae5ed778c01dc82b3c7b29de69697b38ecaebe6f1addfa5227527c66cebe8ee2,True,True,200,100,100,left_hand|right_hand,0,True,True,1000.0,64,2220000,2220.0,fdbea354750717f606b5c226902df54db0f3bf587787faedfc802fc7e5bba9e6
sub-5,0,D:\nips-temp\TotalP\P2\nm000348_v1.0.4_bids\sub-5\ses-0\eeg\sub-5_ses-0_task-imagery_run-0_eeg.bdf,427674387,sha256,caecd16f78af8ddb9b553c9c3e958fea0921204101155e0eaf1f8bbaea5bad8c,1000.0,2226.999,59,64,ae5ed778c01dc82b3c7b29de69697b38ecaebe6f1addfa5227527c66cebe8ee2,True,True,200,100,100,left_hand|right_hand,0,True,True,1000.0,64,2227000,2227.0,fdbea354750717f606b5c226902df54db0f3bf587787faedfc802fc7e5bba9e6
