method,fold,seed,subject_id,BA,macro_f1,n_trials,source_model_noadapt_BA,adaptation_delta_BA,negative_transfer,adaptation_time_s,target_trainable_parameters,target_future_labels_used_for_fit,internal_holdout_used,outer_test_used
B0_VANILLA_EEGNET,4,0,3,0.87,0.8698828946051447,100,,,False,0.0,0,False,False,False
B1_STRONG_EEGNET,4,0,3,0.87,0.8698828946051447,100,,,False,0.0,0,False,False,False
B2_STRONG_GENERIC,4,0,3,0.9,0.8999599839935974,100,0.87,0.030000000000000027,False,0.8298394999583252,130,False,False,False
A2_DUAL_CONTROL,4,0,3,0.89,0.8899889988998899,100,0.85,0.040000000000000036,False,0.8357655000290833,98,False,False,False
A6_PUD_ALL_ADAPT,4,0,3,0.83,0.8299829982998299,100,0.81,0.019999999999999907,False,0.7986695999861695,196,False,False,False
A7_IDENTITY_PROTECTED,4,0,3,0.88,0.8799519807923168,100,0.87,0.010000000000000009,False,0.7693868999485858,98,False,False,False
A8_RANDOM_PROTECTED,4,0,3,0.87,0.8698828946051447,100,0.8500000000000001,0.019999999999999907,False,0.7246227999567054,98,False,False,False
A10_FULL_PUD_FREEZE,4,0,3,0.8300000000000001,0.8295739348370927,100,0.81,0.020000000000000018,False,0.7539604000048712,98,False,False,False
A3_P_ONLY,4,0,3,0.87,0.8699869986998701,100,0.8400000000000001,0.029999999999999916,False,0.8262752000009641,98,False,False,False
A4_P_PLUS_U,4,0,3,0.8300000000000001,0.8295739348370927,100,0.81,0.020000000000000018,False,0.6963004999561235,98,False,False,False
A5_P_PLUS_D,4,0,3,0.85,0.8498648783905515,100,0.8400000000000001,0.009999999999999898,False,0.7944374999497086,98,False,False,False
A9_PCA_PROTECTED,4,0,3,0.86,0.86,100,0.8400000000000001,0.019999999999999907,False,0.714972999994643,98,False,False,False
B0_VANILLA_EEGNET,4,0,8,0.76,0.7575757575757576,100,,,False,0.0,0,False,False,False
B1_STRONG_EEGNET,4,0,8,0.76,0.7575757575757576,100,,,False,0.0,0,False,False,False
B2_STRONG_GENERIC,4,0,8,0.77,0.7681217864704104,100,0.76,0.010000000000000009,False,0.6090589000377804,130,False,False,False
A2_DUAL_CONTROL,4,0,8,0.75,0.7487689679429204,100,0.75,0.0,False,0.6642893999814987,98,False,False,False
A6_PUD_ALL_ADAPT,4,0,8,0.74,0.7398959583833533,100,0.69,0.050000000000000044,False,0.7857700000167824,196,False,False,False
A7_IDENTITY_PROTECTED,4,0,8,0.72,0.7198879551820728,100,0.72,0.0,False,0.7317757999990135,98,False,False,False
A8_RANDOM_PROTECTED,4,0,8,0.72,0.719551282051282,100,0.7,0.020000000000000018,False,0.7472845999873243,98,False,False,False
A10_FULL_PUD_FREEZE,4,0,8,0.7,0.6989160979526294,100,0.69,0.010000000000000009,False,0.7254048999748193,98,False,False,False
A3_P_ONLY,4,0,8,0.69,0.6899689968996899,100,0.74,-0.050000000000000044,True,0.681749600043986,98,False,False,False
A4_P_PLUS_U,4,0,8,0.7,0.6989160979526294,100,0.69,0.010000000000000009,False,0.7265770999947563,98,False,False,False
A5_P_PLUS_D,4,0,8,0.7,0.6995192307692308,100,0.72,-0.020000000000000018,True,0.7248318999772891,98,False,False,False
A9_PCA_PROTECTED,4,0,8,0.72,0.7198879551820728,100,0.71,0.010000000000000009,False,0.7652057999512181,98,False,False,False
B0_VANILLA_EEGNET,4,0,11,0.67,0.648,100,,,False,0.0,0,False,False,False
B1_STRONG_EEGNET,4,0,11,0.67,0.648,100,,,False,0.0,0,False,False,False
B2_STRONG_GENERIC,4,0,11,0.72,0.7159090909090908,100,0.67,0.04999999999999993,False,0.6598233000258915,130,False,False,False
A2_DUAL_CONTROL,4,0,11,0.72,0.7198879551820728,100,0.7,0.020000000000000018,False,0.7224246999830939,98,False,False,False
A6_PUD_ALL_ADAPT,4,0,11,0.8,0.7996794871794872,100,0.72,0.08000000000000007,False,0.7178608000394888,196,False,False,False
A7_IDENTITY_PROTECTED,4,0,11,0.75,0.7493734335839599,100,0.74,0.010000000000000009,False,0.7550066999974661,98,False,False,False
A8_RANDOM_PROTECTED,4,0,11,0.76,0.7591328783621036,100,0.72,0.040000000000000036,False,0.766245600010734,98,False,False,False
A10_FULL_PUD_FREEZE,4,0,11,0.77,0.7694235588972431,100,0.72,0.050000000000000044,False,0.6679338000249118,98,False,False,False
A3_P_ONLY,4,0,11,0.79,0.7889659330720531,100,0.76,0.030000000000000027,False,0.6479793000034988,98,False,False,False
A4_P_PLUS_U,4,0,11,0.77,0.7694235588972431,100,0.72,0.050000000000000044,False,0.654140800004825,98,False,False,False
A5_P_PLUS_D,4,0,11,0.76,0.7591328783621036,100,0.73,0.030000000000000027,False,0.6291138000087813,98,False,False,False
A9_PCA_PROTECTED,4,0,11,0.76,0.7596153846153846,100,0.74,0.020000000000000018,False,0.7672266000299715,98,False,False,False
B0_VANILLA_EEGNET,4,0,27,0.8999999999999999,0.8993558776167472,100,,,False,0.0,0,False,False,False
B1_STRONG_EEGNET,4,0,27,0.8999999999999999,0.8993558776167472,100,,,False,0.0,0,False,False,False
B2_STRONG_GENERIC,4,0,27,0.9199999999999999,0.9197109594540345,100,0.8999999999999999,0.020000000000000018,False,0.7001041000476107,130,False,False,False
A2_DUAL_CONTROL,4,0,27,0.88,0.8787878787878788,100,0.87,0.010000000000000009,False,0.8254286999581382,98,False,False,False
A6_PUD_ALL_ADAPT,4,0,27,0.8999999999999999,0.8993558776167472,100,0.89,0.009999999999999898,False,0.7805461999960244,196,False,False,False
A7_IDENTITY_PROTECTED,4,0,27,0.9199999999999999,0.9197109594540345,100,0.9199999999999999,0.0,False,0.7342732999823056,98,False,False,False
A8_RANDOM_PROTECTED,4,0,27,0.89,0.8891017239641092,100,0.89,0.0,False,0.6536213000072166,98,False,False,False
A10_FULL_PUD_FREEZE,4,0,27,0.8999999999999999,0.8993558776167472,100,0.89,0.009999999999999898,False,0.7050350999925286,98,False,False,False
A3_P_ONLY,4,0,27,0.8999999999999999,0.8993558776167472,100,0.88,0.019999999999999907,False,0.8374548999709077,98,False,False,False
A4_P_PLUS_U,4,0,27,0.8999999999999999,0.8993558776167472,100,0.89,0.009999999999999898,False,0.7294865999720059,98,False,False,False
A5_P_PLUS_D,4,0,27,0.9099999999999999,0.9095568284594513,100,0.89,0.019999999999999907,False,0.7217615999979898,98,False,False,False
A9_PCA_PROTECTED,4,0,27,0.9099999999999999,0.9095568284594513,100,0.9099999999999999,0.0,False,0.6933838999830186,98,False,False,False
B0_VANILLA_EEGNET,4,0,28,0.87,0.8693598633303186,100,,,False,0.0,0,False,False,False
