source_model,fold,seed,parameters,approximate_MACs,capacity_ratio_vs_B1
B0_VANILLA_EEGNET,4,0,34162,32895872,1.0
B1_STRONG_EEGNET,4,0,34162,32895872,1.0
A2_DUAL_CONTROL,4,0,39244,49307904,1.1487617820970668
PUD_SOURCE,4,0,39244,49307904,1.1487617820970668
A7_IDENTITY_PROTECTED,4,0,39244,49307904,1.1487617820970668
A8_RANDOM_PROTECTED,4,0,39244,49307904,1.1487617820970668
A3_P_ONLY,4,0,39244,49307904,1.1487617820970668
A4_P_PLUS_U,4,0,39244,49307904,1.1487617820970668
A5_P_PLUS_D,4,0,39244,49307904,1.1487617820970668
A9_PCA_PROTECTED,4,0,39244,49307904,1.1487617820970668
