model,model_priority,dataset,dataset_priority,task_family,A_COMP_1,A_COMP_2,A_COMP_3,A_COMP_4,A_COMP_5,A_COMP_6,A_COMP_7,A_COMP_8,A_COMP_9,A_COMP_10,subject_coverage,sample_coverage,compatible,semantic_reason,checkpoint_status,code_commit,checkpoint_sha256
cbramod,0,hmc,0,sleep staging,True,True,True,True,True,True,True,True,True,True,1.0,1.0,True,ACPE has no fixed electrode lookup; actual channel labels are retained as generic signal channels,local_verified,0ff6be918985689e7df679bc731ffb70e6c6224f,0792cb808c14e6b7a2bb2ce1dff379bc47bc54c49a779825bdfeb33bf8157178
cbramod,0,eegmmidb,1,motor imagery/execution,True,True,True,True,True,True,True,True,True,True,1.0,1.0,True,ACPE has no fixed electrode lookup; actual channel labels are retained as generic signal channels,local_verified,0ff6be918985689e7df679bc731ffb70e6c6224f,0792cb808c14e6b7a2bb2ce1dff379bc47bc54c49a779825bdfeb33bf8157178
cbramod,0,sleepedffull,2,sleep staging,False,False,False,True,False,False,False,False,True,True,0.0,0.0,False,dataset is not present; no subject/sample coverage,local_verified,0ff6be918985689e7df679bc731ffb70e6c6224f,0792cb808c14e6b7a2bb2ce1dff379bc47bc54c49a779825bdfeb33bf8157178
cbramod,0,bcic2a,3,motor imagery,False,True,True,True,True,True,True,True,True,True,1.0,1.0,False,ACPE has no fixed electrode lookup; actual channel labels are retained as generic signal channels,local_verified,0ff6be918985689e7df679bc731ffb70e6c6224f,0792cb808c14e6b7a2bb2ce1dff379bc47bc54c49a779825bdfeb33bf8157178
eegpt,1,hmc,0,sleep staging,True,True,False,False,False,False,False,False,True,True,0.0,0.0,False,58-channel checkpoint channel identities cannot represent C3-M2/C4-M1,official_figshare_http_403,a0e0a8fad729e2ecf4eedb3a81548a6e6d48a705,
eegpt,1,eegmmidb,1,motor imagery/execution,True,True,True,True,True,True,False,False,True,True,1.0,1.0,False,official downstream code provides named-channel subset handling for EEGMMIDB/BCIC2A-like referential inputs,official_figshare_http_403,a0e0a8fad729e2ecf4eedb3a81548a6e6d48a705,
eegpt,1,sleepedffull,2,sleep staging,False,False,False,True,False,False,False,False,True,True,0.0,0.0,False,dataset is not present; no subject/sample coverage,official_figshare_http_403,a0e0a8fad729e2ecf4eedb3a81548a6e6d48a705,
eegpt,1,bcic2a,3,motor imagery,False,True,True,True,True,True,False,False,True,True,1.0,1.0,False,official downstream code provides named-channel subset handling for EEGMMIDB/BCIC2A-like referential inputs,official_figshare_http_403,a0e0a8fad729e2ecf4eedb3a81548a6e6d48a705,
bendr,2,hmc,0,sleep staging,True,True,False,False,False,False,False,False,True,True,0.0,0.0,False,Deep1010 would treat bipolar derivations as scalp-electrode locations,official_release_available_not_needed_after_semantic_failure,ac918abaec111d15fcaa2a8fcd2bd3d8b0d81a10,
bendr,2,eegmmidb,1,motor imagery/execution,True,True,True,True,True,True,False,False,True,True,1.0,1.0,False,Deep1010 can map named referential scalp electrodes without inventing a bipolar derivation,official_release_available_not_needed_after_semantic_failure,ac918abaec111d15fcaa2a8fcd2bd3d8b0d81a10,
bendr,2,sleepedffull,2,sleep staging,False,False,False,True,False,False,False,False,True,True,0.0,0.0,False,dataset is not present; no subject/sample coverage,official_release_available_not_needed_after_semantic_failure,ac918abaec111d15fcaa2a8fcd2bd3d8b0d81a10,
bendr,2,bcic2a,3,motor imagery,False,True,True,True,True,True,False,False,True,True,1.0,1.0,False,Deep1010 can map named referential scalp electrodes without inventing a bipolar derivation,official_release_available_not_needed_after_semantic_failure,ac918abaec111d15fcaa2a8fcd2bd3d8b0d81a10,
brant,3,hmc,0,sleep staging,True,True,False,True,False,False,False,False,True,True,0.0,0.0,False,intracranial model release lacks an admissible scalp-EEG adapter/checkpoint,official_hf_repo_lists_no_weights,d66c0eddca149c87a6eaadad5cc60a235eca7f06,
brant,3,eegmmidb,1,motor imagery/execution,True,True,False,True,False,False,False,False,True,True,0.0,0.0,False,no loadable official pretrained checkpoint/config is available for an exact adapter audit,official_hf_repo_lists_no_weights,d66c0eddca149c87a6eaadad5cc60a235eca7f06,
brant,3,sleepedffull,2,sleep staging,False,False,False,True,False,False,False,False,True,True,0.0,0.0,False,dataset is not present; no subject/sample coverage,official_hf_repo_lists_no_weights,d66c0eddca149c87a6eaadad5cc60a235eca7f06,
brant,3,bcic2a,3,motor imagery,False,True,False,True,False,False,False,False,True,True,0.0,0.0,False,no loadable official pretrained checkpoint/config is available for an exact adapter audit,official_hf_repo_lists_no_weights,d66c0eddca149c87a6eaadad5cc60a235eca7f06,
eeg2rep,4,hmc,0,sleep staging,True,True,False,True,False,False,False,False,True,True,0.0,0.0,False,spatial kernel is checkpoint channel-count/order dependent,no_official_pretrained_checkpoint_located,8a72c39c8b5b1c1bd05d527c4187f30965fa5198,
eeg2rep,4,eegmmidb,1,motor imagery/execution,True,True,False,True,False,False,False,False,True,True,0.0,0.0,False,no loadable official pretrained checkpoint/config is available for an exact adapter audit,no_official_pretrained_checkpoint_located,8a72c39c8b5b1c1bd05d527c4187f30965fa5198,
eeg2rep,4,sleepedffull,2,sleep staging,False,False,False,True,False,False,False,False,True,True,0.0,0.0,False,dataset is not present; no subject/sample coverage,no_official_pretrained_checkpoint_located,8a72c39c8b5b1c1bd05d527c4187f30965fa5198,
eeg2rep,4,bcic2a,3,motor imagery,False,True,False,True,False,False,False,False,True,True,0.0,0.0,False,no loadable official pretrained checkpoint/config is available for an exact adapter audit,no_official_pretrained_checkpoint_located,8a72c39c8b5b1c1bd05d527c4187f30965fa5198,
neurogpt,5,hmc,0,sleep staging,True,True,False,True,False,False,False,False,True,True,0.0,0.0,False,checkpoint spatial convolution is channel-count/order dependent,official_hf_checkpoint_available_not_needed_after_gate,230571d45ca4369b82f33ab42fc00863c2f95598,
neurogpt,5,eegmmidb,1,motor imagery/execution,True,True,False,True,False,False,False,False,True,True,0.0,0.0,False,"official project targets BCIC2A, but exact frozen checkpoint compatibility still requires a loadable checkpoint audit",official_hf_checkpoint_available_not_needed_after_gate,230571d45ca4369b82f33ab42fc00863c2f95598,
