dataset,subject_id,fold,seed,method,BA,macro_F1,accuracy,trials
OpenBMI,4,0,0,EEGNet,0.7,0.6847414880201765,0.7,100
OpenBMI,4,0,0,LiteBN,0.8,0.797077922077922,0.8,100
OpenBMI,4,0,0,LOGIT50,0.77,0.7647058823529411,0.77,100
OpenBMI,12,0,0,EEGNet,0.7,0.696969696969697,0.7,100
OpenBMI,12,0,0,LiteBN,0.7,0.6875,0.7,100
OpenBMI,12,0,0,LOGIT50,0.7,0.6921182266009853,0.7,100
OpenBMI,13,0,0,EEGNet,0.68,0.6604414261460102,0.68,100
OpenBMI,13,0,0,LiteBN,0.6799999999999999,0.6794871794871795,0.68,100
OpenBMI,13,0,0,LOGIT50,0.7,0.6940024479804161,0.7,100
OpenBMI,17,0,0,EEGNet,0.5700000000000001,0.5501621508525996,0.57,100
OpenBMI,17,0,0,LiteBN,0.65,0.6457131288591963,0.65,100
OpenBMI,17,0,0,LOGIT50,0.61,0.5983935742971888,0.61,100
OpenBMI,18,0,0,EEGNet,0.6699999999999999,0.6673051718923279,0.67,100
OpenBMI,18,0,0,LiteBN,0.6399999999999999,0.6386993175431553,0.64,100
OpenBMI,18,0,0,LOGIT50,0.6599999999999999,0.6594551282051282,0.66,100
OpenBMI,24,0,0,EEGNet,0.64,0.6179966044142615,0.64,100
OpenBMI,24,0,0,LiteBN,0.55,0.5248653785239151,0.55,100
OpenBMI,24,0,0,LOGIT50,0.61,0.5882166613873931,0.61,100
OpenBMI,25,0,0,EEGNet,0.98,0.9799919967987194,0.98,100
OpenBMI,25,0,0,LiteBN,0.96,0.9599358974358975,0.96,100
OpenBMI,25,0,0,LOGIT50,0.98,0.9799919967987194,0.98,100
OpenBMI,29,0,0,EEGNet,0.6000000000000001,0.5985547972701726,0.6,100
OpenBMI,29,0,0,LiteBN,0.65,0.64996499649965,0.65,100
OpenBMI,29,0,0,LOGIT50,0.63,0.6296667000300271,0.63,100
OpenBMI,36,0,0,EEGNet,0.8200000000000001,0.8181818181818181,0.82,100
OpenBMI,36,0,0,LiteBN,0.9099999999999999,0.9097744360902256,0.91,100
OpenBMI,36,0,0,LOGIT50,0.88,0.8792270531400965,0.88,100
OpenBMI,37,0,0,EEGNet,0.71,0.7064480210547626,0.71,100
OpenBMI,37,0,0,LiteBN,0.72,0.7126436781609196,0.72,100
OpenBMI,37,0,0,LOGIT50,0.73,0.7237851662404092,0.73,100
OpenBMI,39,0,0,EEGNet,0.72,0.7171717171717171,0.72,100
OpenBMI,39,0,0,LiteBN,0.76,0.7596153846153846,0.76,100
OpenBMI,39,0,0,LOGIT50,0.71,0.7097387648883995,0.71,100
OpenBMI,42,0,0,EEGNet,0.6699999999999999,0.6673051718923279,0.67,100
OpenBMI,42,0,0,LiteBN,0.69,0.6892230576441103,0.69,100
OpenBMI,42,0,0,LOGIT50,0.69,0.6874684948079444,0.69,100
OpenBMI,51,0,0,EEGNet,0.69,0.6899689968996899,0.69,100
OpenBMI,51,0,0,LiteBN,0.7,0.6921182266009853,0.7,100
OpenBMI,51,0,0,LOGIT50,0.6699999999999999,0.6673051718923279,0.67,100
OpenBMI,54,0,0,EEGNet,0.73,0.7293233082706767,0.73,100
OpenBMI,54,0,0,LiteBN,0.71,0.7076318177235609,0.71,100
OpenBMI,54,0,0,LOGIT50,0.76,0.7591328783621036,0.76,100
OpenBMI,4,0,1,EEGNet,0.81,0.8098288459613652,0.81,100
OpenBMI,4,0,1,LiteBN,0.78,0.7726333195535345,0.78,100
OpenBMI,4,0,1,LOGIT50,0.82,0.8173701298701299,0.82,100
OpenBMI,12,0,1,EEGNet,0.71,0.7092731829573935,0.71,100
OpenBMI,12,0,1,LiteBN,0.79,0.7874278773155178,0.79,100
OpenBMI,12,0,1,LOGIT50,0.8200000000000001,0.8197115384615384,0.82,100
OpenBMI,13,0,1,EEGNet,0.64,0.6279454319966928,0.64,100
OpenBMI,13,0,1,LiteBN,0.66,0.6427070197562001,0.66,100
OpenBMI,13,0,1,LOGIT50,0.6699999999999999,0.6683750376846548,0.67,100
OpenBMI,17,0,1,EEGNet,0.5900000000000001,0.5710848415106182,0.59,100
OpenBMI,17,0,1,LiteBN,0.62,0.6161616161616161,0.62,100
OpenBMI,17,0,1,LOGIT50,0.63,0.6214833759590792,0.63,100
OpenBMI,18,0,1,EEGNet,0.71,0.7064480210547626,0.71,100
OpenBMI,18,0,1,LiteBN,0.74,0.7395833333333333,0.74,100
OpenBMI,18,0,1,LOGIT50,0.7,0.6995192307692308,0.7,100
OpenBMI,24,0,1,EEGNet,0.63,0.5783475783475784,0.63,100
OpenBMI,24,0,1,LiteBN,0.5800000000000001,0.525101763907734,0.58,100
OpenBMI,24,0,1,LOGIT50,0.64,0.5989304812834224,0.64,100
OpenBMI,25,0,1,EEGNet,1.0,1.0,1.0,100
OpenBMI,25,0,1,LiteBN,0.99,0.9899989998999901,0.99,100
OpenBMI,25,0,1,LOGIT50,0.99,0.9899989998999901,0.99,100
OpenBMI,29,0,1,EEGNet,0.8,0.7999199679871949,0.8,100
OpenBMI,29,0,1,LiteBN,0.8300000000000001,0.8291628982011858,0.83,100
OpenBMI,29,0,1,LOGIT50,0.8500000000000001,0.849624060150376,0.85,100
OpenBMI,36,0,1,EEGNet,0.8899999999999999,0.8897243107769424,0.89,100
OpenBMI,36,0,1,LiteBN,0.96,0.9599358974358975,0.96,100
OpenBMI,36,0,1,LOGIT50,0.9099999999999999,0.9097744360902256,0.91,100
OpenBMI,37,0,1,EEGNet,0.74,0.7383252818035426,0.74,100
OpenBMI,37,0,1,LiteBN,0.8,0.797077922077922,0.8,100
OpenBMI,37,0,1,LOGIT50,0.79,0.7863899908452854,0.79,100
OpenBMI,39,0,1,EEGNet,0.74,0.7390606182256123,0.74,100
OpenBMI,39,0,1,LiteBN,0.78,0.7799119647859143,0.78,100
OpenBMI,39,0,1,LOGIT50,0.75,0.74997499749975,0.75,100
OpenBMI,42,0,1,EEGNet,0.7,0.696969696969697,0.7,100
OpenBMI,42,0,1,LiteBN,0.7,0.6921182266009853,0.7,100
OpenBMI,42,0,1,LOGIT50,0.72,0.7144022847817217,0.72,100
OpenBMI,51,0,1,EEGNet,0.67,0.66996699669967,0.67,100
OpenBMI,51,0,1,LiteBN,0.6799999999999999,0.6692848284415047,0.68,100
