fold,seed,task,block,dimensions,persistence_supported,n_unique_subjects,n_split_observations,bootstrap_hierarchy,calibrated_utility_mean_CE,calibrated_utility_ci95,calibrated_utility_sign_probability,bootstrap,random_draws_per_subject_split,probe
0,0,mi,0,1,True,34,85,unique_subject_aggregate_across_inner_splits_then_subject_bootstrap,-0.00720215652663298,"[-0.009291550026626372, -0.005294843252042302]",0.0,"{'mean': -0.00720215652663298, 'ci95': [-0.009291550026626372, -0.005294843252042302], 'sign_probability': 0.0, 'draws': 10000, 'n_unique_subjects': 34}",100,full_128D_ridge
0,0,mi,1,1,True,34,85,unique_subject_aggregate_across_inner_splits_then_subject_bootstrap,-0.003430965909108541,"[-0.0050968181952744905, -0.001811250350186441]",0.0,"{'mean': -0.003430965909108541, 'ci95': [-0.0050968181952744905, -0.001811250350186441], 'sign_probability': 0.0, 'draws': 10000, 'n_unique_subjects': 34}",100,full_128D_ridge
0,0,mi,2,4,True,34,85,unique_subject_aggregate_across_inner_splits_then_subject_bootstrap,-0.026534042278448335,"[-0.0311238843212736, -0.021907045032261492]",0.0,"{'mean': -0.026534042278448335, 'ci95': [-0.0311238843212736, -0.021907045032261492], 'sign_probability': 0.0, 'draws': 10000, 'n_unique_subjects': 34}",100,full_128D_ridge
0,0,mi,3,4,True,34,85,unique_subject_aggregate_across_inner_splits_then_subject_bootstrap,-0.020683286766906523,"[-0.02544414373729453, -0.016142974567158873]",0.0,"{'mean': -0.020683286766906523, 'ci95': [-0.02544414373729453, -0.016142974567158873], 'sign_probability': 0.0, 'draws': 10000, 'n_unique_subjects': 34}",100,full_128D_ridge
0,0,mi,4,4,True,34,85,unique_subject_aggregate_across_inner_splits_then_subject_bootstrap,0.09642950819012477,"[0.07971129646019584, 0.11391229131680192]",1.0,"{'mean': 0.09642950819012477, 'ci95': [0.07971129646019584, 0.11391229131680192], 'sign_probability': 1.0, 'draws': 10000, 'n_unique_subjects': 34}",100,full_128D_ridge
0,0,mi,5,4,True,34,85,unique_subject_aggregate_across_inner_splits_then_subject_bootstrap,0.006397701898178751,"[-0.0017478446093811943, 0.014321166035845184]",0.9398,"{'mean': 0.006397701898178751, 'ci95': [-0.0017478446093811943, 0.014321166035845184], 'sign_probability': 0.9398, 'draws': 10000, 'n_unique_subjects': 34}",100,full_128D_ridge
0,0,mi,6,2,False,34,85,unique_subject_aggregate_across_inner_splits_then_subject_bootstrap,-0.006751359028824299,"[-0.010460619450904218, -0.0030022243917061514]",0.0001,"{'mean': -0.006751359028824299, 'ci95': [-0.010460619450904218, -0.0030022243917061514], 'sign_probability': 0.0001, 'draws': 10000, 'n_unique_subjects': 34}",100,full_128D_ridge
0,0,erp,0,1,True,34,85,unique_subject_aggregate_across_inner_splits_then_subject_bootstrap,-0.001413734494416665,"[-0.00452356652735074, 0.0013302997530973758]",0.1723,"{'mean': -0.001413734494416665, 'ci95': [-0.00452356652735074, 0.0013302997530973758], 'sign_probability': 0.1723, 'draws': 10000, 'n_unique_subjects': 34}",100,full_128D_ridge
0,0,erp,1,1,True,34,85,unique_subject_aggregate_across_inner_splits_then_subject_bootstrap,0.0004997869245861315,"[-0.0013710876201390991, 0.00234958874496855]",0.695,"{'mean': 0.0004997869245861315, 'ci95': [-0.0013710876201390991, 0.00234958874496855], 'sign_probability': 0.695, 'draws': 10000, 'n_unique_subjects': 34}",100,full_128D_ridge
0,0,erp,2,4,True,34,85,unique_subject_aggregate_across_inner_splits_then_subject_bootstrap,-0.0006922223031214579,"[-0.00426724728801673, 0.0034204835253379413]",0.3513,"{'mean': -0.0006922223031214579, 'ci95': [-0.00426724728801673, 0.0034204835253379413], 'sign_probability': 0.3513, 'draws': 10000, 'n_unique_subjects': 34}",100,full_128D_ridge
