fold,seed,task,block,inner_split,n_eval_subjects,random_draws,random_rank,persistence_supported
0,0,mi,0,0,17,100,1,True
0,0,mi,0,1,17,100,1,True
0,0,mi,0,2,17,100,1,True
0,0,mi,0,3,17,100,1,True
0,0,mi,0,4,17,100,1,True
0,0,mi,1,0,17,100,1,True
0,0,mi,1,1,17,100,1,True
0,0,mi,1,2,17,100,1,True
0,0,mi,1,3,17,100,1,True
0,0,mi,1,4,17,100,1,True
0,0,mi,2,0,17,100,4,True
0,0,mi,2,1,17,100,4,True
0,0,mi,2,2,17,100,4,True
0,0,mi,2,3,17,100,4,True
0,0,mi,2,4,17,100,4,True
0,0,mi,3,0,17,100,4,True
0,0,mi,3,1,17,100,4,True
0,0,mi,3,2,17,100,4,True
0,0,mi,3,3,17,100,4,True
0,0,mi,3,4,17,100,4,True
0,0,mi,4,0,17,100,4,True
0,0,mi,4,1,17,100,4,True
0,0,mi,4,2,17,100,4,True
0,0,mi,4,3,17,100,4,True
0,0,mi,4,4,17,100,4,True
0,0,mi,5,0,17,100,4,True
0,0,mi,5,1,17,100,4,True
0,0,mi,5,2,17,100,4,True
0,0,mi,5,3,17,100,4,True
0,0,mi,5,4,17,100,4,True
0,0,mi,6,0,17,100,2,False
0,0,mi,6,1,17,100,2,False
0,0,mi,6,2,17,100,2,False
0,0,mi,6,3,17,100,2,False
0,0,mi,6,4,17,100,2,False
0,0,erp,0,0,17,100,1,True
0,0,erp,0,1,17,100,1,True
0,0,erp,0,2,17,100,1,True
0,0,erp,0,3,17,100,1,True
0,0,erp,0,4,17,100,1,True
0,0,erp,1,0,17,100,1,True
0,0,erp,1,1,17,100,1,True
0,0,erp,1,2,17,100,1,True
0,0,erp,1,3,17,100,1,True
0,0,erp,1,4,17,100,1,True
0,0,erp,2,0,17,100,4,True
0,0,erp,2,1,17,100,4,True
0,0,erp,2,2,17,100,4,True
0,0,erp,2,3,17,100,4,True
0,0,erp,2,4,17,100,4,True
0,0,erp,3,0,17,100,4,True
0,0,erp,3,1,17,100,4,True
0,0,erp,3,2,17,100,4,True
0,0,erp,3,3,17,100,4,True
0,0,erp,3,4,17,100,4,True
0,0,erp,4,0,17,100,4,True
0,0,erp,4,1,17,100,4,True
0,0,erp,4,2,17,100,4,True
0,0,erp,4,3,17,100,4,True
0,0,erp,4,4,17,100,4,True
0,0,erp,5,0,17,100,4,True
0,0,erp,5,1,17,100,4,True
0,0,erp,5,2,17,100,4,True
0,0,erp,5,3,17,100,4,True
0,0,erp,5,4,17,100,4,True
0,0,erp,6,0,17,100,2,False
0,0,erp,6,1,17,100,2,False
0,0,erp,6,2,17,100,2,False
0,0,erp,6,3,17,100,2,False
0,0,erp,6,4,17,100,2,False
0,0,ssvep,0,0,17,100,1,True
0,0,ssvep,0,1,17,100,1,True
0,0,ssvep,0,2,17,100,1,True
0,0,ssvep,0,3,17,100,1,True
0,0,ssvep,0,4,17,100,1,True
0,0,ssvep,1,0,17,100,1,True
0,0,ssvep,1,1,17,100,1,True
0,0,ssvep,1,2,17,100,1,True
0,0,ssvep,1,3,17,100,1,True
0,0,ssvep,1,4,17,100,1,True
0,0,ssvep,2,0,17,100,4,True
0,0,ssvep,2,1,17,100,4,True
0,0,ssvep,2,2,17,100,4,True
0,0,ssvep,2,3,17,100,4,True
0,0,ssvep,2,4,17,100,4,True
0,0,ssvep,3,0,17,100,4,True
0,0,ssvep,3,1,17,100,4,True
0,0,ssvep,3,2,17,100,4,True
0,0,ssvep,3,3,17,100,4,True
0,0,ssvep,3,4,17,100,4,True
0,0,ssvep,4,0,17,100,4,True
0,0,ssvep,4,1,17,100,4,True
0,0,ssvep,4,2,17,100,4,True
0,0,ssvep,4,3,17,100,4,True
0,0,ssvep,4,4,17,100,4,True
0,0,ssvep,5,0,17,100,4,True
0,0,ssvep,5,1,17,100,4,True
0,0,ssvep,5,2,17,100,4,True
0,0,ssvep,5,3,17,100,4,True
0,0,ssvep,5,4,17,100,4,True
0,0,ssvep,6,0,17,100,2,False
0,0,ssvep,6,1,17,100,2,False
0,0,ssvep,6,2,17,100,2,False
0,0,ssvep,6,3,17,100,2,False
0,0,ssvep,6,4,17,100,2,False
