dataset,method_id,subject_id,balanced_accuracy,accuracy,macro_f1,NLL,Brier,ECE,baseline,baseline_BA,delta_BA,OUTER_TEST_USED
WBCIC_NEMAR_nm000348_authorized_development_S3,M2_SHARED_EMBEDDING_DIRECT_CONTROL,sub-1,0.95,0.95,0.9499799919967987,0.29232333049884285,0.08012252850506175,0.16326845335308462,current,0.965,-0.015000000000000013,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M2_SHARED_EMBEDDING_DIRECT_CONTROL,sub-11,0.64,0.64,0.63996399639964,0.5538138322954763,0.19492180380660348,0.11111742523498835,current,0.75,-0.10999999999999999,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M2_SHARED_EMBEDDING_DIRECT_CONTROL,sub-12,0.72,0.72,0.7181964573268921,0.46799423900674525,0.15756214301625046,0.08332736730575561,current,0.7350000000000001,-0.015000000000000124,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M2_SHARED_EMBEDDING_DIRECT_CONTROL,sub-13,0.895,0.895,0.894681411269089,0.2669365704927404,0.08021822746727021,0.08783801881596444,current,0.865,0.030000000000000027,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M2_SHARED_EMBEDDING_DIRECT_CONTROL,sub-14,0.59,0.59,0.5829518868884143,0.6899056356168188,0.24460215035314023,0.09851921476423742,current,0.6000000000000001,-0.01000000000000012,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M2_SHARED_EMBEDDING_DIRECT_CONTROL,sub-16,0.525,0.525,0.5229846099771535,0.7634336078668162,0.26936111382592015,0.16696098504588008,current,0.5700000000000001,-0.04500000000000004,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M2_SHARED_EMBEDDING_DIRECT_CONTROL,sub-17,0.825,0.825,0.8242574878863197,0.3881197795245074,0.12195163940737055,0.07758157033473252,current,0.845,-0.020000000000000018,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M2_SHARED_EMBEDDING_DIRECT_CONTROL,sub-18,0.645,0.645,0.6449911247781195,0.619671546505862,0.21718240752328719,0.0950529574835673,current,0.6499999999999999,-0.004999999999999893,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M2_SHARED_EMBEDDING_DIRECT_CONTROL,sub-19,0.9299999999999999,0.93,0.9299719887955182,0.16754760387289372,0.04962875391470438,0.03491896554362029,current,0.9450000000000001,-0.015000000000000124,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M2_SHARED_EMBEDDING_DIRECT_CONTROL,sub-2,0.765,0.765,0.7648530331457161,0.47856069603253415,0.15954802184118325,0.09183147666277364,current,0.7250000000000001,0.039999999999999925,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M2_SHARED_EMBEDDING_DIRECT_CONTROL,sub-21,0.8400000000000001,0.84,0.8392121394834691,0.3236562625894077,0.10396354762130755,0.0627452201244887,current,0.8600000000000001,-0.020000000000000018,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M2_SHARED_EMBEDDING_DIRECT_CONTROL,sub-22,0.745,0.745,0.744993624840621,0.5452024661572822,0.17838129544303552,0.09775856975466013,current,0.75,-0.0050000000000000044,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M2_SHARED_EMBEDDING_DIRECT_CONTROL,sub-23,0.96,0.96,0.9599639675708138,0.10375449658508895,0.02726573259401171,0.05390119663905353,current,0.99,-0.030000000000000027,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M2_SHARED_EMBEDDING_DIRECT_CONTROL,sub-24,0.9283459595959596,0.9282051282051282,0.9282032400589102,0.1749948025889457,0.052532852864530175,0.055368227475824275,current,0.9433396464646464,-0.01499368686868685,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M2_SHARED_EMBEDDING_DIRECT_CONTROL,sub-25,0.985,0.985,0.9849996249906248,0.06818062223867062,0.016065766871341324,0.051500427313148994,current,0.98,0.0050000000000000044,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M2_SHARED_EMBEDDING_DIRECT_CONTROL,sub-26,0.7,0.7,0.6975501562657526,0.5618354348154712,0.19328057435586365,0.09642888481263073,current,0.73,-0.030000000000000027,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M2_SHARED_EMBEDDING_DIRECT_CONTROL,sub-27,0.62,0.62,0.6196576919227305,0.6827158609569149,0.24177237385806177,0.07357220195233824,current,0.6699999999999999,-0.04999999999999993,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M2_SHARED_EMBEDDING_DIRECT_CONTROL,sub-28,0.7050000000000001,0.705,0.7037483367226531,0.55724105872897,0.19776034350673705,0.13061797520145774,current,0.66,0.04500000000000004,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M2_SHARED_EMBEDDING_DIRECT_CONTROL,sub-29,0.89,0.89,0.89,0.30695937929271827,0.09217398669142315,0.08707287597004325,current,0.915,-0.025000000000000022,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M2_SHARED_EMBEDDING_DIRECT_CONTROL,sub-3,0.865,0.865,0.8644272049408752,0.34826565081235406,0.10624185865381243,0.09124870587140321,current,0.88,-0.015000000000000013,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M2_SHARED_EMBEDDING_DIRECT_CONTROL,sub-30,0.855,0.855,0.8548221571424997,0.3628834135274774,0.10937707957371062,0.08443012921372427,current,0.875,-0.020000000000000018,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M2_SHARED_EMBEDDING_DIRECT_CONTROL,sub-31,0.575,0.575,0.5749893747343684,0.7309871981527906,0.25115409459534815,0.1380844461126253,current,0.585,-0.010000000000000009,False
