dataset,method_id,outer_fold,subjects,mean_subject_BA,Delta_BA,OUTER_TEST_USED
WBCIC_NEMAR_nm000348_authorized_development_S3,M10_CURRENT_BLEND_LOCAL_STABLE,3,8,0.7992266414141413,-0.001815814393939394,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M10_CURRENT_BLEND_LOCAL_STABLE,4,8,0.7962499999999999,-1.3877787807814457e-17,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M10_CURRENT_BLEND_LOCAL_COMPETENT3,0,9,0.8361111111111111,0.002222222222222212,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M10_CURRENT_BLEND_LOCAL_COMPETENT3,1,8,0.790625,-0.01312499999999997,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M10_CURRENT_BLEND_LOCAL_COMPETENT3,2,8,0.80125,0.005624999999999991,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M10_CURRENT_BLEND_LOCAL_COMPETENT3,3,8,0.7941808712121212,-0.006861584595959577,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M10_CURRENT_BLEND_LOCAL_COMPETENT3,4,8,0.795625,-0.0006250000000000144,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M10_LOCAL_STACK_LOGISTIC,0,9,0.838888888888889,0.004999999999999967,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M10_LOCAL_STACK_LOGISTIC,1,8,0.7925,-0.011249999999999982,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M10_LOCAL_STACK_LOGISTIC,2,8,0.7987500000000001,0.0031250000000000167,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M10_LOCAL_STACK_LOGISTIC,3,8,0.8167321654040405,0.01568970959595961,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M10_LOCAL_STACK_LOGISTIC,4,8,0.8118749999999999,0.015625,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M10_LOCAL_STACK_HISTGB,0,9,0.8361111111111111,0.002222222222222212,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M10_LOCAL_STACK_HISTGB,1,8,0.80625,0.002500000000000016,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M10_LOCAL_STACK_HISTGB,2,8,0.81125,0.015625000000000014,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M10_LOCAL_STACK_HISTGB,3,8,0.806751893939394,0.005709438131313159,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M10_LOCAL_STACK_HISTGB,4,8,0.793125,-0.003124999999999989,False
