expert,subject_id,configuration,candidate_order,history_cv_BA,history_cv_worst_session_BA,history_cv_NLL,selected,target_sessions_used,target_S3_labels_used_for_fit,OUTER_TEST_USED
EEGNet_STABLE,sub-2,"{'family': 'logistic', 'C': 0.1}",2,0.63,0.585,0.633081365127858,True,"S1,S2",False,False
EEGNet_STABLE,sub-2,"{'family': 'logistic', 'C': 1.0}",3,0.605,0.5449999999999999,0.6751734182276099,False,"S1,S2",False,False
EEGNet_STABLE,sub-21,"{'family': 'logistic', 'C': 0.001}",0,0.8625,0.8500000000000001,0.5514574986903049,False,"S1,S2",False,False
EEGNet_STABLE,sub-21,"{'family': 'logistic', 'C': 0.01}",1,0.875,0.87,0.3676315777043004,True,"S1,S2",False,False
EEGNet_STABLE,sub-21,"{'family': 'logistic', 'C': 0.1}",2,0.8725,0.855,0.2942276827641472,False,"S1,S2",False,False
EEGNet_STABLE,sub-21,"{'family': 'logistic', 'C': 1.0}",3,0.8625,0.8300000000000001,0.32759852359076136,False,"S1,S2",False,False
EEGNet_STABLE,sub-22,"{'family': 'logistic', 'C': 0.001}",0,0.6575,0.585,0.6759618207332346,False,"S1,S2",False,False
EEGNet_STABLE,sub-22,"{'family': 'logistic', 'C': 0.01}",1,0.6625,0.605,0.6576629183225676,False,"S1,S2",False,False
EEGNet_STABLE,sub-22,"{'family': 'logistic', 'C': 0.1}",2,0.685,0.625,0.7085298470944477,True,"S1,S2",False,False
EEGNet_STABLE,sub-22,"{'family': 'logistic', 'C': 1.0}",3,0.655,0.615,0.907667927883864,False,"S1,S2",False,False
EEGNet_STABLE,sub-23,"{'family': 'logistic', 'C': 0.001}",0,0.8971969696969697,0.8493939393939394,0.536721062201662,False,"S1,S2",False,False
EEGNet_STABLE,sub-23,"{'family': 'logistic', 'C': 0.01}",1,0.8870959595959595,0.8391919191919192,0.3194080951159096,False,"S1,S2",False,False
EEGNet_STABLE,sub-23,"{'family': 'logistic', 'C': 0.1}",2,0.8994949494949496,0.8439898989898991,0.24198427909424597,True,"S1,S2",False,False
EEGNet_STABLE,sub-23,"{'family': 'logistic', 'C': 1.0}",3,0.8593181818181819,0.7836363636363637,0.34414049623287163,False,"S1,S2",False,False
