dataset,method_id,outer_fold,subjects,mean_subject_BA,Delta_BA,OUTER_TEST_USED
WBCIC_NEMAR_nm000348_authorized_development_S3,M2_SHARED_EMBEDDING_DIRECT_CONTROL,0,9,0.8222222222222222,-0.011666666666666678,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M2_SHARED_EMBEDDING_DIRECT_CONTROL,1,8,0.7918750000000001,-0.011874999999999955,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M2_SHARED_EMBEDDING_DIRECT_CONTROL,2,8,0.79125,-0.004375000000000018,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M2_SHARED_EMBEDDING_DIRECT_CONTROL,3,8,0.783543244949495,-0.017499210858585856,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M2_SHARED_EMBEDDING_DIRECT_CONTROL,4,8,0.77875,-0.017499999999999988,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M2_OUTPUT_SHARED_LOGISTIC,0,9,0.8305555555555556,-0.0033333333333333487,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M2_OUTPUT_SHARED_LOGISTIC,1,8,0.8025,-0.0012500000000000011,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M2_OUTPUT_SHARED_LOGISTIC,2,8,0.8018749999999999,0.006249999999999978,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M2_OUTPUT_SHARED_LOGISTIC,3,8,0.7973642676767676,-0.003678188131313112,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M2_OUTPUT_SHARED_LOGISTIC,4,8,0.80625,0.010000000000000009,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M2_OUTPUT_SHARED_HISTGB,0,9,0.831111111111111,-0.0027777777777778173,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M2_OUTPUT_SHARED_HISTGB,1,8,0.795625,-0.008124999999999993,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M2_OUTPUT_SHARED_HISTGB,2,8,0.806875,0.01125000000000001,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M2_OUTPUT_SHARED_HISTGB,3,8,0.7961205808080808,-0.004921874999999978,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M2_OUTPUT_SHARED_HISTGB,4,8,0.80125,0.0049999999999999906,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M2_OUTPUT_ALL_SHARED_EXTRATREES,0,9,0.8350000000000001,0.0011111111111110998,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M2_OUTPUT_ALL_SHARED_EXTRATREES,1,8,0.8049999999999999,0.001250000000000015,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M2_OUTPUT_ALL_SHARED_EXTRATREES,2,8,0.79875,0.003124999999999975,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M2_OUTPUT_ALL_SHARED_EXTRATREES,3,8,0.7942266414141415,-0.0068158143939393845,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M2_OUTPUT_ALL_SHARED_EXTRATREES,4,8,0.80125,0.0050000000000000044,False
