dataset,expert,available_trials,unique_rescue_vs_current,harm_vs_current,minority_trials,minority_rescue_accuracy,OUTER_TEST_USED
OpenBMI_MI_NEMAR_nm000273_offline,fold-0_seed-0,6800,193,320,560,0.4107142857142857,False
OpenBMI_MI_NEMAR_nm000273_offline,fold-0_seed-1,6800,199,347,553,0.39059674502712477,False
OpenBMI_MI_NEMAR_nm000273_offline,fold-1_seed-0,6800,175,319,530,0.39811320754716983,False
OpenBMI_MI_NEMAR_nm000273_offline,fold-1_seed-1,6800,196,469,603,0.3034825870646766,False
OpenBMI_MI_NEMAR_nm000273_offline,fold-2_seed-0,6800,172,514,643,0.25660964230171074,False
OpenBMI_MI_NEMAR_nm000273_offline,fold-2_seed-1,6800,187,338,500,0.378,False
WBCIC_NEMAR_nm000348_authorized_development_S3,EEGNet_STABLE,8195,359,461,890,0.45730337078651684,False
WBCIC_NEMAR_nm000348_authorized_development_S3,EEGNet_STD,8195,500,762,1198,0.4015025041736227,False
WBCIC_NEMAR_nm000348_authorized_development_S3,DeepConvNet,8195,477,788,1221,0.3832923832923833,False
WBCIC_NEMAR_nm000348_authorized_development_S3,EEGConformer,8195,678,2294,2906,0.2264280798348245,False
WBCIC_NEMAR_nm000348_authorized_development_S3,TeCh,8195,561,1330,1651,0.274984857662023,False
