dataset,expert,fold-0_seed-0,fold-0_seed-1,fold-1_seed-0,fold-1_seed-1,fold-2_seed-0,fold-2_seed-1,OUTER_TEST_USED,EEGNet_STABLE,EEGNet_STD,DeepConvNet,EEGConformer,TeCh
OpenBMI_MI_NEMAR_nm000273_offline,fold-0_seed-0,1.0,0.530176197583799,0.5577674820984085,0.5293285709124373,0.5025276308886689,0.48601440031191667,False,,,,,
OpenBMI_MI_NEMAR_nm000273_offline,fold-0_seed-1,0.5301761975837989,1.0,0.5496246141311061,0.5512317902942283,0.4945804891641749,0.5061442662622023,False,,,,,
OpenBMI_MI_NEMAR_nm000273_offline,fold-1_seed-0,0.5577674820984087,0.5496246141311061,1.0,0.546914785291229,0.5204393638677541,0.4729247957790148,False,,,,,
OpenBMI_MI_NEMAR_nm000273_offline,fold-1_seed-1,0.5293285709124373,0.5512317902942283,0.546914785291229,1.0,0.5000572272942991,0.539094014460131,False,,,,,
OpenBMI_MI_NEMAR_nm000273_offline,fold-2_seed-0,0.5025276308886688,0.4945804891641749,0.5204393638677541,0.5000572272942991,1.0,0.5717468854750021,False,,,,,
OpenBMI_MI_NEMAR_nm000273_offline,fold-2_seed-1,0.48601440031191667,0.5061442662622022,0.4729247957790148,0.539094014460131,0.571746885475002,0.9999999999999999,False,,,,,
WBCIC_NEMAR_nm000348_authorized_development_S3,EEGNet_STABLE,,,,,,,False,1.0,0.5970166603552024,0.4210782488359259,0.01772575303345091,0.3609045393319272
WBCIC_NEMAR_nm000348_authorized_development_S3,EEGNet_STD,,,,,,,False,0.5970166603552023,0.9999999999999999,0.3880585021682463,0.010280487650413513,0.34151951531410435
WBCIC_NEMAR_nm000348_authorized_development_S3,DeepConvNet,,,,,,,False,0.42107824883592593,0.3880585021682463,1.0,0.09731328202632185,0.2660521255560233
WBCIC_NEMAR_nm000348_authorized_development_S3,EEGConformer,,,,,,,False,0.01772575303345091,0.010280487650413513,0.09731328202632185,1.0,0.027198375239562266
WBCIC_NEMAR_nm000348_authorized_development_S3,TeCh,,,,,,,False,0.3609045393319271,0.3415195153141043,0.2660521255560233,0.027198375239562266,1.0
