dataset,expert_a,expert_b,shared_trials,a_only_correct,b_only_correct,symmetric_unique_correct,error_correlation,OUTER_TEST_USED
OpenBMI_MI_NEMAR_nm000273_offline,fold-0_seed-0,fold-0_seed-1,6800,454,433,887,0.530176197583799,False
OpenBMI_MI_NEMAR_nm000273_offline,fold-0_seed-0,fold-1_seed-0,4800,297,295,592,0.5577674820984085,False
OpenBMI_MI_NEMAR_nm000273_offline,fold-0_seed-0,fold-1_seed-1,4800,382,281,663,0.5293285709124373,False
OpenBMI_MI_NEMAR_nm000273_offline,fold-0_seed-0,fold-2_seed-0,3600,357,193,550,0.5025276308886689,False
OpenBMI_MI_NEMAR_nm000273_offline,fold-0_seed-0,fold-2_seed-1,3600,281,239,520,0.48601440031191667,False
OpenBMI_MI_NEMAR_nm000273_offline,fold-0_seed-1,fold-1_seed-0,4800,300,305,605,0.5496246141311061,False
OpenBMI_MI_NEMAR_nm000273_offline,fold-0_seed-1,fold-1_seed-1,4800,364,270,634,0.5512317902942283,False
OpenBMI_MI_NEMAR_nm000273_offline,fold-0_seed-1,fold-2_seed-0,3600,357,204,561,0.4945804891641749,False
OpenBMI_MI_NEMAR_nm000273_offline,fold-0_seed-1,fold-2_seed-1,3600,267,236,503,0.5061442662622023,False
OpenBMI_MI_NEMAR_nm000273_offline,fold-1_seed-0,fold-1_seed-1,6800,505,376,881,0.546914785291229,False
OpenBMI_MI_NEMAR_nm000273_offline,fold-1_seed-0,fold-2_seed-0,4200,339,211,550,0.5204393638677541,False
OpenBMI_MI_NEMAR_nm000273_offline,fold-1_seed-0,fold-2_seed-1,4200,277,276,553,0.4729247957790148,False
OpenBMI_MI_NEMAR_nm000273_offline,fold-1_seed-1,fold-2_seed-0,4200,324,270,594,0.5000572272942991,False
OpenBMI_MI_NEMAR_nm000273_offline,fold-1_seed-1,fold-2_seed-1,4200,218,291,509,0.539094014460131,False
OpenBMI_MI_NEMAR_nm000273_offline,fold-2_seed-0,fold-2_seed-1,6800,339,530,869,0.5717468854750021,False
WBCIC_NEMAR_nm000348_authorized_development_S3,EEGNet_STABLE,EEGNet_STD,8195,640,480,1120,0.5970166603552024,False
WBCIC_NEMAR_nm000348_authorized_development_S3,EEGNet_STABLE,DeepConvNet,8195,917,708,1625,0.4210782488359259,False
WBCIC_NEMAR_nm000348_authorized_development_S3,EEGNet_STABLE,EEGConformer,8195,2513,999,3512,0.01772575303345091,False
WBCIC_NEMAR_nm000348_authorized_development_S3,EEGNet_STABLE,TeCh,8195,1328,661,1989,0.3609045393319272,False
WBCIC_NEMAR_nm000348_authorized_development_S3,EEGNet_STD,DeepConvNet,8195,908,859,1767,0.3880585021682463,False
WBCIC_NEMAR_nm000348_authorized_development_S3,EEGNet_STD,EEGConformer,8195,2462,1108,3570,0.010280487650413513,False
WBCIC_NEMAR_nm000348_authorized_development_S3,EEGNet_STD,TeCh,8195,1294,787,2081,0.34151951531410435,False
WBCIC_NEMAR_nm000348_authorized_development_S3,DeepConvNet,EEGConformer,8195,2296,991,3287,0.09731328202632185,False
WBCIC_NEMAR_nm000348_authorized_development_S3,DeepConvNet,TeCh,8195,1393,935,2328,0.2660521255560233,False
WBCIC_NEMAR_nm000348_authorized_development_S3,EEGConformer,TeCh,8195,1385,2232,3617,0.027198375239562266,False
