dataset,stratifier,stratum,trials,B_STRONG_CURRENT_BA,static_ensemble_BA,best_static_expert_BA,oracle_BA,available_oracle_gain,majority_wrong_minority_correct,OUTER_TEST_USED
OpenBMI_MI_NEMAR_nm000273_offline,vote_split,1-1,442,0.6447403489349488,0.6224142526190622,0.5247760214855361,1.0,0.3552596510650512,167,False
OpenBMI_MI_NEMAR_nm000273_offline,vote_split,2-0,2558,0.8587536687458008,0.857971777326616,0.5331964564852055,0.857971777326616,-0.0007818914191848325,0,False
OpenBMI_MI_NEMAR_nm000273_offline,vote_split,2-2,367,0.6252952577069832,0.5845496941432984,0.4958815335231058,1.0,0.37470474229301676,153,False
OpenBMI_MI_NEMAR_nm000273_offline,vote_split,3-1,816,0.7020152858893935,0.6937053861129137,0.588110173768837,1.0,0.29798471411060645,250,False
OpenBMI_MI_NEMAR_nm000273_offline,vote_split,3-3,146,0.6359848484848485,0.5905303030303031,0.5954545454545455,1.0,0.3640151515151515,60,False
OpenBMI_MI_NEMAR_nm000273_offline,vote_split,4-0,3617,0.917811834797289,0.917811834797289,0.8441037043380393,0.917811834797289,0.0,0,False
OpenBMI_MI_NEMAR_nm000273_offline,vote_split,4-2,243,0.680997949419002,0.6582706766917292,0.5568694463431305,1.0,0.31900205058099795,84,False
OpenBMI_MI_NEMAR_nm000273_offline,vote_split,5-1,371,0.7730005924170616,0.7753702606635071,0.70469490521327,1.0,0.22699940758293835,83,False
OpenBMI_MI_NEMAR_nm000273_offline,vote_split,6-0,1840,0.921761022376324,0.921761022376324,0.921761022376324,0.921761022376324,0.0,0,False
OpenBMI_MI_NEMAR_nm000273_offline,unanimous,False,2385,0.6847674742411585,0.6658122579175211,0.5713273081694135,1.0,0.31523252575884153,797,False
OpenBMI_MI_NEMAR_nm000273_offline,unanimous,True,8015,0.9004449616426762,0.9001954292007814,0.7650195180135337,0.9001954292007814,-0.0002495324418947398,0,False
OpenBMI_MI_NEMAR_nm000273_offline,margin_bin,"(-0.0009854, 0.118]",2080,0.6270309535104364,0.6056095825426945,0.5438359819734345,0.927834440227704,0.30080348671726764,670,False
OpenBMI_MI_NEMAR_nm000273_offline,margin_bin,"(0.118, 0.234]",2080,0.7829372690858925,0.7829372690858925,0.6559875976050165,0.8399805136945424,0.05704324460864996,118,False
OpenBMI_MI_NEMAR_nm000273_offline,margin_bin,"(0.234, 0.346]",2080,0.90373257802559,0.90373257802559,0.7563112342752422,0.9080998964976128,0.004367318472022763,9,False
OpenBMI_MI_NEMAR_nm000273_offline,margin_bin,"(0.346, 0.444]",2080,0.952438481974347,0.952438481974347,0.7929965018572613,0.952438481974347,0.0,0,False
OpenBMI_MI_NEMAR_nm000273_offline,margin_bin,"(0.444, 0.5]",2080,0.9875162265016217,0.9875162265016217,0.8550099670477198,0.9875162265016217,0.0,0,False
OpenBMI_MI_NEMAR_nm000273_offline,variance_bin,"(-0.000999999384, 0.000299]",2080,0.9508751783318585,0.9499071241208228,0.7725849266470097,0.9532629529259369,0.0023877745940783512,7,False
