benchmark,outer_fold,subject_id,role,base_kind,component_id,family,strength,c_value,group,history_base_ce,history_base_ba,history_margin_mean,history_margin_std,history_entropy_mean,history_prototype_separation,history_gradient_norm,history_session_drift,history_samples,update_rms,update_mean_abs,history_component_ce_gain,history_component_ba_gain,P_persistence,D_decision_dependence,G_task_overlap,R_history_transfer,split_update_disagreement,U_signed_utility_prior,future_ce_gain,future_ba_gain,meta_query_label_used_for_utility_target,evaluation_future_label_used_for_controller_fit,OUTER_TEST_USED,predicted_utility,predicted_sigma,controller_mode
OpenBMI_MI_S1_to_S2,0,13,outcome_evaluation,raw,CALIBRATE_C01_A50,calibration,0.5,0.1,-1,0.42261642000555094,0.8300000000000001,1.7136524701863527,1.1235889783746396,0.4361995456337428,4.003615117617352,0.35435893706166094,0.0,100.0,0.24208219845471793,0.19778664279657904,0.003398307668525502,-0.010000000000000009,0.9999906107476615,0.03,0.06493992322285959,-0.0022888721064140694,0.051740366409184016,0.0,0.002446501543556967,0.0,False,False,False,0.0004132107700927476,0.00952330825004375,META_GENERIC
OpenBMI_MI_S1_to_S2,0,13,outcome_evaluation,raw,CALIBRATE_C1_A50,calibration,0.5,1.0,-1,0.42261642000555094,0.8300000000000001,1.7136524701863527,1.1235889783746396,0.4361995456337428,4.003615117617352,0.35435893706166094,0.0,100.0,0.21623690011763444,0.20394394098690852,0.010906680407792801,-0.020000000000000018,0.9023137973927113,0.04,0.18029974927187067,0.009606216437390763,0.0885783415446079,0.0,0.006628141490852502,0.0,False,False,False,0.010536533561484193,0.0161905422776512,META_GENERIC
OpenBMI_MI_S1_to_S2,0,13,outcome_evaluation,raw,RIDGE_C001_A50,ridge_head,0.5,0.01,-1,0.42261642000555094,0.8300000000000001,1.7136524701863527,1.1235889783746396,0.4361995456337428,4.003615117617352,0.35435893706166094,0.0,100.0,0.5692569160473001,0.463647137298421,0.003616178686944971,-0.030000000000000027,0.988764295101652,0.03,0.07908731315432017,-0.019527528764273744,0.11074435709499078,0.0,-0.014584845186896844,-0.020000000000000018,False,False,False,-0.007303571858809522,0.020866845461307317,META_GENERIC
OpenBMI_MI_S1_to_S2,0,13,outcome_evaluation,raw,RIDGE_C01_A50,ridge_head,0.5,0.1,-1,0.42261642000555094,0.8300000000000001,1.7136524701863527,1.1235889783746396,0.4361995456337428,4.003615117617352,0.35435893706166094,0.0,100.0,0.43957267561247026,0.3384050530518843,0.06641660045780201,0.020000000000000018,0.5700811372735838,0.06,0.49169255441553683,0.006472117007789019,0.39254047918880874,0.0,-0.005069138009273,-0.020000000000000018,False,False,False,0.007008363581750582,0.022785530372961497,META_GENERIC
OpenBMI_MI_S1_to_S2,0,13,outcome_evaluation,raw,RIDGE_C1_A50,ridge_head,0.5,1.0,-1,0.42261642000555094,0.8300000000000001,1.7136524701863527,1.1235889783746396,0.4361995456337428,4.003615117617352,0.35435893706166094,0.0,100.0,1.2289535272411782,0.9153018028905775,0.15885256180399115,0.06999999999999984,0.4201873051636347,0.07,0.49987915346452505,-0.026791860587019656,1.1558423081644296,0.0,-0.06304285494591505,-0.030000000000000027,False,False,False,-0.008508983360408137,0.055445984760109375,META_GENERIC
OpenBMI_MI_S1_to_S2,0,13,outcome_evaluation,raw,SHRINKAGE_LDA_A50,shrinkage_lda,0.5,0.1,-1,0.42261642000555094,0.8300000000000001,1.7136524701863527,1.1235889783746396,0.4361995456337428,4.003615117617352,0.35435893706166094,0.0,100.0,1.5610802197528038,1.2952522808382714,0.13278098355016588,0.029999999999999916,0.6420423927768578,0.09,0.3997451507230757,-0.08765208671208716,1.8692674392231967,0.0,-0.166712928724225,-0.040000000000000036,False,False,False,0.0009544194067344345,0.07952226151178012,META_GENERIC
OpenBMI_MI_S1_to_S2,0,13,outcome_evaluation,raw,PROTOTYPE_TRANSPORT_A50,prototype_transport,0.5,0.1,-1,0.42261642000555094,0.8300000000000001,1.7136524701863527,1.1235889783746396,0.4361995456337428,4.003615117617352,0.35435893706166094,0.0,100.0,0.377376383444767,0.3144097709781597,0.016153036133903953,-0.030000000000000027,0.8223755942823504,0.03,0.18839132644583395,0.0006792454137122539,0.24497898541406588,0.0,-0.01679140555934916,-0.020000000000000018,False,False,False,0.010219906671190245,0.018260542757919,META_GENERIC
OpenBMI_MI_S1_to_S2,0,13,outcome_evaluation,raw,META_SGD_FULL_S025,meta_sgd,0.25,0.1,-1,0.42261642000555094,0.8300000000000001,1.7136524701863527,1.1235889783746396,0.4361995456337428,4.003615117617352,0.35435893706166094,0.0,100.0,0.25,0.23947275392773104,0.018464614595066986,-0.020000000000000018,0.8970315443903383,0.04,0.2543966934386829,0.012190991243954091,0.10730207131837756,0.0,0.007469025158989673,0.0,False,False,False,0.0061787557022115,0.010546557249352955,META_GENERIC
OpenBMI_MI_S1_to_S2,0,13,outcome_evaluation,raw,META_SGD_FULL_S050,meta_sgd,0.5,0.1,-1,0.42261642000555094,0.8300000000000001,1.7136524701863527,1.1235889783746396,0.4361995456337428,4.003615117617352,0.35435893706166094,0.0,100.0,0.5,0.4789455078554621,0.027357242102555357,-0.030000000000000027,0.8970315443903384,0.07,0.2543966934386829,0.016662962156617445,0.21460414263675512,0.0,0.006225561007179636,0.020000000000000018,False,False,False,0.008387522658717722,0.021558841677954018,META_GENERIC
OpenBMI_MI_S1_to_S2,0,13,outcome_evaluation,raw,META_SGD_PC_GROUP_00,projected_gradient,0.5,0.1,0,0.42261642000555094,0.8300000000000001,1.7136524701863527,1.1235889783746396,0.4361995456337428,4.003615117617352,0.35435893706166094,0.0,100.0,0.5,0.4851454680995013,0.019417099805264904,-0.030000000000000027,0.9234265310015678,0.07,0.2103674087865187,0.015123674873862902,0.18853692319768378,0.0,0.005143024954329889,0.020000000000000018,False,False,False,0.006291434999886094,0.02272904521831563,META_GENERIC
OpenBMI_MI_S1_to_S2,0,13,outcome_evaluation,raw,META_SGD_PC_GROUP_01,projected_gradient,0.5,0.1,1,0.42261642000555094,0.8300000000000001,1.7136524701863527,1.1235889783746396,0.4361995456337428,4.003615117617352,0.35435893706166094,0.0,100.0,0.5,0.40510598024807287,0.04021011608538555,0.029999999999999916,0.6148664992946168,0.07,0.32062834915256655,0.021539947570811263,0.44265149845238677,0.0,-0.004161418189714383,0.0,False,False,False,-0.004138006844982715,0.01655288393876325,META_GENERIC
OpenBMI_MI_S1_to_S2,0,13,outcome_evaluation,raw,META_SGD_PC_GROUP_02,projected_gradient,0.5,0.1,2,0.42261642000555094,0.8300000000000001,1.7136524701863527,1.1235889783746396,0.4361995456337428,4.003615117617352,0.35435893706166094,0.0,100.0,0.5,0.382598357250284,0.026425633044556307,-0.01000000000000012,-0.23947923202648708,0.07,0.24881789586244338,-0.01646668081959024,0.7685077703975643,0.0,-0.0019126283075691641,0.010000000000000009,False,False,False,-0.004921130202989938,0.016629827628838616,META_GENERIC
