benchmark,outer_fold,subject_id,component_id,P_persistence,G_task_overlap,R_history_transfer,future_ce_gain,future_ba_gain,OUTER_TEST_USED
OpenBMI_MI_S1_to_S2,0,45,META_SGD_FULL_S025,0.8579611984604786,0.3133574894641894,0.01207915117685826,0.013344784508220381,0.0,False
OpenBMI_MI_S1_to_S2,0,45,META_SGD_FULL_S050,0.8579611984604786,0.3133574894641894,0.021511210282030624,0.023929950880845874,0.0,False
OpenBMI_MI_S1_to_S2,0,45,META_SGD_PC_GROUP_00,0.867861045868839,0.27876310437800084,0.02033804024101074,0.024583215726545815,0.0,False
OpenBMI_MI_S1_to_S2,0,45,META_SGD_PC_GROUP_01,0.5997497211710342,0.3111986054504844,0.010858443525681744,-0.008485558410784633,0.0,False
OpenBMI_MI_S1_to_S2,0,45,META_SGD_PC_GROUP_02,0.010616656566827568,0.42021491616520973,0.000821544704982094,0.007303313026307906,0.0,False
OpenBMI_MI_S1_to_S2,0,45,META_SGD_PC_GROUP_03,0.523768943304583,0.2850111831398625,0.005424095515126723,0.002684370531428615,0.020000000000000018,False
OpenBMI_MI_S1_to_S2,0,45,META_SGD_PC_GROUP_04,-0.6334559426954527,0.14855714755565716,-0.030334733955889426,-0.004859747516420154,0.020000000000000018,False
OpenBMI_MI_S1_to_S2,0,45,META_SGD_PC_GROUP_05,0.2566384934308942,0.24030945957777916,-0.014751136607724341,-0.0038895416070262867,0.010000000000000009,False
OpenBMI_MI_S1_to_S2,0,45,META_SGD_PC_GROUP_06,0.31821520339742443,0.20289210298059318,-0.004195956759067518,0.008409813930778637,0.0,False
OpenBMI_MI_S1_to_S2,0,45,META_SGD_PC_GROUP_07,-0.20452883459335844,0.16978248788799247,-0.011683282825261501,0.0019405780183631705,0.0,False
OpenBMI_MI_S1_to_S2,0,4,META_SGD_FULL_S025,0.19541319913213787,0.4650425273331834,0.018573715582509476,0.001220249968395981,-0.009999999999999898,False
OpenBMI_MI_S1_to_S2,0,4,META_SGD_FULL_S050,0.19541319913213798,0.4650425273331835,0.029848909396782752,-0.0032186546483400913,-0.019999999999999907,False
OpenBMI_MI_S1_to_S2,0,4,META_SGD_PC_GROUP_00,0.14265447373765278,0.4017239278223795,0.027676412583495902,-0.008917843799439329,-0.019999999999999907,False
OpenBMI_MI_S1_to_S2,0,4,META_SGD_PC_GROUP_01,0.118107831493646,0.3370018157719633,-0.0020040034855518807,0.016412203617127752,0.010000000000000009,False
OpenBMI_MI_S1_to_S2,0,4,META_SGD_PC_GROUP_02,0.8319665206263398,0.37959446781643397,0.039623849549467294,-0.010654047311373427,-0.009999999999999898,False
OpenBMI_MI_S1_to_S2,0,4,META_SGD_PC_GROUP_03,0.1419516436669765,0.30352815114810117,-0.010746314350104202,-0.00936528469300485,1.1102230246251565e-16,False
OpenBMI_MI_S1_to_S2,0,4,META_SGD_PC_GROUP_04,0.5328436593425342,0.3628504119276957,0.016475953229878576,0.013955630968175314,0.0,False
OpenBMI_MI_S1_to_S2,0,4,META_SGD_PC_GROUP_05,-0.6749546776932335,0.22755715525503245,-0.042942035434573145,-0.028252948718682114,-0.029999999999999916,False
OpenBMI_MI_S1_to_S2,0,4,META_SGD_PC_GROUP_06,0.015452966410605035,0.3590348030322082,-0.002176162898749695,0.030787174186165667,0.010000000000000009,False
OpenBMI_MI_S1_to_S2,0,4,META_SGD_PC_GROUP_07,-0.2480834694659875,0.15794466011104613,-0.022385738249654646,-0.03262464643755769,-0.029999999999999805,False
OpenBMI_MI_S1_to_S2,0,35,META_SGD_FULL_S025,0.9411585797103804,0.20676764486907917,0.0035772165490543482,-0.006128896638003423,0.0,False
OpenBMI_MI_S1_to_S2,0,35,META_SGD_FULL_S050,0.9411585797103805,0.2067676448690792,0.006438536829346017,-0.0136765648660081,-0.009999999999999898,False
