benchmark,outer_fold,subject_id,role,base_kind,component_id,family,strength,c_value,group,history_base_ce,history_base_ba,history_margin_mean,history_margin_std,history_entropy_mean,history_prototype_separation,history_gradient_norm,history_session_drift,history_samples,update_rms,update_mean_abs,history_component_ce_gain,history_component_ba_gain,P_persistence,D_decision_dependence,G_task_overlap,R_history_transfer,split_update_disagreement,U_signed_utility_prior,future_ce_gain,future_ba_gain,meta_query_label_used_for_utility_target,evaluation_future_label_used_for_controller_fit,OUTER_TEST_USED
OpenBMI_MI_S1_to_S2,0,45,meta_train,raw,CALIBRATE_C01_A50,calibration,0.5,0.1,-1,0.2142268953005177,0.9299999999999999,2.40189066529274,1.333327999461468,0.3297190515841249,7.118446272904212,0.2764731253471537,0.0,100.0,0.06848438632100808,0.05590926907208377,0.0029310750922053597,0.0,0.9992519662831458,0.0,0.18480566214920394,-0.010174011013768844,0.1456663457110739,0.0,0.0019970944895504605,0.0,True,False,False
OpenBMI_MI_S1_to_S2,0,45,meta_train,raw,CALIBRATE_C1_A50,calibration,0.5,1.0,-1,0.2142268953005177,0.9299999999999999,2.40189066529274,1.333327999461468,0.3297190515841249,7.118446272904212,0.2764731253471537,0.0,100.0,0.8042125035456994,0.7023228576223215,0.024732438322489836,0.0,0.9852477589441645,0.0,0.18253841180087318,0.016839245108845796,0.7474305419918492,0.0,0.021195018527293136,0.0,True,False,False
OpenBMI_MI_S1_to_S2,0,45,meta_train,raw,RIDGE_C001_A50,ridge_head,0.5,0.01,-1,0.2142268953005177,0.9299999999999999,2.40189066529274,1.333327999461468,0.3297190515841249,7.118446272904212,0.2764731253471537,0.0,100.0,0.5221388220277965,0.43827745303208965,-0.009537744094439832,0.010000000000000009,0.9912236147987256,0.01,-0.016378508909417052,-0.03639358151234272,0.1065352841568841,0.0,-0.015938797301734448,0.0,True,False,False
OpenBMI_MI_S1_to_S2,0,45,meta_train,raw,RIDGE_C01_A50,ridge_head,0.5,0.1,-1,0.2142268953005177,0.9299999999999999,2.40189066529274,1.333327999461468,0.3297190515841249,7.118446272904212,0.2764731253471537,0.0,100.0,0.6866050342351436,0.5867455279376924,0.05920829971910424,0.030000000000000027,0.6473376039133367,0.03,0.4514001928431819,0.01713674078861986,0.36549395192902534,0.0,0.03779945893857434,0.0,True,False,False
OpenBMI_MI_S1_to_S2,0,45,meta_train,raw,RIDGE_C1_A50,ridge_head,0.5,1.0,-1,0.2142268953005177,0.9299999999999999,2.40189066529274,1.333327999461468,0.3297190515841249,7.118446272904212,0.2764731253471537,0.0,100.0,2.395473994286559,2.087448140047306,0.12602665910089567,0.040000000000000036,0.8342444576204787,0.04,0.3837232387129735,0.039381556030546556,0.96227671548423,0.0,0.06450286600688193,0.0,True,False,False
OpenBMI_MI_S1_to_S2,0,45,meta_train,raw,SHRINKAGE_LDA_A50,shrinkage_lda,0.5,0.1,-1,0.2142268953005177,0.9299999999999999,2.40189066529274,1.333327999461468,0.3297190515841249,7.118446272904212,0.2764731253471537,0.0,100.0,3.6785568428035784,3.2932685732978997,0.11804471197890218,0.040000000000000036,0.816296513702873,0.06,0.36559476166021593,-0.04212912278108502,2.6846936467502562,0.0,0.0598807725831397,0.010000000000000009,True,False,False
OpenBMI_MI_S1_to_S2,0,45,meta_train,raw,PROTOTYPE_TRANSPORT_A50,prototype_transport,0.5,0.1,-1,0.2142268953005177,0.9299999999999999,2.40189066529274,1.333327999461468,0.3297190515841249,7.118446272904212,0.2764731253471537,0.0,100.0,0.6357844857980737,0.5252926049489359,0.04017818778156168,0.0,0.9023883705096551,0.02,0.3493242046078417,0.02170631771636347,0.17741650416084725,0.0,0.03320004834984444,0.0,True,False,False
OpenBMI_MI_S1_to_S2,0,45,meta_train,raw,META_SGD_FULL_S025,meta_sgd,0.25,0.1,-1,0.2142268953005177,0.9299999999999999,2.40189066529274,1.333327999461468,0.3297190515841249,7.118446272904212,0.2764731253471537,0.0,100.0,0.24999999999999994,0.218089147147362,0.017440066269721305,0.010000000000000009,0.8579611984604786,0.01,0.3133574894641894,0.01207915117685826,0.13063060062707899,0.0,0.013344784508220381,0.0,True,False,False
OpenBMI_MI_S1_to_S2,0,45,meta_train,raw,META_SGD_FULL_S050,meta_sgd,0.5,0.1,-1,0.2142268953005177,0.9299999999999999,2.40189066529274,1.333327999461468,0.3297190515841249,7.118446272904212,0.2764731253471537,0.0,100.0,0.5,0.43617829429472393,0.03199744950075459,0.010000000000000009,0.8579611984604786,0.01,0.3133574894641894,0.021511210282030624,0.26126120125415797,0.0,0.023929950880845874,0.0,True,False,False
OpenBMI_MI_S1_to_S2,0,45,meta_train,raw,META_SGD_PC_GROUP_00,projected_gradient,0.5,0.1,0,0.2142268953005177,0.9299999999999999,2.40189066529274,1.333327999461468,0.3297190515841249,7.118446272904212,0.2764731253471537,0.0,100.0,0.49999999999999994,0.430005779518526,0.02806787992550877,0.010000000000000009,0.867861045868839,0.01,0.27876310437800084,0.02033804024101074,0.2555452557250828,0.0,0.024583215726545815,0.0,True,False,False
