benchmark,outer_fold,subject_id,component_id,family,P_persistence,D_decision_dependence,G_task_overlap,R_history_transfer,future_ce_gain,future_ba_gain,OUTER_TEST_USED
OpenBMI_MI_S1_to_S2,0,45,CALIBRATE_C01_A50,calibration,0.9992519662831458,0.0,0.18480566214920394,-0.010174011013768844,0.0019970944895504605,0.0,False
OpenBMI_MI_S1_to_S2,0,45,CALIBRATE_C1_A50,calibration,0.9852477589441645,0.0,0.18253841180087318,0.016839245108845796,0.021195018527293136,0.0,False
OpenBMI_MI_S1_to_S2,0,45,RIDGE_C001_A50,ridge_head,0.9912236147987256,0.01,-0.016378508909417052,-0.03639358151234272,-0.015938797301734448,0.0,False
OpenBMI_MI_S1_to_S2,0,45,RIDGE_C01_A50,ridge_head,0.6473376039133367,0.03,0.4514001928431819,0.01713674078861986,0.03779945893857434,0.0,False
OpenBMI_MI_S1_to_S2,0,45,RIDGE_C1_A50,ridge_head,0.8342444576204787,0.04,0.3837232387129735,0.039381556030546556,0.06450286600688193,0.0,False
OpenBMI_MI_S1_to_S2,0,45,SHRINKAGE_LDA_A50,shrinkage_lda,0.816296513702873,0.06,0.36559476166021593,-0.04212912278108502,0.0598807725831397,0.010000000000000009,False
OpenBMI_MI_S1_to_S2,0,45,PROTOTYPE_TRANSPORT_A50,prototype_transport,0.9023883705096551,0.02,0.3493242046078417,0.02170631771636347,0.03320004834984444,0.0,False
OpenBMI_MI_S1_to_S2,0,45,META_SGD_FULL_S025,meta_sgd,0.8579611984604786,0.01,0.3133574894641894,0.01207915117685826,0.013344784508220381,0.0,False
OpenBMI_MI_S1_to_S2,0,45,META_SGD_FULL_S050,meta_sgd,0.8579611984604786,0.01,0.3133574894641894,0.021511210282030624,0.023929950880845874,0.0,False
OpenBMI_MI_S1_to_S2,0,45,META_SGD_PC_GROUP_00,projected_gradient,0.867861045868839,0.01,0.27876310437800084,0.02033804024101074,0.024583215726545815,0.0,False
OpenBMI_MI_S1_to_S2,0,45,META_SGD_PC_GROUP_01,projected_gradient,0.5997497211710342,0.01,0.3111986054504844,0.010858443525681744,-0.008485558410784633,0.0,False
OpenBMI_MI_S1_to_S2,0,45,META_SGD_PC_GROUP_02,projected_gradient,0.010616656566827568,0.03,0.42021491616520973,0.000821544704982094,0.007303313026307906,0.0,False
OpenBMI_MI_S1_to_S2,0,45,META_SGD_PC_GROUP_03,projected_gradient,0.523768943304583,0.04,0.2850111831398625,0.005424095515126723,0.002684370531428615,0.020000000000000018,False
OpenBMI_MI_S1_to_S2,0,45,META_SGD_PC_GROUP_04,projected_gradient,-0.6334559426954527,0.03,0.14855714755565716,-0.030334733955889426,-0.004859747516420154,0.020000000000000018,False
OpenBMI_MI_S1_to_S2,0,45,META_SGD_PC_GROUP_05,projected_gradient,0.2566384934308942,0.01,0.24030945957777916,-0.014751136607724341,-0.0038895416070262867,0.010000000000000009,False
OpenBMI_MI_S1_to_S2,0,45,META_SGD_PC_GROUP_06,projected_gradient,0.31821520339742443,0.0,0.20289210298059318,-0.004195956759067518,0.008409813930778637,0.0,False
OpenBMI_MI_S1_to_S2,0,45,META_SGD_PC_GROUP_07,projected_gradient,-0.20452883459335844,0.02,0.16978248788799247,-0.011683282825261501,0.0019405780183631705,0.0,False
OpenBMI_MI_S1_to_S2,0,4,CALIBRATE_C01_A50,calibration,0.9910755436454701,0.02,0.04014807310819131,-0.0007278048495418799,-0.006668134405740489,-0.009999999999999898,False
OpenBMI_MI_S1_to_S2,0,4,CALIBRATE_C1_A50,calibration,0.5628092772969004,0.04,0.05620684084016565,-0.0009984496580852098,-0.005387086804401586,-0.009999999999999898,False
OpenBMI_MI_S1_to_S2,0,4,RIDGE_C001_A50,ridge_head,0.9893576987604733,0.08,0.24959847258914658,0.013553936605068484,0.003936341590716597,0.0,False
OpenBMI_MI_S1_to_S2,0,4,RIDGE_C01_A50,ridge_head,0.6957148354606993,0.11,0.628012972004145,0.058387744562605315,0.023641138930241445,0.0,False
OpenBMI_MI_S1_to_S2,0,4,RIDGE_C1_A50,ridge_head,0.616440877041111,0.18,0.5970872051380067,0.07343218044054742,0.005509690455333838,-0.009999999999999898,False
OpenBMI_MI_S1_to_S2,0,4,SHRINKAGE_LDA_A50,shrinkage_lda,0.5546390892161361,0.17,0.5577588438496233,-0.04524438968250025,0.027816138775791754,-0.009999999999999898,False
OpenBMI_MI_S1_to_S2,0,4,PROTOTYPE_TRANSPORT_A50,prototype_transport,0.8420024524234809,0.09,0.4374481289050698,0.041795071649809556,0.03197002151002715,0.010000000000000009,False
OpenBMI_MI_S1_to_S2,0,4,META_SGD_FULL_S025,meta_sgd,0.19541319913213787,0.1,0.4650425273331834,0.018573715582509476,0.001220249968395981,-0.009999999999999898,False
OpenBMI_MI_S1_to_S2,0,4,META_SGD_FULL_S050,meta_sgd,0.19541319913213798,0.11,0.4650425273331835,0.029848909396782752,-0.0032186546483400913,-0.019999999999999907,False
OpenBMI_MI_S1_to_S2,0,4,META_SGD_PC_GROUP_00,projected_gradient,0.14265447373765278,0.11,0.4017239278223795,0.027676412583495902,-0.008917843799439329,-0.019999999999999907,False
OpenBMI_MI_S1_to_S2,0,4,META_SGD_PC_GROUP_01,projected_gradient,0.118107831493646,0.08,0.3370018157719633,-0.0020040034855518807,0.016412203617127752,0.010000000000000009,False
OpenBMI_MI_S1_to_S2,0,4,META_SGD_PC_GROUP_02,projected_gradient,0.8319665206263398,0.05,0.37959446781643397,0.039623849549467294,-0.010654047311373427,-0.009999999999999898,False
OpenBMI_MI_S1_to_S2,0,4,META_SGD_PC_GROUP_03,projected_gradient,0.1419516436669765,0.08,0.30352815114810117,-0.010746314350104202,-0.00936528469300485,1.1102230246251565e-16,False
OpenBMI_MI_S1_to_S2,0,4,META_SGD_PC_GROUP_04,projected_gradient,0.5328436593425342,0.1,0.3628504119276957,0.016475953229878576,0.013955630968175314,0.0,False
OpenBMI_MI_S1_to_S2,0,4,META_SGD_PC_GROUP_05,projected_gradient,-0.6749546776932335,0.05,0.22755715525503245,-0.042942035434573145,-0.028252948718682114,-0.029999999999999916,False
OpenBMI_MI_S1_to_S2,0,4,META_SGD_PC_GROUP_06,projected_gradient,0.015452966410605035,0.11,0.3590348030322082,-0.002176162898749695,0.030787174186165667,0.010000000000000009,False
OpenBMI_MI_S1_to_S2,0,4,META_SGD_PC_GROUP_07,projected_gradient,-0.2480834694659875,0.04,0.15794466011104613,-0.022385738249654646,-0.03262464643755769,-0.029999999999999805,False
OpenBMI_MI_S1_to_S2,0,35,CALIBRATE_C01_A50,calibration,0.9987983193406736,0.0,-0.0649012209656216,-0.008084904226832196,-0.0022822074864339847,-0.009999999999999898,False
OpenBMI_MI_S1_to_S2,0,35,CALIBRATE_C1_A50,calibration,0.7873249720598344,0.0,0.09331256678820825,0.001995908360288342,0.008773812106676548,-0.009999999999999898,False
OpenBMI_MI_S1_to_S2,0,35,RIDGE_C001_A50,ridge_head,0.999585637538651,0.0,-0.03790230870032557,-0.019615866174796735,-0.024263018459640406,-0.019999999999999907,False
OpenBMI_MI_S1_to_S2,0,35,RIDGE_C01_A50,ridge_head,0.931839343460772,0.01,0.37480528966592336,-0.00028430020134186107,-0.04960703297931185,-0.039999999999999925,False
OpenBMI_MI_S1_to_S2,0,35,RIDGE_C1_A50,ridge_head,0.8492759122850055,0.02,0.31329154290955147,0.010601493928792562,-0.13151137571007593,-0.05999999999999994,False
OpenBMI_MI_S1_to_S2,0,35,SHRINKAGE_LDA_A50,shrinkage_lda,0.9189354315145987,0.02,0.3960269728156729,-0.10862843814374751,-0.41443063459304325,-0.020000000000000018,False
OpenBMI_MI_S1_to_S2,0,35,PROTOTYPE_TRANSPORT_A50,prototype_transport,0.9387301800217085,0.01,0.08684257032045764,-0.002577087449031023,-0.00202748182847845,0.0,False
OpenBMI_MI_S1_to_S2,0,35,META_SGD_FULL_S025,meta_sgd,0.9411585797103804,0.0,0.20676764486907917,0.0035772165490543482,-0.006128896638003423,0.0,False
OpenBMI_MI_S1_to_S2,0,35,META_SGD_FULL_S050,meta_sgd,0.9411585797103805,0.0,0.2067676448690792,0.006438536829346017,-0.0136765648660081,-0.009999999999999898,False
OpenBMI_MI_S1_to_S2,0,35,META_SGD_PC_GROUP_00,projected_gradient,0.935352594057907,0.0,0.17038923834537498,0.005788227210154543,-0.016289710347251102,-0.019999999999999907,False
OpenBMI_MI_S1_to_S2,0,35,META_SGD_PC_GROUP_01,projected_gradient,0.8175276389106937,0.01,0.3140642112395361,0.005751077409741814,-0.010267922799319568,0.0,False
OpenBMI_MI_S1_to_S2,0,35,META_SGD_PC_GROUP_02,projected_gradient,0.4074611374131608,0.01,0.33605126846510536,0.0040819744920091786,-0.0077300283784654256,0.010000000000000009,False
OpenBMI_MI_S1_to_S2,0,35,META_SGD_PC_GROUP_03,projected_gradient,0.766939646548485,0.01,0.34118089270157137,0.005328674617067274,0.020805803394206596,0.010000000000000009,False
OpenBMI_MI_S1_to_S2,0,35,META_SGD_PC_GROUP_04,projected_gradient,0.6248323100819172,0.02,0.3603431888105824,0.007779665917986411,-0.006811728655622518,-0.019999999999999907,False
OpenBMI_MI_S1_to_S2,0,35,META_SGD_PC_GROUP_05,projected_gradient,0.24222850271209928,0.01,0.3598028000400495,-2.3187897046878653e-05,-0.013928477201904266,-0.030000000000000027,False
OpenBMI_MI_S1_to_S2,0,35,META_SGD_PC_GROUP_06,projected_gradient,0.4002690162365304,0.0,0.29802092546438735,0.0010242947771426543,0.0003536654660570848,-0.010000000000000009,False
OpenBMI_MI_S1_to_S2,0,35,META_SGD_PC_GROUP_07,projected_gradient,0.4832325884481271,0.01,0.41695209869425637,0.0056604349944261965,-0.017059258022070645,-0.019999999999999907,False
OpenBMI_MI_S1_to_S2,0,27,CALIBRATE_C01_A50,calibration,0.9769588424729437,0.0,0.27334118425657333,-0.008336449142745131,0.0013190351104557518,0.0,False
OpenBMI_MI_S1_to_S2,0,27,CALIBRATE_C1_A50,calibration,0.9782299239146747,0.01,0.2548155102730943,0.030418157793271082,0.008042282944110801,0.0,False
OpenBMI_MI_S1_to_S2,0,27,RIDGE_C001_A50,ridge_head,0.9837978777190018,0.02,-0.14067426046095308,-0.051033915216508054,-0.019355759338686607,0.010000000000000009,False
OpenBMI_MI_S1_to_S2,0,27,RIDGE_C01_A50,ridge_head,0.27542852870334394,0.02,0.47361167582122243,-0.006384240333683518,0.006419840238259339,0.010000000000000009,False
OpenBMI_MI_S1_to_S2,0,27,RIDGE_C1_A50,ridge_head,0.7838111585966644,0.03,0.41400635698387006,0.016981083999135053,0.01032391644832413,0.010000000000000009,False
OpenBMI_MI_S1_to_S2,0,27,SHRINKAGE_LDA_A50,shrinkage_lda,0.8957690319235916,0.02,0.4378661783445739,-0.013157100883003078,-0.013421939973429192,0.0,False
OpenBMI_MI_S1_to_S2,0,27,PROTOTYPE_TRANSPORT_A50,prototype_transport,0.5841679196807622,0.03,0.34237839091773686,-0.0001289221800437057,0.012996669756469112,0.010000000000000009,False
OpenBMI_MI_S1_to_S2,0,27,META_SGD_FULL_S025,meta_sgd,0.8494699767466639,0.01,0.36156177120012845,0.007807072264558124,0.00426539499286735,0.0,False
OpenBMI_MI_S1_to_S2,0,27,META_SGD_FULL_S050,meta_sgd,0.8494699767466638,0.01,0.36156177120012845,0.01383511657777231,0.0074651741519980025,0.0,False
