benchmark,subject_id,oracle_expert,oracle_BA,anchor_BA,used_to_tune_router,OUTER_TEST_USED
openbmi,1,initial_persist,0.8300000000000001,0.8,False,False
openbmi,2,initial_persist,0.83,0.83,False,False
openbmi,3,initial_persist,0.97,0.97,False,False
openbmi,4,fbc_head,0.81,0.8,False,False
openbmi,5,conformer_head,0.87,0.84,False,False
openbmi,6,initial_persist,0.97,0.97,False,False
openbmi,7,anchor,0.87,0.87,False,False
openbmi,8,identity_head,0.8200000000000001,0.76,False,False
openbmi,9,fbc_head,0.8300000000000001,0.81,False,False
openbmi,10,identity_head,0.8300000000000001,0.8,False,False
openbmi,11,identity_head,0.76,0.72,False,False
openbmi,12,initial_persist,0.79,0.79,False,False
openbmi,13,initial_persist,0.78,0.78,False,False
openbmi,14,initial_persist,0.8,0.8,False,False
openbmi,15,anchor,0.91,0.91,False,False
openbmi,16,conformer_head,0.8999999999999999,0.87,False,False
openbmi,17,initial_persist,0.64,0.64,False,False
openbmi,18,initial_persist,0.9299999999999999,0.9099999999999999,False,False
openbmi,19,conformer_head,0.87,0.73,False,False
openbmi,20,conformer_head,0.9299999999999999,0.9,False,False
openbmi,21,identity_head,0.99,0.97,False,False
openbmi,22,anchor,0.8,0.8,False,False
openbmi,23,identity_head,0.8400000000000001,0.77,False,False
openbmi,24,initial_persist,0.61,0.58,False,False
openbmi,25,initial_persist,0.99,0.99,False,False
openbmi,26,conformer_head,0.89,0.84,False,False
openbmi,27,anchor,0.94,0.94,False,False
openbmi,28,initial_persist,0.96,0.96,False,False
openbmi,29,initial_persist,0.8600000000000001,0.8400000000000001,False,False
openbmi,30,initial_persist,0.75,0.75,False,False
openbmi,31,identity_head,0.88,0.8300000000000001,False,False
openbmi,32,fbc_head,0.9099999999999999,0.8600000000000001,False,False
openbmi,33,conformer_head,0.97,0.95,False,False
openbmi,34,initial_persist,0.76,0.76,False,False
openbmi,35,initial_persist,0.8899999999999999,0.8899999999999999,False,False
openbmi,36,conformer_head,1.0,0.98,False,False
openbmi,37,initial_persist,0.95,0.95,False,False
openbmi,38,initial_persist,0.8,0.76,False,False
openbmi,39,conformer_head,0.8400000000000001,0.8300000000000001,False,False
openbmi,40,conformer_head,0.86,0.8200000000000001,False,False
openbmi,41,initial_persist,0.79,0.78,False,False
openbmi,42,initial_persist,0.8,0.78,False,False
openbmi,43,conformer_head,0.95,0.9199999999999999,False,False
openbmi,44,initial_persist,0.97,0.95,False,False
openbmi,45,initial_persist,0.94,0.94,False,False
openbmi,46,conformer_head,0.8200000000000001,0.74,False,False
openbmi,47,conformer_head,0.96,0.95,False,False
openbmi,48,conformer_head,0.63,0.5800000000000001,False,False
openbmi,49,conformer_head,0.88,0.87,False,False
openbmi,50,anchor,0.63,0.63,False,False
openbmi,51,identity_head,0.75,0.73,False,False
openbmi,52,anchor,0.8200000000000001,0.8200000000000001,False,False
openbmi,53,initial_persist,0.8500000000000001,0.8500000000000001,False,False
openbmi,54,anchor,0.82,0.82,False,False
wbcic,sub-1,initial_persist,0.96,0.96,False,False
wbcic,sub-11,initial_persist,0.7749999999999999,0.75,False,False
wbcic,sub-12,initial_persist,0.73,0.73,False,False
wbcic,sub-13,anchor,0.895,0.895,False,False
wbcic,sub-14,identity_head,0.6,0.555,False,False
wbcic,sub-16,conformer_head,0.605,0.535,False,False
wbcic,sub-17,identity_head,0.875,0.855,False,False
wbcic,sub-18,identity_head,0.6599999999999999,0.645,False,False
wbcic,sub-19,conformer_head,0.9550000000000001,0.95,False,False
wbcic,sub-2,initial_persist,0.785,0.765,False,False
wbcic,sub-21,conformer_head,0.875,0.865,False,False
wbcic,sub-22,anchor,0.8600000000000001,0.8600000000000001,False,False
wbcic,sub-23,initial_persist,0.98,0.98,False,False
wbcic,sub-24,initial_persist,0.9488636363636365,0.9434974747474747,False,False
wbcic,sub-25,identity_head,0.99,0.975,False,False
wbcic,sub-26,conformer_head,0.745,0.72,False,False
wbcic,sub-27,conformer_head,0.6599999999999999,0.61,False,False
wbcic,sub-28,anchor,0.74,0.74,False,False
wbcic,sub-29,conformer_head,0.96,0.94,False,False
wbcic,sub-3,initial_persist,0.9099999999999999,0.9099999999999999,False,False
wbcic,sub-30,anchor,0.905,0.905,False,False
wbcic,sub-31,initial_persist,0.615,0.5900000000000001,False,False
wbcic,sub-32,initial_persist,0.74,0.715,False,False
wbcic,sub-33,identity_head,0.975,0.975,False,False
wbcic,sub-34,initial_persist,0.62,0.61,False,False
wbcic,sub-35,initial_persist,0.955,0.955,False,False
wbcic,sub-36,initial_persist,0.99,0.99,False,False
wbcic,sub-37,initial_persist,0.87,0.87,False,False
wbcic,sub-38,initial_persist,0.59,0.505,False,False
wbcic,sub-41,initial_persist,0.94,0.905,False,False
wbcic,sub-42,identity_head,0.715,0.715,False,False
wbcic,sub-44,initial_persist,0.87,0.87,False,False
wbcic,sub-45,initial_persist,0.96,0.96,False,False
wbcic,sub-47,initial_persist,0.96,0.96,False,False
wbcic,sub-48,initial_persist,0.8500000000000001,0.8500000000000001,False,False
wbcic,sub-49,initial_persist,0.925,0.925,False,False
wbcic,sub-5,initial_persist,0.845,0.8300000000000001,False,False
wbcic,sub-50,initial_persist,0.955,0.955,False,False
wbcic,sub-6,anchor,0.9299999999999999,0.9299999999999999,False,False
wbcic,sub-7,initial_persist,0.855,0.855,False,False
wbcic,sub-9,identity_head,0.645,0.6000000000000001,False,False
