benchmark,method_id,subject_id,outer_fold,BA,NLL
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__CONFORMER_NORM_FIXED_CALIBRATION,sub-49,2,0.92,0.16827371612108682
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__CONFORMER_NORM_FIXED_CALIBRATION,sub-5,0,0.815,0.3642339376521376
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__CONFORMER_NORM_FIXED_CALIBRATION,sub-50,4,0.955,0.10112971244518092
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__CONFORMER_NORM_FIXED_CALIBRATION,sub-6,3,0.9299999999999999,0.1505813733672751
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__CONFORMER_NORM_FIXED_CALIBRATION,sub-7,4,0.855,0.31179220306685684
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__CONFORMER_NORM_FIXED_CALIBRATION,sub-9,2,0.615,0.6296133396411064
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__CONFORMER_NORM_FIXED_HEAD,sub-1,0,0.97,0.1544126180454437
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__CONFORMER_NORM_FIXED_HEAD,sub-11,1,0.75,0.459063843908295
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__CONFORMER_NORM_FIXED_HEAD,sub-12,4,0.745,0.4681221476015629
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__CONFORMER_NORM_FIXED_HEAD,sub-13,1,0.905,0.2673013300046079
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__CONFORMER_NORM_FIXED_HEAD,sub-14,4,0.5449999999999999,0.6962406575093599
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__CONFORMER_NORM_FIXED_HEAD,sub-16,0,0.595,0.6933387070038838
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__CONFORMER_NORM_FIXED_HEAD,sub-17,4,0.88,0.309538192970533
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__CONFORMER_NORM_FIXED_HEAD,sub-18,1,0.66,0.6107008449228789
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__CONFORMER_NORM_FIXED_HEAD,sub-19,0,0.9450000000000001,0.11934964050462099
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__CONFORMER_NORM_FIXED_HEAD,sub-2,1,0.75,0.4504133499039761
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__CONFORMER_NORM_FIXED_HEAD,sub-21,0,0.895,0.2558448573472515
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__CONFORMER_NORM_FIXED_HEAD,sub-22,2,0.835,0.3726374732667178
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__CONFORMER_NORM_FIXED_HEAD,sub-23,3,0.985,0.05075293186108255
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__CONFORMER_NORM_FIXED_HEAD,sub-24,3,0.943655303030303,0.1329564626346262
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__CONFORMER_NORM_FIXED_HEAD,sub-25,2,0.99,0.05359651028062881
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__CONFORMER_NORM_FIXED_HEAD,sub-26,2,0.76,0.4826997708341129
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__CONFORMER_NORM_FIXED_HEAD,sub-27,1,0.655,0.6210369784613875
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__CONFORMER_NORM_FIXED_HEAD,sub-28,0,0.72,0.5001153110039028
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__CONFORMER_NORM_FIXED_HEAD,sub-29,2,0.965,0.17282356928419257
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__CONFORMER_NORM_FIXED_HEAD,sub-3,0,0.895,0.22825892354118354
