benchmark,subset,experts,mean_subject_BA,NLL,outcome_labels_used_to_rank_subset,used_to_tune_router,OUTER_TEST_USED
openbmi,identity_head+conformer_head+initial_persist,3,0.8427777777777777,0.35044137561782546,True,False,False
openbmi,anchor+identity_head+conformer_head,3,0.8424074074074073,0.35066430770953955,True,False,False
openbmi,anchor+identity_head+fbc_head+initial_persist,4,0.8412962962962963,0.35835550487158224,True,False,False
openbmi,anchor+identity_head+conformer_head+initial_persist,4,0.840925925925926,0.3515897417484428,True,False,False
openbmi,anchor+identity_head+conformer_head+fbc_head+initial_persist,5,0.8409259259259259,0.34771263972402944,True,False,False
openbmi,identity_head+conformer_head+fbc_head+initial_persist,4,0.8400000000000001,0.35133971286116883,True,False,False
openbmi,anchor+identity_head+conformer_head+fbc_head,4,0.8394444444444445,0.3513096971215404,True,False,False
openbmi,anchor+conformer_head+fbc_head+initial_persist,4,0.8394444444444441,0.35370002697362257,True,False,False
openbmi,anchor+conformer_head+fbc_head,3,0.8385185185185186,0.35690598485418984,True,False,False
openbmi,identity_head+fbc_head+initial_persist,3,0.8385185185185186,0.3604192428499628,True,False,False
openbmi,identity_head+initial_persist,2,0.8385185185185183,0.3635974756296533,True,False,False
openbmi,anchor+identity_head+initial_persist,3,0.8383333333333334,0.3703411526217101,True,False,False
openbmi,anchor+conformer_head,2,0.8377777777777775,0.36177367790185455,True,False,False
openbmi,anchor+identity_head,2,0.8375925925925927,0.3649524313963023,True,False,False
openbmi,anchor+conformer_head+initial_persist,3,0.8375925925925924,0.3646179175917419,True,False,False
openbmi,conformer_head+fbc_head+initial_persist,3,0.8374074074074074,0.35681830008690935,True,False,False
openbmi,anchor+identity_head+fbc_head,3,0.8374074074074073,0.3607827431559791,True,False,False
openbmi,anchor+fbc_head+initial_persist,3,0.8372222222222222,0.3735948004706976,True,False,False
openbmi,conformer_head+initial_persist,2,0.8362962962962963,0.361027398459365,True,False,False
openbmi,anchor+fbc_head,2,0.8342592592592593,0.37668799312498447,True,False,False
openbmi,anchor+initial_persist,2,0.8335185185185184,0.4097553820436247,True,False,False
openbmi,initial_persist,1,0.8325925925925924,0.40782117171142496,True,False,False
openbmi,fbc_head+initial_persist,2,0.8322222222222222,0.37555990643335174,True,False,False
openbmi,anchor,1,0.8320370370370371,0.41366674555612915,True,False,False
openbmi,identity_head+conformer_head+fbc_head,3,0.8283333333333333,0.38168419460487746,True,False,False
openbmi,identity_head+conformer_head,2,0.8251851851851852,0.38637622099182356,True,False,False
openbmi,conformer_head+fbc_head,2,0.815,0.4097512933015654,True,False,False
openbmi,identity_head+fbc_head,2,0.8101851851851852,0.40783467242272714,True,False,False
openbmi,conformer_head,1,0.8046296296296297,0.45114163011463015,True,False,False
openbmi,identity_head,1,0.802037037037037,0.4229362184550763,True,False,False
openbmi,fbc_head,1,0.7655555555555553,0.5047523012832977,True,False,False
wbcic,anchor+conformer_head+initial_persist,3,0.8258233247105198,0.33991944767072463,True,False,False
wbcic,anchor+conformer_head,2,0.8249672025129341,0.34306296361120747,True,False,False
wbcic,conformer_head+initial_persist,2,0.824845251293422,0.3436942422449313,True,False,False
wbcic,anchor+identity_head+conformer_head+initial_persist,4,0.8241096945060359,0.3436894324432209,True,False,False
wbcic,anchor+initial_persist,2,0.8238696415373243,0.34831559604848655,True,False,False
wbcic,initial_persist,1,0.821679600886918,0.3537672954204492,True,False,False
wbcic,identity_head+conformer_head+initial_persist,3,0.8210596821877312,0.34792872034217814,True,False,False
wbcic,anchor+identity_head+initial_persist,3,0.8210570645479182,0.35011858180321015,True,False,False
wbcic,anchor,1,0.8208170115792067,0.3492746437845069,True,False,False
wbcic,anchor+identity_head+conformer_head,3,0.8205731091401823,0.34852092231200094,True,False,False
wbcic,anchor+identity_head,2,0.81837536954915,0.3580102798220707,True,False,False
wbcic,identity_head+initial_persist,2,0.8180070522296131,0.3570980527761109,True,False,False
wbcic,conformer_head,1,0.8137452266568119,0.37609910257019813,True,False,False
wbcic,identity_head+conformer_head,2,0.8115462552352795,0.3644552876095853,True,False,False
wbcic,identity_head,1,0.7944629219019463,0.3987287687601683,True,False,False
