benchmark,method_id,subject_id,outer_fold,BA,NLL
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__CONFORMER_CCALIGN_FIXED_CALIBRATION,sub-1,0,0.95,0.21504088777028085
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__CONFORMER_CCALIGN_FIXED_CALIBRATION,sub-11,1,0.76,0.474080009416583
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__CONFORMER_CCALIGN_FIXED_CALIBRATION,sub-12,4,0.755,0.5045194600052799
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__CONFORMER_CCALIGN_FIXED_CALIBRATION,sub-13,1,0.8899999999999999,0.28072158436425826
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__CONFORMER_CCALIGN_FIXED_CALIBRATION,sub-14,4,0.52,0.7136298567629514
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__CONFORMER_CCALIGN_FIXED_CALIBRATION,sub-16,0,0.5700000000000001,0.697503907987435
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__CONFORMER_CCALIGN_FIXED_CALIBRATION,sub-17,4,0.8200000000000001,0.35046195165006977
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__CONFORMER_CCALIGN_FIXED_CALIBRATION,sub-18,1,0.655,0.5978046044139659
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__CONFORMER_CCALIGN_FIXED_CALIBRATION,sub-19,0,0.95,0.13088881461896215
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__CONFORMER_CCALIGN_FIXED_CALIBRATION,sub-2,1,0.745,0.45302246740860924
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__CONFORMER_CCALIGN_FIXED_CALIBRATION,sub-21,0,0.855,0.2841482090284769
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__CONFORMER_CCALIGN_FIXED_CALIBRATION,sub-22,2,0.8049999999999999,0.4420941430750102
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__CONFORMER_CCALIGN_FIXED_CALIBRATION,sub-23,3,0.985,0.051255045105241495
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__CONFORMER_CCALIGN_FIXED_CALIBRATION,sub-24,3,0.9488636363636365,0.13424633220664864
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__CONFORMER_CCALIGN_FIXED_CALIBRATION,sub-25,2,0.99,0.08229071901412695
