benchmark,method_id,subject_id,outer_fold,BA,NLL
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__HISTORY_EA_EEGNET_FIXED_CALIBRATION,sub-47,4,0.965,0.12000270638335434
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__HISTORY_EA_EEGNET_FIXED_CALIBRATION,sub-48,4,0.855,0.2973584086900112
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__HISTORY_EA_EEGNET_FIXED_CALIBRATION,sub-49,2,0.885,0.2623274580530268
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__HISTORY_EA_EEGNET_FIXED_CALIBRATION,sub-5,0,0.8,0.3820598933733709
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__HISTORY_EA_EEGNET_FIXED_CALIBRATION,sub-50,4,0.955,0.09200706048144268
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__HISTORY_EA_EEGNET_FIXED_CALIBRATION,sub-6,3,0.935,0.1506756258910073
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__HISTORY_EA_EEGNET_FIXED_CALIBRATION,sub-7,4,0.8200000000000001,0.41580774763736533
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__HISTORY_EA_EEGNET_FIXED_CALIBRATION,sub-9,2,0.61,0.6252200385674894
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__HISTORY_EA_EEGNET_FIXED_HEAD,sub-1,0,0.885,0.2782328465607334
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__HISTORY_EA_EEGNET_FIXED_HEAD,sub-11,1,0.73,0.5088513121993051
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__HISTORY_EA_EEGNET_FIXED_HEAD,sub-12,4,0.755,0.44657326632003985
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__HISTORY_EA_EEGNET_FIXED_HEAD,sub-13,1,0.835,0.36420989843082074
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__HISTORY_EA_EEGNET_FIXED_HEAD,sub-14,4,0.595,0.7209290575858489
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__HISTORY_EA_EEGNET_FIXED_HEAD,sub-16,0,0.51,0.7372971112508762
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__HISTORY_EA_EEGNET_FIXED_HEAD,sub-17,4,0.85,0.3338362728217665
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__HISTORY_EA_EEGNET_FIXED_HEAD,sub-18,1,0.645,0.5944595787566694
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__HISTORY_EA_EEGNET_FIXED_HEAD,sub-19,0,0.965,0.0983222134074154
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__HISTORY_EA_EEGNET_FIXED_HEAD,sub-2,1,0.775,0.4102173872997049
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__HISTORY_EA_EEGNET_FIXED_HEAD,sub-21,0,0.87,0.29025342848156604
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__HISTORY_EA_EEGNET_FIXED_HEAD,sub-22,2,0.87,0.3199228342846038
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__HISTORY_EA_EEGNET_FIXED_HEAD,sub-23,3,0.96,0.1171802650365701
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__HISTORY_EA_EEGNET_FIXED_HEAD,sub-24,3,0.9433396464646464,0.13984627666611316
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__HISTORY_EA_EEGNET_FIXED_HEAD,sub-25,2,0.975,0.1335857043944942
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__HISTORY_EA_EEGNET_FIXED_HEAD,sub-26,2,0.73,0.5430575018952161
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__HISTORY_EA_EEGNET_FIXED_HEAD,sub-27,1,0.65,0.6431551001645957
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__HISTORY_EA_EEGNET_FIXED_HEAD,sub-28,0,0.72,0.5543375693137099
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__HISTORY_EA_EEGNET_FIXED_HEAD,sub-29,2,0.905,0.27404305296369186
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__HISTORY_EA_EEGNET_FIXED_HEAD,sub-3,0,0.875,0.2862726197772471
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__HISTORY_EA_EEGNET_FIXED_HEAD,sub-30,3,0.9099999999999999,0.23347275650647417
