benchmark,outer_fold,subject_id,oracle_component,oracle_BA,oracle_NLL,used_to_tune_policy,OUTER_TEST_USED
OpenBMI_MI_S1_to_S2,0,13,META_SGD_PC_GROUP_06,0.8,0.4442328402257386,False,False
OpenBMI_MI_S1_to_S2,0,14,PROTOTYPE_TRANSPORT_A50,0.8300000000000001,0.44187141356204934,False,False
OpenBMI_MI_S1_to_S2,0,19,SHRINKAGE_LDA_A50,0.8400000000000001,0.43116185295383835,False,False
OpenBMI_MI_S1_to_S2,0,2,SHRINKAGE_LDA_A50,0.87,0.36233797702109305,False,False
OpenBMI_MI_S1_to_S2,0,32,META_SGD_PC_GROUP_00,0.89,0.31643543487761183,False,False
OpenBMI_MI_S1_to_S2,0,33,RIDGE_C1_A50,0.95,0.13142413090204813,False,False
OpenBMI_MI_S1_to_S2,0,36,SHRINKAGE_LDA_A50,0.99,0.01898468714475064,False,False
OpenBMI_MI_S1_to_S2,0,40,RIDGE_C01_A50,0.85,0.3378331207934916,False,False
OpenBMI_MI_S1_to_S2,0,47,CALIBRATE_C1_A50,0.97,0.11960789843634871,False,False
OpenBMI_MI_S1_to_S2,0,50,RIDGE_C1_A50,0.65,0.7190471699004405,False,False
OpenBMI_MI_S1_to_S2,0,53,META_SGD_PC_GROUP_02,0.88,0.3349877880503117,False,False
OpenBMI_MI_S1_to_S2,1,1,RIDGE_C1_A50,0.81,0.5633152205282553,False,False
OpenBMI_MI_S1_to_S2,1,10,RIDGE_C01_A50,0.8200000000000001,0.446011074926473,False,False
OpenBMI_MI_S1_to_S2,1,16,META_SGD_PC_GROUP_07,0.88,0.2717885180337201,False,False
OpenBMI_MI_S1_to_S2,1,25,META_SGD_PC_GROUP_02,1.0,0.03992865179561255,False,False
OpenBMI_MI_S1_to_S2,1,35,PROTOTYPE_TRANSPORT_A50,0.89,0.2881470904365075,False,False
OpenBMI_MI_S1_to_S2,1,42,SHRINKAGE_LDA_A50,0.79,0.5285705969411779,False,False
OpenBMI_MI_S1_to_S2,1,43,RIDGE_C001_A50,0.9199999999999999,0.22665039158196765,False,False
OpenBMI_MI_S1_to_S2,1,45,CALIBRATE_C1_A50,0.96,0.16964722455061612,False,False
OpenBMI_MI_S1_to_S2,1,48,CALIBRATE_C01_A50,0.63,0.7151749626217895,False,False
OpenBMI_MI_S1_to_S2,1,5,SHRINKAGE_LDA_A50,0.8200000000000001,0.6184512531672088,False,False
OpenBMI_MI_S1_to_S2,1,6,SHRINKAGE_LDA_A50,0.99,0.10249222709800485,False,False
OpenBMI_MI_S1_to_S2,2,18,META_SGD_PC_GROUP_04,0.9099999999999999,0.2307558286276263,False,False
OpenBMI_MI_S1_to_S2,2,22,PROTOTYPE_TRANSPORT_A50,0.88,0.31930837493886455,False,False
OpenBMI_MI_S1_to_S2,2,26,META_SGD_PC_GROUP_03,0.8899999999999999,0.2674098888034686,False,False
OpenBMI_MI_S1_to_S2,2,29,META_SGD_PC_GROUP_06,0.87,0.3472544639706988,False,False
OpenBMI_MI_S1_to_S2,2,34,RIDGE_C01_A50,0.74,0.729738206133477,False,False
OpenBMI_MI_S1_to_S2,2,4,SHRINKAGE_LDA_A50,0.81,0.40208281176801947,False,False
OpenBMI_MI_S1_to_S2,2,44,SHRINKAGE_LDA_A50,0.94,0.11485920399891646,False,False
OpenBMI_MI_S1_to_S2,2,51,META_SGD_PC_GROUP_04,0.79,0.5318992382694003,False,False
OpenBMI_MI_S1_to_S2,2,52,META_SGD_PC_GROUP_01,0.84,0.48927670482106406,False,False
OpenBMI_MI_S1_to_S2,2,54,META_SGD_PC_GROUP_04,0.8300000000000001,0.49102629487365745,False,False
OpenBMI_MI_S1_to_S2,2,7,RIDGE_C1_A50,0.8799999999999999,0.41335194221935995,False,False
OpenBMI_MI_S1_to_S2,3,15,RIDGE_C1_A50,0.9299999999999999,0.23647561882862775,False,False
OpenBMI_MI_S1_to_S2,3,17,META_SGD_FULL_S050,0.65,0.9028569352929438,False,False
OpenBMI_MI_S1_to_S2,3,20,META_SGD_PC_GROUP_07,0.92,0.2176638902882924,False,False
OpenBMI_MI_S1_to_S2,3,21,SHRINKAGE_LDA_A50,0.99,0.012736377978495523,False,False
OpenBMI_MI_S1_to_S2,3,24,PROTOTYPE_TRANSPORT_A50,0.64,0.7854447174966414,False,False
OpenBMI_MI_S1_to_S2,3,27,PROTOTYPE_TRANSPORT_A50,0.95,0.1406818432675265,False,False
