benchmark,outer_fold,mode,controller_id,kappa,threshold,scale,subject_id,selected_component,action,risk_adjusted_score,predicted_utility,predicted_sigma,BA,base_BA,Delta_BA,NLL,base_NLL,target_future_labels_used_for_selection,OUTER_TEST_USED
OpenBMI_MI_S1_to_S2,0,META_GENERIC,RIDGE_A1,0.0,0.005,0.5,13,CALIBRATE_C1_A50,ADAPT,0.005536533561484193,0.010536533561484193,0.0161905422776512,0.78,0.78,0.0,0.4474974744393739,0.4516706989799591,False,False
OpenBMI_MI_S1_to_S2,0,META_GENERIC,RIDGE_A1,0.0,0.005,0.5,14,PRESERVE,PRESERVE,-0.006740738275083027,-0.0017407382750830275,0.0161905422776512,0.8,0.8,0.0,0.4494486452769181,0.4494486452769181,False,False
OpenBMI_MI_S1_to_S2,0,META_GENERIC,RIDGE_A1,0.0,0.005,0.5,19,RIDGE_C01_A50,ADAPT,0.00634143013907187,0.01134143013907187,0.022785530372961497,0.76,0.73,0.030000000000000027,0.5516589829081011,0.6669744141031945,False,False
OpenBMI_MI_S1_to_S2,0,META_GENERIC,RIDGE_A1,0.0,0.005,0.5,2,CALIBRATE_C1_A50,ADAPT,0.008638396592117285,0.013638396592117285,0.0161905422776512,0.84,0.83,0.010000000000000009,0.3947090406913486,0.4014263474040984,False,False
OpenBMI_MI_S1_to_S2,0,META_GENERIC,RIDGE_A1,0.0,0.005,0.5,32,RIDGE_C01_A50,ADAPT,0.01186555720698047,0.01686555720698047,0.022785530372961497,0.87,0.8600000000000001,0.009999999999999898,0.32525195467802137,0.35329593311599744,False,False
OpenBMI_MI_S1_to_S2,0,META_GENERIC,RIDGE_A1,0.0,0.005,0.5,33,PROTOTYPE_TRANSPORT_A50,ADAPT,0.0008329609183634666,0.005832960918363467,0.018260542757919,0.95,0.95,0.0,0.1558812156279676,0.14165155295501997,False,False
OpenBMI_MI_S1_to_S2,0,META_GENERIC,RIDGE_A1,0.0,0.005,0.5,36,PRESERVE,PRESERVE,-0.004935995506203791,6.400449379620953e-05,0.018260542757919,0.98,0.98,0.0,0.05598006707745518,0.05598006707745518,False,False
OpenBMI_MI_S1_to_S2,0,META_GENERIC,RIDGE_A1,0.0,0.005,0.5,40,RIDGE_C01_A50,ADAPT,0.004268725469584486,0.009268725469584486,0.022785530372961497,0.8200000000000001,0.8200000000000001,0.0,0.36207635925201387,0.39222187173884676,False,False
OpenBMI_MI_S1_to_S2,0,META_GENERIC,RIDGE_A1,0.0,0.005,0.5,47,PROTOTYPE_TRANSPORT_A50,ADAPT,0.007800985779126583,0.012800985779126584,0.018260542757919,0.95,0.95,0.0,0.15525728017653834,0.15902709820602373,False,False
OpenBMI_MI_S1_to_S2,0,META_GENERIC,RIDGE_A1,0.0,0.005,0.5,50,RIDGE_C01_A50,ADAPT,0.016434587469064392,0.021434587469064393,0.022785530372961497,0.63,0.63,0.0,0.7847561200682039,0.9201019267250266,False,False
OpenBMI_MI_S1_to_S2,0,META_GENERIC,RIDGE_A1,0.0,0.005,0.5,53,CALIBRATE_C1_A50,ADAPT,0.0049065784832330464,0.009906578483233047,0.0161905422776512,0.8500000000000001,0.8500000000000001,0.0,0.3341027109873553,0.33512244045387135,False,False
OpenBMI_MI_S1_to_S2,0,PERSIST_META,EXTRA_TREES_D4,0.5,0.0,1.0,13,PRESERVE,PRESERVE,-0.001291432061537064,0.003981846563139413,0.010546557249352955,0.78,0.78,0.0,0.4516706989799591,0.4516706989799591,False,False
OpenBMI_MI_S1_to_S2,0,PERSIST_META,EXTRA_TREES_D4,0.5,0.0,1.0,14,PRESERVE,PRESERVE,-0.0027440591881934626,0.0025292194364830147,0.010546557249352955,0.8,0.8,0.0,0.4494486452769181,0.4494486452769181,False,False
OpenBMI_MI_S1_to_S2,0,PERSIST_META,EXTRA_TREES_D4,0.5,0.0,1.0,19,META_SGD_FULL_S025,ADAPT,0.003950036476861756,0.009223315101538234,0.010546557249352955,0.73,0.73,0.0,0.6270887894256907,0.6669744141031945,False,False
OpenBMI_MI_S1_to_S2,0,PERSIST_META,EXTRA_TREES_D4,0.5,0.0,1.0,2,PRESERVE,PRESERVE,-0.0004254940461666263,0.004847784578509851,0.010546557249352955,0.83,0.83,0.0,0.4014263474040984,0.4014263474040984,False,False
OpenBMI_MI_S1_to_S2,0,PERSIST_META,EXTRA_TREES_D4,0.5,0.0,1.0,32,META_SGD_FULL_S025,ADAPT,0.0012762418836990246,0.006549520508375502,0.010546557249352955,0.8600000000000001,0.8600000000000001,0.0,0.337170789726315,0.35329593311599744,False,False
OpenBMI_MI_S1_to_S2,0,PERSIST_META,EXTRA_TREES_D4,0.5,0.0,1.0,33,PRESERVE,PRESERVE,-0.0019534072048116593,0.003319871419864818,0.010546557249352955,0.95,0.95,0.0,0.14165155295501997,0.14165155295501997,False,False
OpenBMI_MI_S1_to_S2,0,PERSIST_META,EXTRA_TREES_D4,0.5,0.0,1.0,36,PRESERVE,PRESERVE,-0.0042030395153568895,0.0010702391093195883,0.010546557249352955,0.98,0.98,0.0,0.05598006707745518,0.05598006707745518,False,False
OpenBMI_MI_S1_to_S2,0,PERSIST_META,EXTRA_TREES_D4,0.5,0.0,1.0,40,META_SGD_FULL_S025,ADAPT,0.00019369268369006428,0.005466971308366542,0.010546557249352955,0.8200000000000001,0.8200000000000001,0.0,0.37004869567978643,0.39222187173884676,False,False
OpenBMI_MI_S1_to_S2,0,PERSIST_META,EXTRA_TREES_D4,0.5,0.0,1.0,47,PRESERVE,PRESERVE,-0.0021908655534225102,0.003082413071253967,0.010546557249352955,0.95,0.95,0.0,0.15902709820602373,0.15902709820602373,False,False
OpenBMI_MI_S1_to_S2,0,PERSIST_META,EXTRA_TREES_D4,0.5,0.0,1.0,50,META_SGD_FULL_S025,ADAPT,0.0057852766082552185,0.011058555232931696,0.010546557249352955,0.62,0.63,-0.010000000000000009,0.8579921616853788,0.9201019267250266,False,False
OpenBMI_MI_S1_to_S2,0,PERSIST_META,EXTRA_TREES_D4,0.5,0.0,1.0,53,PRESERVE,PRESERVE,-0.0034659207484307323,0.001807357876245745,0.010546557249352955,0.8500000000000001,0.8500000000000001,0.0,0.33512244045387135,0.33512244045387135,False,False
OpenBMI_MI_S1_to_S2,1,META_GENERIC,RIDGE_A1,0.0,0.0025,0.5,1,PROTOTYPE_TRANSPORT_A50,ADAPT,0.014976087546569742,0.017476087546569742,0.02625842950043737,0.79,0.76,0.030000000000000027,0.5613277769286252,0.6333547067488337,False,False
OpenBMI_MI_S1_to_S2,1,META_GENERIC,RIDGE_A1,0.0,0.0025,0.5,10,PROTOTYPE_TRANSPORT_A50,ADAPT,0.047142770010762364,0.049642770010762366,0.02625842950043737,0.79,0.79,0.0,0.4853233510441535,0.537884335625942,False,False
OpenBMI_MI_S1_to_S2,1,META_GENERIC,RIDGE_A1,0.0,0.0025,0.5,16,PRESERVE,PRESERVE,-0.0025156219077433323,-1.5621907743332275e-05,0.02625842950043737,0.85,0.85,0.0,0.28125855890248347,0.28125855890248347,False,False
OpenBMI_MI_S1_to_S2,1,META_GENERIC,RIDGE_A1,0.0,0.0025,0.5,25,PRESERVE,PRESERVE,-0.014591380915019736,-0.012091380915019736,0.02625842950043737,1.0,1.0,0.0,0.04655365595159809,0.04655365595159809,False,False
OpenBMI_MI_S1_to_S2,1,META_GENERIC,RIDGE_A1,0.0,0.0025,0.5,35,PRESERVE,PRESERVE,-0.004552261865343922,-0.002052261865343921,0.02625842950043737,0.87,0.87,0.0,0.27744222288500775,0.27744222288500775,False,False
OpenBMI_MI_S1_to_S2,1,META_GENERIC,RIDGE_A1,0.0,0.0025,0.5,42,PRESERVE,PRESERVE,-0.00460062610002294,-0.002100626100022939,0.024393651011695165,0.77,0.77,0.0,0.538155890666934,0.538155890666934,False,False
OpenBMI_MI_S1_to_S2,1,META_GENERIC,RIDGE_A1,0.0,0.0025,0.5,43,CALIBRATE_C1_A50,ADAPT,0.003607882932065073,0.006107882932065073,0.01994123880629111,0.8899999999999999,0.9099999999999999,-0.020000000000000018,0.26129257215859003,0.2419445113968949,False,False
OpenBMI_MI_S1_to_S2,1,META_GENERIC,RIDGE_A1,0.0,0.0025,0.5,45,META_SGD_FULL_S050,ADAPT,0.002805753946765728,0.005305753946765728,0.024393651011695165,0.96,0.94,0.020000000000000018,0.17464060705571754,0.17467307190621081,False,False
OpenBMI_MI_S1_to_S2,1,META_GENERIC,RIDGE_A1,0.0,0.0025,0.5,48,PRESERVE,PRESERVE,-0.014181191486446641,-0.01168119148644664,0.02625842950043737,0.62,0.62,0.0,0.8127382359143424,0.8127382359143424,False,False
OpenBMI_MI_S1_to_S2,1,META_GENERIC,RIDGE_A1,0.0,0.0025,0.5,5,CALIBRATE_C1_A50,ADAPT,0.00017673693811066796,0.002676736938110668,0.01994123880629111,0.74,0.75,-0.010000000000000009,0.5499511947771984,0.5187919266790009,False,False
OpenBMI_MI_S1_to_S2,1,META_GENERIC,RIDGE_A1,0.0,0.0025,0.5,6,PRESERVE,PRESERVE,-0.0006806347305449013,0.0018193652694550987,0.02625842950043737,0.96,0.96,0.0,0.10907721319847115,0.10907721319847115,False,False
OpenBMI_MI_S1_to_S2,1,PERSIST_META,EXTRA_TREES_D4,0.0,0.0,0.5,1,PROTOTYPE_TRANSPORT_A50,ADAPT,0.01009327165030783,0.01009327165030783,0.02625842950043737,0.79,0.76,0.030000000000000027,0.5613277769286252,0.6333547067488337,False,False
OpenBMI_MI_S1_to_S2,1,PERSIST_META,EXTRA_TREES_D4,0.0,0.0,0.5,10,META_SGD_FULL_S050,ADAPT,0.01894053613394278,0.01894053613394278,0.024393651011695165,0.79,0.79,0.0,0.5121287872480668,0.537884335625942,False,False
OpenBMI_MI_S1_to_S2,1,PERSIST_META,EXTRA_TREES_D4,0.0,0.0,0.5,16,PROTOTYPE_TRANSPORT_A50,ADAPT,0.0015576255498178206,0.0015576255498178206,0.02625842950043737,0.85,0.85,0.0,0.28270922900823253,0.28125855890248347,False,False
OpenBMI_MI_S1_to_S2,1,PERSIST_META,EXTRA_TREES_D4,0.0,0.0,0.5,25,PROTOTYPE_TRANSPORT_A50,ADAPT,0.0006636863305410776,0.0006636863305410776,0.02625842950043737,1.0,1.0,0.0,0.05423247576683396,0.04655365595159809,False,False
OpenBMI_MI_S1_to_S2,1,PERSIST_META,EXTRA_TREES_D4,0.0,0.0,0.5,35,RIDGE_C01_A50,ADAPT,9.801082605627185e-05,9.801082605627185e-05,0.026866503777027113,0.88,0.87,0.010000000000000009,0.28538051338331466,0.27744222288500775,False,False
OpenBMI_MI_S1_to_S2,1,PERSIST_META,EXTRA_TREES_D4,0.0,0.0,0.5,42,META_SGD_FULL_S050,ADAPT,0.0015138482522478963,0.0015138482522478963,0.024393651011695165,0.75,0.77,-0.020000000000000018,0.531094240161631,0.538155890666934,False,False
OpenBMI_MI_S1_to_S2,1,PERSIST_META,EXTRA_TREES_D4,0.0,0.0,0.5,43,RIDGE_C01_A50,ADAPT,0.00026454741287520604,0.00026454741287520604,0.026866503777027113,0.9199999999999999,0.9099999999999999,0.010000000000000009,0.23944243108240623,0.2419445113968949,False,False
OpenBMI_MI_S1_to_S2,1,PERSIST_META,EXTRA_TREES_D4,0.0,0.0,0.5,45,RIDGE_C01_A50,ADAPT,0.002388744625119631,0.002388744625119631,0.026866503777027113,0.96,0.94,0.020000000000000018,0.17842994041857818,0.17467307190621081,False,False
OpenBMI_MI_S1_to_S2,1,PERSIST_META,EXTRA_TREES_D4,0.0,0.0,0.5,48,CALIBRATE_C01_A50,ADAPT,0.0009274929750067776,0.0009274929750067776,0.013105775949726938,0.63,0.62,0.010000000000000009,0.7611746580847206,0.8127382359143424,False,False
