benchmark,outer_fold,component_id,family,strength,c_value,group,dimension,OUTER_TEST_USED
OpenBMI_MI_S1_to_S2,0,CALIBRATE_C01_A50,calibration,0.5,0.1,-1,64,False
OpenBMI_MI_S1_to_S2,0,CALIBRATE_C1_A50,calibration,0.5,1.0,-1,64,False
OpenBMI_MI_S1_to_S2,0,RIDGE_C001_A50,ridge_head,0.5,0.01,-1,64,False
OpenBMI_MI_S1_to_S2,0,RIDGE_C01_A50,ridge_head,0.5,0.1,-1,64,False
OpenBMI_MI_S1_to_S2,0,RIDGE_C1_A50,ridge_head,0.5,1.0,-1,64,False
OpenBMI_MI_S1_to_S2,0,SHRINKAGE_LDA_A50,shrinkage_lda,0.5,0.1,-1,64,False
OpenBMI_MI_S1_to_S2,0,PROTOTYPE_TRANSPORT_A50,prototype_transport,0.5,0.1,-1,64,False
OpenBMI_MI_S1_to_S2,0,META_SGD_FULL_S025,meta_sgd,0.25,0.1,-1,64,False
OpenBMI_MI_S1_to_S2,0,META_SGD_FULL_S050,meta_sgd,0.5,0.1,-1,64,False
OpenBMI_MI_S1_to_S2,0,META_SGD_PC_GROUP_00,projected_gradient,0.5,0.1,0,64,False
OpenBMI_MI_S1_to_S2,0,META_SGD_PC_GROUP_01,projected_gradient,0.5,0.1,1,64,False
OpenBMI_MI_S1_to_S2,0,META_SGD_PC_GROUP_02,projected_gradient,0.5,0.1,2,64,False
OpenBMI_MI_S1_to_S2,0,META_SGD_PC_GROUP_03,projected_gradient,0.5,0.1,3,64,False
OpenBMI_MI_S1_to_S2,0,META_SGD_PC_GROUP_04,projected_gradient,0.5,0.1,4,64,False
OpenBMI_MI_S1_to_S2,0,META_SGD_PC_GROUP_05,projected_gradient,0.5,0.1,5,64,False
OpenBMI_MI_S1_to_S2,0,META_SGD_PC_GROUP_06,projected_gradient,0.5,0.1,6,64,False
OpenBMI_MI_S1_to_S2,0,META_SGD_PC_GROUP_07,projected_gradient,0.5,0.1,7,64,False
OpenBMI_MI_S1_to_S2,1,CALIBRATE_C01_A50,calibration,0.5,0.1,-1,64,False
OpenBMI_MI_S1_to_S2,1,CALIBRATE_C1_A50,calibration,0.5,1.0,-1,64,False
OpenBMI_MI_S1_to_S2,1,RIDGE_C001_A50,ridge_head,0.5,0.01,-1,64,False
OpenBMI_MI_S1_to_S2,1,RIDGE_C01_A50,ridge_head,0.5,0.1,-1,64,False
OpenBMI_MI_S1_to_S2,1,RIDGE_C1_A50,ridge_head,0.5,1.0,-1,64,False
OpenBMI_MI_S1_to_S2,1,SHRINKAGE_LDA_A50,shrinkage_lda,0.5,0.1,-1,64,False
OpenBMI_MI_S1_to_S2,1,PROTOTYPE_TRANSPORT_A50,prototype_transport,0.5,0.1,-1,64,False
OpenBMI_MI_S1_to_S2,1,META_SGD_FULL_S025,meta_sgd,0.25,0.1,-1,64,False
OpenBMI_MI_S1_to_S2,1,META_SGD_FULL_S050,meta_sgd,0.5,0.1,-1,64,False
