scope,task,dataset,fold,seed,subject_id,model,BA,macro_F1,accuracy,trials,checkpoint_path,checkpoint_sha256,normalizer_sha256
EXPOSED_DEVELOPMENT_BENCHMARK,OpenBMI_SSVEP,OpenBMI,0,0,25,LiteBN-G,0.95,0.9492079653846772,0.95,100,/root/rivermind-data/CRCICLR_G_WORK/experiments/persist_eeg_litebn_g_global_temporal_v1/runtime/checkpoints/openbmi_ssvep/fold0_seed0/selected_best.pt,865e44a0160aa52c33ec78b5a3b4dded62bb9d286d5452848bbdd1697c600d55,ee5e5751bdcf139783ff744897d821bf571b82584eb02518b105d673d9c906a2
EXPOSED_DEVELOPMENT_BENCHMARK,OpenBMI_SSVEP,OpenBMI,0,0,29,B0,0.96,0.9601137624861265,0.96,100,/root/rivermind-data/openbmi_task_generality_runtime/ssvep_fold0_seed0_litebn/selected_best.pt,6b46c3e8d910d5f469accbd9561b3f5b2eaf1d9b21f237d46229d5f85f3347a2,ee5e5751bdcf139783ff744897d821bf571b82584eb02518b105d673d9c906a2
EXPOSED_DEVELOPMENT_BENCHMARK,OpenBMI_SSVEP,OpenBMI,0,0,29,LiteBN-G,0.96,0.9601137624861265,0.96,100,/root/rivermind-data/CRCICLR_G_WORK/experiments/persist_eeg_litebn_g_global_temporal_v1/runtime/checkpoints/openbmi_ssvep/fold0_seed0/selected_best.pt,865e44a0160aa52c33ec78b5a3b4dded62bb9d286d5452848bbdd1697c600d55,ee5e5751bdcf139783ff744897d821bf571b82584eb02518b105d673d9c906a2
EXPOSED_DEVELOPMENT_BENCHMARK,OpenBMI_SSVEP,OpenBMI,0,0,36,B0,1.0,1.0,1.0,100,/root/rivermind-data/openbmi_task_generality_runtime/ssvep_fold0_seed0_litebn/selected_best.pt,6b46c3e8d910d5f469accbd9561b3f5b2eaf1d9b21f237d46229d5f85f3347a2,ee5e5751bdcf139783ff744897d821bf571b82584eb02518b105d673d9c906a2
EXPOSED_DEVELOPMENT_BENCHMARK,OpenBMI_SSVEP,OpenBMI,0,0,36,LiteBN-G,1.0,1.0,1.0,100,/root/rivermind-data/CRCICLR_G_WORK/experiments/persist_eeg_litebn_g_global_temporal_v1/runtime/checkpoints/openbmi_ssvep/fold0_seed0/selected_best.pt,865e44a0160aa52c33ec78b5a3b4dded62bb9d286d5452848bbdd1697c600d55,ee5e5751bdcf139783ff744897d821bf571b82584eb02518b105d673d9c906a2
EXPOSED_DEVELOPMENT_BENCHMARK,OpenBMI_SSVEP,OpenBMI,0,0,37,B0,1.0,1.0,1.0,100,/root/rivermind-data/openbmi_task_generality_runtime/ssvep_fold0_seed0_litebn/selected_best.pt,6b46c3e8d910d5f469accbd9561b3f5b2eaf1d9b21f237d46229d5f85f3347a2,ee5e5751bdcf139783ff744897d821bf571b82584eb02518b105d673d9c906a2
EXPOSED_DEVELOPMENT_BENCHMARK,OpenBMI_SSVEP,OpenBMI,0,0,37,LiteBN-G,1.0,1.0,1.0,100,/root/rivermind-data/CRCICLR_G_WORK/experiments/persist_eeg_litebn_g_global_temporal_v1/runtime/checkpoints/openbmi_ssvep/fold0_seed0/selected_best.pt,865e44a0160aa52c33ec78b5a3b4dded62bb9d286d5452848bbdd1697c600d55,ee5e5751bdcf139783ff744897d821bf571b82584eb02518b105d673d9c906a2
EXPOSED_DEVELOPMENT_BENCHMARK,OpenBMI_SSVEP,OpenBMI,0,0,39,B0,0.99,0.9899959983993598,0.99,100,/root/rivermind-data/openbmi_task_generality_runtime/ssvep_fold0_seed0_litebn/selected_best.pt,6b46c3e8d910d5f469accbd9561b3f5b2eaf1d9b21f237d46229d5f85f3347a2,ee5e5751bdcf139783ff744897d821bf571b82584eb02518b105d673d9c906a2
EXPOSED_DEVELOPMENT_BENCHMARK,OpenBMI_SSVEP,OpenBMI,0,0,39,LiteBN-G,0.99,0.9899959983993598,0.99,100,/root/rivermind-data/CRCICLR_G_WORK/experiments/persist_eeg_litebn_g_global_temporal_v1/runtime/checkpoints/openbmi_ssvep/fold0_seed0/selected_best.pt,865e44a0160aa52c33ec78b5a3b4dded62bb9d286d5452848bbdd1697c600d55,ee5e5751bdcf139783ff744897d821bf571b82584eb02518b105d673d9c906a2
EXPOSED_DEVELOPMENT_BENCHMARK,OpenBMI_SSVEP,OpenBMI,0,0,4,B0,1.0,1.0,1.0,100,/root/rivermind-data/openbmi_task_generality_runtime/ssvep_fold0_seed0_litebn/selected_best.pt,6b46c3e8d910d5f469accbd9561b3f5b2eaf1d9b21f237d46229d5f85f3347a2,ee5e5751bdcf139783ff744897d821bf571b82584eb02518b105d673d9c906a2
