model,run,n_cells,rmse,mae,features,outer_test_used,outer_membership_enumerated
M0,ALL,215,0.04597839942134008,0.03199258687231557,"[""persistence_strength"", ""geometry_strength"", ""rank""]",False,False
M0,0_0,35,0.07390508220447771,0.04768820601568117,"[""persistence_strength"", ""geometry_strength"", ""rank""]",False,False
M0,0_1,35,0.037025648830704104,0.029349921035933133,"[""persistence_strength"", ""geometry_strength"", ""rank""]",False,False
M0,1_0,35,0.03797024232099262,0.03158223659420825,"[""persistence_strength"", ""geometry_strength"", ""rank""]",False,False
M0,1_1,35,0.04677041187645849,0.03357870036299007,"[""persistence_strength"", ""geometry_strength"", ""rank""]",False,False
M0,2_0,35,0.027714084919582233,0.022719271413934875,"[""persistence_strength"", ""geometry_strength"", ""rank""]",False,False
M0,2_1,40,0.03919754555694732,0.027656610943792098,"[""persistence_strength"", ""geometry_strength"", ""rank""]",False,False
MI,ALL,215,0.04574416246401479,0.03169576789251734,"[""persistence_strength"", ""geometry_strength"", ""rank"", ""identity_evidence""]",False,False
MI,0_0,35,0.07408392520044312,0.04774531762788177,"[""persistence_strength"", ""geometry_strength"", ""rank"", ""identity_evidence""]",False,False
MI,0_1,35,0.03594898088153522,0.028911949174312224,"[""persistence_strength"", ""geometry_strength"", ""rank"", ""identity_evidence""]",False,False
MI,1_0,35,0.03604074692741598,0.029648315942778204,"[""persistence_strength"", ""geometry_strength"", ""rank"", ""identity_evidence""]",False,False
MI,1_1,35,0.04938909401558262,0.03695221619775418,"[""persistence_strength"", ""geometry_strength"", ""rank"", ""identity_evidence""]",False,False
MI,2_0,35,0.02589116896878727,0.02060066507080832,"[""persistence_strength"", ""geometry_strength"", ""rank"", ""identity_evidence""]",False,False
MI,2_1,40,0.03816645458045278,0.02698859641043787,"[""persistence_strength"", ""geometry_strength"", ""rank"", ""identity_evidence""]",False,False
MD,ALL,215,0.03149284319712947,0.0178662348625478,"[""persistence_strength"", ""geometry_strength"", ""rank"", ""decision_logit_rms""]",False,False
MD,0_0,35,0.04995170214421338,0.023596571435580388,"[""persistence_strength"", ""geometry_strength"", ""rank"", ""decision_logit_rms""]",False,False
MD,0_1,35,0.02335130926285305,0.016729360973581145,"[""persistence_strength"", ""geometry_strength"", ""rank"", ""decision_logit_rms""]",False,False
MD,1_0,35,0.019361248859029307,0.014788855796037802,"[""persistence_strength"", ""geometry_strength"", ""rank"", ""decision_logit_rms""]",False,False
MD,1_1,35,0.03414125515861042,0.021148334758317025,"[""persistence_strength"", ""geometry_strength"", ""rank"", ""decision_logit_rms""]",False,False
MD,2_0,35,0.012633945507335216,0.009597624782408082,"[""persistence_strength"", ""geometry_strength"", ""rank"", ""decision_logit_rms""]",False,False
MD,2_1,40,0.03439380794895815,0.02090285810851055,"[""persistence_strength"", ""geometry_strength"", ""rank"", ""decision_logit_rms""]",False,False
MID,ALL,215,0.03153327678666797,0.018061090074736594,"[""persistence_strength"", ""geometry_strength"", ""rank"", ""identity_evidence"", ""decision_logit_rms""]",False,False
MID,0_0,35,0.0501542594457962,0.02434903278279109,"[""persistence_strength"", ""geometry_strength"", ""rank"", ""identity_evidence"", ""decision_logit_rms""]",False,False
MID,0_1,35,0.023218625738194616,0.01654596935005358,"[""persistence_strength"", ""geometry_strength"", ""rank"", ""identity_evidence"", ""decision_logit_rms""]",False,False
MID,1_0,35,0.019228563654544884,0.015030380462715535,"[""persistence_strength"", ""geometry_strength"", ""rank"", ""identity_evidence"", ""decision_logit_rms""]",False,False
MID,1_1,35,0.034498823000707925,0.02220420289095305,"[""persistence_strength"", ""geometry_strength"", ""rank"", ""identity_evidence"", ""decision_logit_rms""]",False,False
MID,2_0,35,0.012230971421603405,0.00923272671225833,"[""persistence_strength"", ""geometry_strength"", ""rank"", ""identity_evidence"", ""decision_logit_rms""]",False,False
MID,2_1,40,0.034293844937616495,0.020636335977784064,"[""persistence_strength"", ""geometry_strength"", ""rank"", ""identity_evidence"", ""decision_logit_rms""]",False,False
