dataset,fold,seed,EEGNet,LOGIT50,LiteBN,LOGIT50_minus_EEGNet_pp,fold_mean_delta_pp,seed_mean_delta_pp
OpenBMI,0,0,0.7057142857142856,0.7214285714285714,0.7228571428571428,1.5714285714285792,1.9285714285714313,3.7571428571428584
OpenBMI,0,1,0.7428571428571429,0.7685714285714286,0.76,2.571428571428569,1.9285714285714313,2.7428571428571424
OpenBMI,0,2,0.7314285714285714,0.7478571428571429,0.7364285714285714,1.642857142857146,1.9285714285714313,3.342857142857143
OpenBMI,1,0,0.7649999999999999,0.7842857142857144,0.7714285714285715,1.9285714285714461,3.071428571428573,3.7571428571428584
OpenBMI,1,1,0.7278571428571429,0.7521428571428571,0.7478571428571428,2.4285714285714244,3.071428571428573,2.7428571428571424
OpenBMI,1,2,0.7214285714285714,0.7699999999999999,0.7528571428571428,4.857142857142849,3.071428571428573,3.342857142857143
OpenBMI,2,0,0.6957142857142857,0.7585714285714286,0.7557142857142857,6.285714285714283,4.261904761904766,3.7571428571428584
OpenBMI,2,1,0.7228571428571428,0.7528571428571429,0.7571428571428571,3.0000000000000138,4.261904761904766,2.7428571428571424
OpenBMI,2,2,0.7435714285714285,0.7785714285714286,0.7664285714285715,3.500000000000003,4.261904761904766,3.342857142857143
OpenBMI,3,0,0.7035714285714285,0.7464285714285713,0.7421428571428572,4.285714285714281,3.047619047619047,3.7571428571428584
OpenBMI,3,1,0.7242857142857143,0.75,0.7407142857142858,2.571428571428569,3.047619047619047,2.7428571428571424
OpenBMI,3,2,0.7314285714285714,0.7542857142857143,0.7492857142857143,2.285714285714291,3.047619047619047,3.342857142857143
OpenBMI,4,0,0.687857142857143,0.735,0.7321428571428571,4.714285714285705,4.095238095238089,3.7571428571428584
OpenBMI,4,1,0.7142857142857143,0.7457142857142857,0.7478571428571429,3.142857142857136,4.095238095238089,2.7428571428571424
OpenBMI,4,2,0.725,0.7692857142857142,0.7528571428571428,4.428571428571426,4.095238095238089,3.342857142857143
WBCIC,0,0,0.7779999999999999,0.79,0.7859999999999999,1.2000000000000122,0.9500000000000064,0.4400000000000026
WBCIC,0,1,0.7859999999999999,0.7865,0.7885,0.050000000000005596,0.9500000000000064,0.8800000000000008
WBCIC,0,2,0.774,0.79,0.7745,1.6000000000000014,0.9500000000000064,0.5399999999999983
WBCIC,1,0,0.7965,0.8055,0.7965,0.9000000000000008,0.8166666666666655,0.4400000000000026
WBCIC,1,1,0.7875,0.8039999999999999,0.7849999999999999,1.649999999999996,0.8166666666666655,0.8800000000000008
WBCIC,1,2,0.7965,0.7955,0.7905,-0.10000000000000009,0.8166666666666655,0.5399999999999983
WBCIC,2,0,0.8049999999999999,0.8035,0.799,-0.14999999999999458,0.16666666666667052,0.4400000000000026
WBCIC,2,1,0.7915,0.7965,0.8005000000000001,0.5000000000000004,0.16666666666667052,0.8800000000000008
WBCIC,2,2,0.8009999999999999,0.8025,0.795,0.15000000000000568,0.16666666666667052,0.5399999999999983
WBCIC,3,0,0.8005000000000001,0.8015000000000001,0.792,0.10000000000000009,0.6666666666666673,0.4400000000000026
WBCIC,3,1,0.7929999999999999,0.8074999999999999,0.8055,1.4499999999999957,0.6666666666666673,0.8800000000000008
WBCIC,3,2,0.8009999999999999,0.8055,0.8045,0.45000000000000595,0.6666666666666673,0.5399999999999983
WBCIC,4,0,0.795,0.7965,0.7875,0.14999999999999458,0.49999999999999306,0.4400000000000026
WBCIC,4,1,0.7975,0.805,0.8029999999999999,0.7500000000000062,0.49999999999999306,0.8800000000000008
WBCIC,4,2,0.8015000000000001,0.8074999999999999,0.8019999999999999,0.5999999999999783,0.49999999999999306,0.5399999999999983
