dataset,EEGNet_BA,LiteBN_BA,FROZEN_LOGIT50_BA,LOGIT50_minus_EEGNet_pp,median_delta_pp,bootstrap_ci_low_pp,bootstrap_ci_high_pp,positive_subjects,harmed_subjects,tied_subjects,LOGIT50_minus_LiteBN_pp,LOGIT50_minus_max_global_carrier_pp,n_subjects,replicate_mean_delta_pp,replicate_min_delta_pp,replicate_max_delta_pp,positive_replicates,no_catastrophic_dataset_collapse,harm_le_minus_5pp_fraction,confirmation
OpenBMI,0.722857142857143,0.7490476190476192,0.7556666666666667,3.280952380952382,2.833333333333332,1.5190476190476199,5.0286904761904765,11,3,0,0.6619047619047524,0.6619047619047524,14,3.280952380952382,1.5714285714285792,6.285714285714283,15,True,0.0,STRONG
WBCIC,0.7936333333333333,0.794,0.7998333333333334,0.6199999999999994,0.16666666666666496,-0.1999999999999991,1.5233333333333332,6,4,0,0.5833333333333357,0.5833333333333357,10,0.6200000000000007,-0.14999999999999458,1.649999999999996,13,True,0.0,STRONG
