epoch,loss,macro_f1,balanced_accuracy
1,1.59766041035633,0.29524878917540937,0.36532014759000647
2,1.5408910910288494,0.29854075027178906,0.4012838063547847
3,1.4626292536057621,0.31632875311893455,0.42434921194925784
4,1.3915781955642395,0.376032285118281,0.47862670355467973
5,1.3285576966871697,0.4027935508043856,0.4947823929168714
6,1.278705811883551,0.40278652666450443,0.49138034095299277
7,1.2440291360678921,0.41734599291418084,0.5173916368347937
8,1.2171678531122017,0.4357852384146902,0.5325697200233849
9,1.1960368149251823,0.4381117484922779,0.5343167682375851
10,1.1872655971940742,0.45106229491303146,0.5376249774484766
11,1.170804371556125,0.46100222035223853,0.5437226973526922
12,1.1550166889366855,0.47275387224057874,0.5447968045095971
