task,seed,module_removed,reduced_state,FULL_rescue_preserved,FULL_rescue_lost,FULL_harm_preserved,FULL_harm_reversed,new_rescue_introduced,new_harm_introduced,harm_reversal_rate,rescue_loss_rate,selectivity_index_pp,delta_rescue_vs_full_pp,delta_harm_vs_full_pp,delta_net_vs_full_pp
OpenBMI_ERP,0,C,C0S1M1,4242,284,2974,676,494,565,0.1852054794520548,0.0627485638532921,12.245691559876269,-0.1106060606060603,0.3916666666666675,-0.5022727272727273
OpenBMI_ERP,1,C,C0S1M1,4246,222,2699,635,490,368,0.1904619076184763,0.049686660698299016,14.077524692017729,-0.0787878787878781,0.2856060606060611,-0.3643939393939395
OpenBMI_ERP,2,C,C0S1M1,4515,225,2583,717,624,458,0.21727272727272728,0.04746835443037975,16.980437284234753,0.041666666666666,0.5765151515151512,-0.5348484848484849
OpenBMI_MI,0,C,C0S1M1,349,22,319,22,15,25,0.06451612903225806,0.05929919137466307,0.521693765759499,-0.1750000000000007,0.0749999999999992,-0.25
OpenBMI_MI,1,C,C0S1M1,283,8,446,8,3,22,0.01762114537444934,0.027491408934707903,-0.9870263560258562,-0.125,0.3499999999999996,-0.4749999999999996
OpenBMI_MI,2,C,C0S1M1,353,8,395,17,11,18,0.0412621359223301,0.0221606648199446,1.91014711023855,0.0749999999999992,0.0249999999999985,0.0499999999999996
OpenBMI_SSVEP,0,C,C0S1M1,241,25,100,1,0,13,0.009900990099009901,0.09398496240601503,-8.408397230700514,-0.625,0.3000000000000002,-0.9249999999999998
OpenBMI_SSVEP,1,C,C0S1M1,207,13,149,2,1,25,0.013245033112582781,0.05909090909090909,-4.584587597832631,-0.2999999999999998,0.5749999999999997,-0.8750000000000001
OpenBMI_SSVEP,2,C,C0S1M1,212,13,155,2,1,23,0.012738853503184714,0.057777777777777775,-4.503892427459307,-0.2999999999999998,0.5250000000000004,-0.825
WBCIC_MI,0,C,C0S1M1,505,18,497,8,9,23,0.015841584158415842,0.03441682600382409,-1.857524184540825,-0.14516129032258,0.2419354838709679,-0.3870967741935485
WBCIC_MI,1,C,C0S1M1,449,31,427,30,33,46,0.06564551422319474,0.06458333333333334,0.10621808898614027,0.032258064516129,0.2580645161290329,-0.225806451612903
WBCIC_MI,2,C,C0S1M1,486,11,431,12,6,19,0.02708803611738149,0.022132796780684104,0.49552393366973857,-0.0806451612903229,0.1129032258064519,-0.1935483870967745
OpenBMI_ERP,0,S,C1S0M1,4311,215,3285,365,220,263,0.1,0.047503314184710564,5.249668581528944,0.1007575757575756,-0.2257575757575756,0.3265151515151515
OpenBMI_ERP,1,S,C1S0M1,4292,176,3067,267,175,255,0.08008398320335933,0.03939122649955237,4.069275670380695,-0.0280303030303024,0.0757575757575761,-0.1037878787878788
OpenBMI_ERP,2,S,C1S0M1,4547,193,3076,224,164,220,0.06787878787878789,0.04071729957805907,2.7161488300728815,-0.0401515151515159,0.0181818181818185,-0.0583333333333335
OpenBMI_MI,0,S,C1S0M1,355,16,332,9,8,12,0.026392961876832845,0.0431266846361186,-1.6733722759285756,-0.200000000000001,0.0749999999999992,-0.2749999999999999
OpenBMI_MI,1,S,C1S0M1,283,8,445,9,6,14,0.019823788546255508,0.027491408934707903,-0.7667620388452395,-0.0500000000000007,0.125,-0.1749999999999998
OpenBMI_MI,2,S,C1S0M1,356,5,409,3,3,6,0.007281553398058253,0.013850415512465374,-0.6568862114407121,-0.0500000000000007,0.0749999999999992,-0.1250000000000002
OpenBMI_SSVEP,0,S,C1S0M1,261,5,100,1,0,4,0.009900990099009901,0.018796992481203006,-0.8896002382193106,-0.125,0.0750000000000001,-0.2000000000000001
OpenBMI_SSVEP,1,S,C1S0M1,212,8,139,12,5,11,0.07947019867549669,0.03636363636363636,4.310656231186033,-0.0750000000000001,-0.0249999999999999,-0.05
OpenBMI_SSVEP,2,S,C1S0M1,221,4,152,5,1,6,0.03184713375796178,0.017777777777777778,1.4069355980184006,-0.0750000000000001,0.0250000000000003,-0.0999999999999998
WBCIC_MI,0,S,C1S0M1,521,2,496,9,6,13,0.01782178217821782,0.0038240917782026767,1.3997690400015144,0.064516129032258,0.064516129032258,-1.1102230246251563e-16
WBCIC_MI,1,S,C1S0M1,478,2,451,6,2,7,0.01312910284463895,0.004166666666666667,0.8962436177972284,0.0,0.0161290322580649,-0.0161290322580643
WBCIC_MI,2,S,C1S0M1,495,2,437,6,0,3,0.013544018058690745,0.004024144869215292,0.9519873189475453,-0.032258064516129,-0.048387096774193,0.0161290322580645
OpenBMI_ERP,0,M,C1S1M0,3188,1338,1640,2010,1614,3078,0.5506849315068493,0.2956252761820592,25.505965532479006,-0.166666666666666,4.503030303030303,-4.66969696969697
OpenBMI_ERP,1,M,C1S1M0,3001,1467,1572,1762,1521,3634,0.528494301139772,0.32833482542524617,20.015947571452585,-0.4348484848484846,4.542424242424244,-4.977272727272727
OpenBMI_ERP,2,M,C1S1M0,3465,1275,1630,1670,1404,2812,0.5060606060606061,0.2689873417721519,23.70732642884542,-0.2992424242424238,4.298484848484849,-4.597727272727273
OpenBMI_MI,0,M,C1S1M0,303,68,264,77,88,154,0.22580645161290322,0.18328840970350405,4.251804190939917,0.5,1.924999999999999,-1.425
OpenBMI_MI,1,M,C1S1M0,250,41,358,96,72,191,0.21145374449339208,0.140893470790378,7.056027370301407,0.7750000000000004,2.375,-1.5999999999999996
OpenBMI_MI,2,M,C1S1M0,293,68,314,98,61,152,0.23786407766990292,0.1883656509695291,4.949842670037382,-0.1750000000000007,1.3499999999999996,-1.525
OpenBMI_SSVEP,0,M,C1S1M0,192,74,87,14,11,127,0.13861386138613863,0.2781954887218045,-13.958162733566587,-1.5750000000000002,2.825,-4.4
OpenBMI_SSVEP,1,M,C1S1M0,137,83,135,16,6,171,0.10596026490066225,0.37727272727272726,-27.1312462372065,-1.925,3.875,-5.800000000000001
OpenBMI_SSVEP,2,M,C1S1M0,154,71,137,20,7,141,0.12738853503184713,0.31555555555555553,-18.81670205237084,-1.5999999999999996,3.0250000000000004,-4.625
WBCIC_MI,0,M,C1S1M0,341,182,331,174,191,635,0.3445544554455445,0.3479923518164436,-0.3437896370899085,0.1466886608015638,7.436237373737374,-7.28954871293581
WBCIC_MI,1,M,C1S1M0,292,188,275,182,186,424,0.3982494529540481,0.39166666666666666,0.6582786287381459,-0.0314231019876185,3.900028510915608,-3.9314516129032255
WBCIC_MI,2,M,C1S1M0,301,196,254,189,226,497,0.42663656884875845,0.39436619718309857,3.227037166565988,0.4842171717171712,4.9669069729553605,-4.482689801238188
