task,seed,fold,subject_id,state_id,C,S,M,B0_BA,counterfactual_BA,delta_BA_pp,RESCUE_PP,HARM_PP,NET_PP,identity_absolute_difference,trials,CC_count,RESCUE_count,HARM_count,WW_count
OpenBMI_ERP,0,0,15,C0S0M0,0,0,0,0.7884848484848486,0.7406060606060606,-4.787878787878796,6.363636363636363,11.15151515151515,-4.787878787878788,8.326672684688674e-17,1980,1526,110,164,180
OpenBMI_ERP,0,0,15,C0S0M1,0,0,1,0.7884848484848486,0.7063636363636363,-8.212121212121225,4.181818181818182,12.393939393939394,-8.212121212121213,1.3877787807814457e-16,1980,1561,106,129,184
OpenBMI_ERP,0,0,15,C0S1M0,0,1,0,0.7884848484848486,0.7360606060606061,-5.242424242424248,6.848484848484848,12.090909090909092,-5.242424242424243,5.551115123125783e-17,1980,1503,110,187,180
OpenBMI_ERP,0,0,15,C0S1M1,0,1,1,0.7884848484848486,0.6972727272727273,-9.12121212121213,4.242424242424243,13.363636363636363,-9.121212121212121,8.326672684688674e-17,1980,1549,108,141,182
OpenBMI_ERP,0,0,15,C1S0M0,1,0,0,0.7884848484848486,0.7596969696969698,-2.8787878787878807,7.484848484848486,10.363636363636363,-2.878787878787878,2.7755575615628914e-17,1980,1496,107,194,183
OpenBMI_ERP,0,0,15,C1S0M1,1,0,1,0.7884848484848486,0.7587878787878788,-2.9696969696969777,6.424242424242424,9.393939393939393,-2.9696969696969693,8.326672684688674e-17,1980,1560,112,130,178
OpenBMI_ERP,0,0,15,C1S1M0,1,1,0,0.7884848484848486,0.7536363636363637,-3.4848484848484906,7.8484848484848495,11.333333333333334,-3.4848484848484853,5.551115123125783e-17,1980,1476,107,214,183
OpenBMI_ERP,0,0,15,C1S1M1,1,1,1,0.7884848484848486,0.7460606060606061,-4.2424242424242475,6.121212121212122,10.363636363636363,-4.242424242424242,5.551115123125783e-17,1980,1552,110,138,180
OpenBMI_ERP,0,0,3,C0S0M0,0,0,0,0.9236363636363636,0.9142424242424243,-0.9393939393939288,4.060606060606061,5.0,-0.9393939393939392,1.0408340855860843e-16,1980,1675,122,73,110
OpenBMI_ERP,0,0,3,C0S0M1,0,0,1,0.9236363636363636,0.9312121212121212,0.7575757575757569,3.6060606060606055,2.8484848484848486,0.7575757575757569,0.0,1980,1686,111,62,121
OpenBMI_ERP,0,0,3,C0S1M0,0,1,0,0.9236363636363636,0.9130303030303031,-1.0606060606060508,4.242424242424243,5.303030303030303,-1.0606060606060606,9.71445146547012e-17,1980,1673,128,75,104
