task,seed,state_id,C,S,M,B0_BA,counterfactual_BA,delta_BA_pp,RESCUE_PP,HARM_PP,NET_PP,identity_absolute_difference,subjects,trials,CC_count,RESCUE_count,HARM_count,WW_count,FULL_RESCUE_PP,FULL_HARM_PP,FULL_NET_PP,delta_rescue_vs_full_pp,delta_harm_vs_full_pp,delta_net_vs_full_pp,rescue_retention,harm_reduction
OpenBMI_ERP,0,C0S0M0,0,0,0,0.8325530303030304,0.775810606060606,-5.674242424242423,5.082575757575758,10.756818181818183,-5.674242424242424,1.5265566588595902e-16,40,79200,63774,5001,4587,5838,5.413636363636363,5.495454545454545,-0.08181818181818191,-0.33106060606060517,5.261363636363638,-5.592424242424242,0.9388469073607614,-0.9574028122415221
OpenBMI_ERP,0,C0S0M1,0,0,1,0.8325530303030304,0.8282121212121212,-0.43409090909090897,5.278787878787879,5.712878787878788,-0.4340909090909092,1.3877787807814457e-16,40,79200,64940,4720,3421,6119,5.413636363636363,5.495454545454545,-0.08181818181818191,-0.13484848484848388,0.21742424242424274,-0.3522727272727273,0.97509095997761,-0.03956437827405579
OpenBMI_ERP,0,C0S1M0,0,1,0,0.8325530303030304,0.7746818181818182,-5.787121212121212,5.153030303030303,10.940151515151516,-5.787121212121212,9.71445146547012e-17,40,79200,63704,5054,4657,5785,5.413636363636363,5.495454545454545,-0.08181818181818191,-0.26060606060605984,5.444696969696971,-5.70530303030303,0.9518611810803248,-0.9907637165701686
OpenBMI_ERP,0,C0S1M1,0,1,1,0.8325530303030304,0.8267121212121212,-0.5840909090909102,5.303030303030303,5.887121212121213,-0.5840909090909092,1.6653345369377348e-16,40,79200,64822,4736,3539,6103,5.413636363636363,5.495454545454545,-0.08181818181818191,-0.11060606060606037,0.3916666666666675,-0.5022727272727273,0.9795689896445564,-0.07127102288392617
OpenBMI_ERP,0,C1S0M0,1,0,0,0.8325530303030304,0.7869318181818181,-4.562121212121212,5.212121212121213,9.774242424242425,-4.5621212121212125,1.3183898417423734e-16,40,79200,63715,4760,4646,6079,5.413636363636363,5.495454545454545,-0.08181818181818191,-0.20151515151515031,4.27878787878788,-4.4803030303030305,0.962776378393507,-0.7786049076371659
OpenBMI_ERP,0,C1S0M1,1,0,1,0.8325530303030304,0.835,0.2446969696969695,5.514393939393939,5.2696969696969695,0.24469696969696964,8.326672684688674e-17,40,79200,64813,4531,3548,6308,5.413636363636363,5.495454545454545,-0.08181818181818191,0.1007575757575756,-0.2257575757575756,0.32651515151515154,1.0186118108032465,0.04108078301626683
OpenBMI_ERP,0,C1S1M0,1,1,0,0.8325530303030304,0.7850378787878788,-4.751515151515152,5.246969696969697,9.998484848484848,-4.751515151515152,1.1102230246251565e-16,40,79200,63643,4802,4718,6037,5.413636363636363,5.495454545454545,-0.08181818181818191,-0.16666666666666607,4.503030303030303,-4.66969696969697,0.9692135460397426,-0.8194099807003032
OpenBMI_ERP,0,C1S1M1,1,1,1,0.8325530303030304,0.8317348484848486,-0.08181818181818128,5.413636363636363,5.495454545454545,-0.08181818181818191,1.0061396160665481e-16,40,79200,64711,4526,3650,6313,5.413636363636363,5.495454545454545,-0.08181818181818191,0.0,0.0,0.0,1.0,0.0
OpenBMI_ERP,1,C0S0M0,0,0,0,0.8325530303030304,0.7818333333333334,-5.071969696969697,5.0204545454545455,10.092424242424242,-5.071969696969697,1.6653345369377348e-16,40,79200,63503,4731,4858,6108,5.654545454545454,4.671212121212121,0.9833333333333334,-0.6340909090909088,5.421212121212121,-6.055303030303031,0.8878617363344052,-1.1605578981511515
OpenBMI_ERP,1,C0S0M1,0,0,1,0.8325530303030304,0.8378636363636364,0.531060606060606,5.51439393939394,4.983333333333333,0.5310606060606061,1.249000902703301e-16,40,79200,65299,4719,3062,6120,5.654545454545454,4.671212121212121,0.9833333333333334,-0.1401515151515147,0.31212121212121247,-0.45227272727272727,0.9752143622722401,-0.06681803438209544
OpenBMI_ERP,1,C0S1M0,0,1,0,0.8325530303030304,0.7831742424242425,-4.937878787878787,5.110606060606061,10.048484848484849,-4.937878787878788,1.249000902703301e-16,40,79200,63473,4742,4888,6097,5.654545454545454,4.671212121212121,0.9833333333333334,-0.5439393939393931,5.377272727272728,-5.921212121212122,0.9038049303322617,-1.1511514758352255
OpenBMI_ERP,1,C0S1M1,0,1,1,0.8325530303030304,0.8387424242424242,0.6189393939393939,5.575757575757576,4.956818181818182,0.6189393939393939,1.1102230246251565e-16,40,79200,65294,4736,3067,6103,5.654545454545454,4.671212121212121,0.9833333333333334,-0.07878787878787818,0.2856060606060611,-0.3643939393939395,0.9860664523043945,-0.061141745053519436
OpenBMI_ERP,1,C1S0M0,1,0,0,0.8325530303030304,0.7919166666666666,-4.063636363636365,5.212878787878788,9.276515151515152,-4.063636363636364,1.5265566588595902e-16,40,79200,63180,4541,5181,6298,5.654545454545454,4.671212121212121,0.9833333333333334,-0.44166666666666643,4.605303030303031,-5.046969696969698,0.9218917470525188,-0.9858903665261112
OpenBMI_ERP,1,C1S0M1,1,0,1,0.8325530303030304,0.8413484848484849,0.8795454545454543,5.626515151515152,4.746969696969697,0.8795454545454545,1.5265566588595902e-16,40,79200,65039,4467,3322,6372,5.654545454545454,4.671212121212121,0.9833333333333334,-0.028030303030302406,0.07575757575757613,-0.10378787878787887,0.9950428724544481,-0.016217969510217367
OpenBMI_ERP,1,C1S1M0,1,1,0,0.8325530303030304,0.7926136363636364,-3.9939393939393937,5.21969696969697,9.213636363636365,-3.9939393939393937,1.1102230246251565e-16,40,79200,63155,4522,5206,6317,5.654545454545454,4.671212121212121,0.9833333333333334,-0.4348484848484846,4.542424242424244,-4.977272727272727,0.9230975348338692,-0.9724294518326309
