state_id,active_modules,mean_rescue_retention_12_cells,mean_harm_reduction_12_cells,equal_task_mean_NET_PP,equal_task_mean_delta_net_vs_full_pp,tasks_positive_vs_full,tasks_nonnegative_vs_full,task_seed_cells_positive_vs_full,task_seed_cells_nonnegative_vs_full,worst_task_three_seed_delta_vs_full_pp,screen_status
C0S0M0,0,0.9047772365940533,-0.8263990427991251,-4.473220104268491,-4.93325458889975,0,0,0,0,-6.2250000000000005,NO_USEFUL_STRUCTURAL_SIGNAL
C1S0M0,1,0.9246156520083685,-0.7056687837752502,-3.76191348973607,-4.22194797436733,0,0,0,0,-5.3500000000000005,NO_USEFUL_STRUCTURAL_SIGNAL
C0S1M0,1,0.9126026696843228,-0.8054359855620482,-4.33901311502118,-4.799047599652439,0,0,0,0,-5.98560606060606,NO_USEFUL_STRUCTURAL_SIGNAL
C0S0M1,1,0.9682030847774579,-0.06962374698120885,-0.10260603345280758,-0.5626405180840666,0,0,0,0,-0.9916666666666667,NO_USEFUL_STRUCTURAL_SIGNAL
C1S1M0,2,0.9316794096421818,-0.685909008866271,-3.6502477734332572,-4.110282258064516,0,0,0,0,-5.2345633756924075,NO_USEFUL_STRUCTURAL_SIGNAL
C1S0M1,2,0.9941724944637097,-0.0032073441832653083,0.3966506462474204,-0.06338383838383839,2,2,2,2,-0.19166666666666665,NO_USEFUL_STRUCTURAL_SIGNAL
C0S1M1,2,0.9767235451275647,-0.06416077878660435,0.001037254263060644,-0.4589972303681981,0,0,1,1,-0.875,NO_USEFUL_STRUCTURAL_SIGNAL
C1S1M1,3,1.0,0.0,0.46003448463125884,0.0,0,4,0,12,0.0,REFERENCE_FULL_XS
