dataset,fold,model,meta_fold,gradient_cosine,n_pseudo_future_subjects
OpenBMI,0,M0,0,0.13833217322826385,7
OpenBMI,0,M0,1,0.18069389462471008,7
OpenBMI,0,M0,2,0.46366432309150696,7
OpenBMI,0,M0,3,0.08686647564172745,7
OpenBMI,0,M0,4,0.4053604006767273,6
OpenBMI,0,M1,0,0.07595954835414886,7
OpenBMI,0,M1,1,-0.10896433144807816,7
OpenBMI,0,M1,2,0.16822049021720886,7
OpenBMI,0,M1,3,-0.11661705374717712,7
OpenBMI,0,M1,4,0.2708231210708618,6
OpenBMI,0,M2,0,-0.025662409141659737,7
OpenBMI,0,M2,1,-0.2569445073604584,7
OpenBMI,0,M2,2,0.061687011271715164,7
OpenBMI,0,M2,3,0.11502143740653992,7
OpenBMI,0,M2,4,0.3184571862220764,6
OpenBMI,1,M0,0,0.15790925920009613,7
OpenBMI,1,M0,1,-0.04414062947034836,7
OpenBMI,1,M0,2,-0.22005608677864075,7
OpenBMI,1,M0,3,0.4141290485858917,7
OpenBMI,1,M0,4,0.028516527265310287,6
OpenBMI,1,M1,0,0.37963107228279114,7
OpenBMI,1,M1,1,-0.029991351068019867,7
OpenBMI,1,M1,2,-0.36460351943969727,7
OpenBMI,1,M1,3,0.3685564696788788,7
OpenBMI,1,M1,4,0.5733605623245239,6
OpenBMI,1,M2,0,0.3433108627796173,7
OpenBMI,1,M2,1,-0.12241359055042267,7
OpenBMI,1,M2,2,-0.3516862690448761,7
OpenBMI,1,M2,3,0.18172818422317505,7
OpenBMI,1,M2,4,0.5522221922874451,6
OpenBMI,2,M0,0,0.3652314245700836,7
OpenBMI,2,M0,1,0.14836090803146362,7
OpenBMI,2,M0,2,0.3956950306892395,7
OpenBMI,2,M0,3,-0.11412910372018814,7
OpenBMI,2,M0,4,0.40874820947647095,6
OpenBMI,2,M1,0,0.2700965404510498,7
OpenBMI,2,M1,1,-0.0813092291355133,7
OpenBMI,2,M1,2,0.4718910753726959,7
