dataset,fold,model,subject_id,BA,accuracy,macro_F1,NLL,trials
OpenBMI,0,M0,1,0.79,0.79,0.7837503861600247,0.44562682451110547,100
OpenBMI,0,M0,3,0.97,0.97,0.96999699969997,0.15958924536161972,100
OpenBMI,0,M0,6,0.96,0.96,0.959983993597439,0.1193137947959019,100
OpenBMI,0,M0,10,0.7,0.7,0.696969696969697,0.5568167686154872,100
OpenBMI,0,M0,17,0.73,0.73,0.7277951406391774,0.6290606711604326,100
OpenBMI,0,M0,28,0.9099999999999999,0.91,0.9095568284594513,0.22047315051022526,100
OpenBMI,0,M0,45,0.86,0.86,0.8590982286634461,0.3751942910281011,100
OpenBMI,0,M0,48,0.62,0.62,0.6041666666666667,0.8161817992393449,100
OpenBMI,0,M0,54,0.75,0.75,0.7479584635547938,0.5085355769809075,100
OpenBMI,0,M1,1,0.78,0.78,0.7726333195535345,0.4818863212061043,100
OpenBMI,0,M1,3,0.94,0.94,0.9399759903961584,0.15403532462713562,100
OpenBMI,0,M1,6,0.96,0.96,0.959983993597439,0.11842906992456782,100
OpenBMI,0,M1,10,0.71,0.71,0.7092731829573935,0.5090201393577177,100
OpenBMI,0,M1,17,0.59,0.59,0.5626666666666666,0.7517094468057296,100
OpenBMI,0,M1,28,0.88,0.88,0.8787878787878788,0.24121593790050175,100
OpenBMI,0,M1,45,0.8899999999999999,0.89,0.8897243107769424,0.3522515606922037,100
OpenBMI,0,M1,48,0.61,0.61,0.6010230179028133,0.7510377366200218,100
OpenBMI,0,M1,54,0.74,0.74,0.7362012987012987,0.5887498623401743,100
OpenBMI,0,M2,1,0.69,0.69,0.6693333333333333,0.5416489872104789,100
OpenBMI,0,M2,3,0.94,0.94,0.9399038461538461,0.16831023077189422,100
OpenBMI,0,M2,6,0.96,0.96,0.9599358974358975,0.13041303072500376,100
OpenBMI,0,M2,10,0.7,0.7,0.6989160979526294,0.5388476723621928,100
OpenBMI,0,M2,17,0.63,0.63,0.6254681647940075,0.6402693113574501,100
OpenBMI,0,M2,28,0.88,0.88,0.8787878787878788,0.2637536496769895,100
OpenBMI,0,M2,45,0.8500000000000001,0.85,0.8492613807657522,0.37196752493392493,100
OpenBMI,0,M2,48,0.6399999999999999,0.64,0.6386993175431553,0.7260804822761519,100
OpenBMI,0,M2,54,0.73,0.73,0.7253585596582239,0.557735083061588,100
OpenBMI,1,M0,3,0.94,0.94,0.9399038461538461,0.1380673515499044,100
OpenBMI,1,M0,7,0.8400000000000001,0.84,0.8389694041867954,0.380256874334071,100
OpenBMI,1,M0,11,0.77,0.77,0.7688674505074866,0.5390208850511569,100
OpenBMI,1,M0,17,0.6000000000000001,0.6,0.5833333333333333,0.7745906707321734,100
OpenBMI,1,M0,19,0.8200000000000001,0.82,0.818840579710145,0.43427635521341457,100
OpenBMI,1,M0,22,0.72,0.72,0.719551282051282,0.5949022874277532,100
OpenBMI,1,M0,38,0.6699999999999999,0.67,0.6349153667441089,0.67092129412078,100
OpenBMI,1,M0,40,0.8400000000000001,0.84,0.8357963875205254,0.3313529445941273,100
OpenBMI,1,M0,50,0.5700000000000001,0.57,0.5305164319248826,1.107004361307263,100
OpenBMI,1,M1,3,0.95,0.95,0.949874686716792,0.16318668027113387,100
OpenBMI,1,M1,7,0.8200000000000001,0.82,0.8164014687882497,0.4246471904350952,100
OpenBMI,1,M1,11,0.76,0.76,0.7552019583843329,0.5755919036622958,100
OpenBMI,1,M1,17,0.5800000000000001,0.58,0.5625,0.8263178388370579,100
OpenBMI,1,M1,19,0.81,0.81,0.8056265984654731,0.49894677388277214,100
OpenBMI,1,M1,22,0.71,0.71,0.7085720028137876,0.5982662487055296,100
OpenBMI,1,M1,38,0.62,0.62,0.5634191176470589,0.7712049092784163,100
OpenBMI,1,M1,40,0.89,0.89,0.8891017239641092,0.29822192230393063,100
OpenBMI,1,M1,50,0.54,0.54,0.45238095238095233,1.3681406608175555,100
OpenBMI,1,M2,3,0.94,0.94,0.9399038461538461,0.16102078854307686,100
OpenBMI,1,M2,7,0.85,0.85,0.8487750781328763,0.40395163256575195,100
OpenBMI,1,M2,11,0.74,0.74,0.7348021215830274,0.6177638051376634,100
OpenBMI,1,M2,17,0.6,0.6,0.5796553173602353,0.815445063546276,100
OpenBMI,1,M2,19,0.8,0.8,0.7947454844006567,0.5146310393904957,100
OpenBMI,1,M2,22,0.73,0.73,0.7253585596582239,0.6325866254455741,100
OpenBMI,1,M2,38,0.62,0.62,0.5558672276764843,0.8540664708573487,100
OpenBMI,1,M2,40,0.8200000000000001,0.82,0.8139727159983464,0.40759169967623116,100
OpenBMI,1,M2,50,0.5499999999999999,0.55,0.4692770373864843,1.4076495188684521,100
OpenBMI,2,M0,5,0.8200000000000001,0.82,0.8164014687882497,0.3807480635186775,100
OpenBMI,2,M0,6,0.95,0.95,0.9499549594635172,0.09402694758870915,100
OpenBMI,2,M0,9,0.79,0.79,0.7863899908452854,0.546331214120915,100
OpenBMI,2,M0,14,0.77,0.77,0.7660461804495982,0.5363996800158511,100
OpenBMI,2,M0,16,0.8400000000000001,0.84,0.839421918908069,0.34623988918017795,100
OpenBMI,2,M0,17,0.6599999999999999,0.66,0.6486151302190988,0.7435864890642344,100
OpenBMI,2,M0,25,1.0,1.0,1.0,0.03503556138469478,100
OpenBMI,2,M0,30,0.84,0.84,0.84,0.3960003413286282,100
OpenBMI,2,M0,49,0.78,0.78,0.7726333195535345,0.5242208997307481,100
OpenBMI,2,M1,5,0.79,0.79,0.7851662404092072,0.4325951671528102,100
OpenBMI,2,M1,6,0.96,0.96,0.959983993597439,0.07625716091942006,100
OpenBMI,2,M1,9,0.78,0.78,0.7742200328407225,0.5670222168585621,100
OpenBMI,2,M1,14,0.72,0.72,0.7144022847817217,0.5584424088284451,100
OpenBMI,2,M1,16,0.85,0.85,0.8487750781328763,0.31523678901878105,100
OpenBMI,2,M1,17,0.61,0.61,0.5953937130407718,0.6704680746564327,100
OpenBMI,2,M1,25,1.0,1.0,1.0,0.030367029612776417,100
OpenBMI,2,M1,30,0.81,0.81,0.8099809980998101,0.4158450218554166,100
OpenBMI,2,M1,49,0.8,0.8,0.7933030177759405,0.5581588715723169,100
OpenBMI,2,M2,5,0.8,0.8,0.7960016319869441,0.4123031591642917,100
OpenBMI,2,M2,6,0.96,0.96,0.959983993597439,0.07157891759192558,100
OpenBMI,2,M2,9,0.79,0.79,0.7863899908452854,0.5737570845032769,100
OpenBMI,2,M2,14,0.77,0.77,0.7631551848419318,0.5654383284269131,100
OpenBMI,2,M2,16,0.86,0.86,0.859775641025641,0.367327008612923,100
OpenBMI,2,M2,17,0.58,0.58,0.5495495495495495,0.8787612013944588,100
OpenBMI,2,M2,25,1.0,1.0,1.0,0.029077656591916985,100
