dataset,model,BA,accuracy,macro_F1,NLL,folds
OpenBMI,M0,0.8022222222222222,0.8022222222222222,0.7964108260236041,0.4554787351375677,5
OpenBMI,M1,0.788888888888889,0.788888888888889,0.7805129858261113,0.4718800536682111,5
OpenBMI,M2,0.7875555555555556,0.7875555555555556,0.7790579421330714,0.4850472277646455,5
WBCIC,M0,0.7960793876262626,0.7960779914529914,0.7947287651031572,0.41369222844345577,5
WBCIC,M1,0.7895932765151514,0.7895918803418803,0.7881623054356947,0.4185988175713553,5
WBCIC,M2,0.7349543876262625,0.7349529914529914,0.700337614845763,0.4660759941186047,5
