dataset,fold,model,BA,accuracy,macro_F1,NLL,anchor_epoch,adapt_epochs,updates,source_examples,finite
OpenBMI,0,M0,0.81,0.81,0.8065862671567408,0.4256435691336806,21,0,0,0,True
OpenBMI,0,M1,0.7888888888888889,0.7888888888888889,0.783363295482236,0.4387039332749063,21,5,535,34240,True
OpenBMI,0,M2,0.7799999999999999,0.7799999999999999,0.7761849418249693,0.437669552486186,21,5,535,34240,True
OpenBMI,1,M0,0.7522222222222222,0.7522222222222221,0.7411882313480451,0.5522658915922938,27,0,0,0,True
OpenBMI,1,M1,0.7422222222222223,0.7422222222222223,0.7225642787956396,0.6138360142437542,27,5,535,34240,True
OpenBMI,1,M2,0.7388888888888888,0.7388888888888888,0.7180397098166867,0.6460785160034299,27,5,535,34240,True
OpenBMI,2,M0,0.8277777777777778,0.8277777777777778,0.8243847742474837,0.4002876762147374,39,0,0,0,True
OpenBMI,2,M1,0.8133333333333332,0.8133333333333332,0.8090250398531654,0.40271030449721795,39,5,535,34240,True
OpenBMI,2,M2,0.8144444444444444,0.8144444444444444,0.8086202853911083,0.4247524455104512,39,5,535,34240,True
OpenBMI,3,M0,0.8366666666666668,0.8366666666666668,0.8355305645084301,0.38935344981258596,37,0,0,0,True
OpenBMI,3,M1,0.8277777777777778,0.8277777777777778,0.8264233025803621,0.3856735547235044,37,5,535,34240,True
OpenBMI,3,M2,0.8300000000000001,0.8300000000000001,0.8287740088920137,0.3884365202572403,37,5,535,34240,True
OpenBMI,4,M0,0.7844444444444444,0.7844444444444445,0.7743642928573208,0.5098430889345408,30,0,0,0,True
OpenBMI,4,M1,0.7722222222222221,0.7722222222222221,0.7611890124191534,0.5184764616016726,30,5,550,35200,True
OpenBMI,4,M2,0.7744444444444445,0.7744444444444445,0.7636707647405792,0.5282991045659201,30,5,550,35200,True
WBCIC,0,M0,0.79375,0.79375,0.7935808183537617,0.40401802684990973,15,0,0,0,True
WBCIC,0,M1,0.7918749999999999,0.791875,0.7913123410485533,0.40799072009148774,15,5,750,48000,True
WBCIC,0,M2,0.790625,0.790625,0.7885097473208489,0.41012602951252775,15,5,750,48000,True
WBCIC,1,M0,0.784375,0.784375,0.783645186791118,0.4413457324513179,19,0,0,0,True
WBCIC,1,M1,0.77125,0.77125,0.7698710394060403,0.45807238546804774,19,5,785,50240,True
WBCIC,1,M2,0.50125,0.50125,0.3360639557836558,0.6951275731293329,19,5,785,50240,True
WBCIC,2,M0,0.7890774936868687,0.7890705128205129,0.7857120695732204,0.41107921426512606,30,0,0,0,True
WBCIC,2,M1,0.7803274936868687,0.7803205128205128,0.777017601783523,0.41641170673844385,30,5,785,50240,True
WBCIC,2,M2,0.7784524936868686,0.7784455128205128,0.7750031038515911,0.41187196555021094,30,5,785,50240,True
WBCIC,3,M0,0.7987500000000001,0.7987500000000001,0.7973048575988821,0.43526320674220376,26,0,0,0,True
WBCIC,3,M1,0.790625,0.7906249999999999,0.7895825845182483,0.43932669935376,26,5,785,50240,True
WBCIC,3,M2,0.7949999999999999,0.7949999999999999,0.7942862346788507,0.4405215071545553,26,5,785,50240,True
WBCIC,4,M0,0.8144444444444444,0.8144444444444444,0.8134008931988034,0.37675496190872143,30,0,0,0,True
WBCIC,4,M1,0.8138888888888889,0.8138888888888889,0.8130279604221088,0.37119257620503704,30,5,750,48000,True
WBCIC,4,M2,0.8094444444444444,0.8094444444444444,0.8078250325938685,0.37273289524639647,30,5,750,48000,True
