method,fold,seed,subject_id,BA,macro_f1,n_trials,source_model_noadapt_BA,adaptation_delta_BA,negative_transfer,adaptation_time_s,target_trainable_parameters,target_future_labels_used_for_fit,internal_holdout_used,outer_test_used
B0_VANILLA_EEGNET,0,1,15,0.9199999999999999,0.9199679871948779,100,,,False,0.0,0,False,False,False
B1_STRONG_EEGNET,0,1,15,0.89,0.8899889988998899,100,,,False,0.0,0,False,False,False
B2_STRONG_GENERIC,0,1,15,0.87,0.8693598633303186,100,0.89,-0.020000000000000018,True,1.3724056000355631,68514,False,False,False
A2_DUAL_CONTROL,0,1,15,0.89,0.8899889988998899,100,0.87,0.020000000000000018,False,1.3002034000237472,26146,False,False,False
A6_PUD_ALL_ADAPT,0,1,15,0.76,0.7591328783621036,100,0.74,0.020000000000000018,False,2.24187119997805,52292,False,False,False
A7_IDENTITY_PROTECTED,0,1,15,0.8,0.7999199679871949,100,0.81,-0.010000000000000009,True,1.332849600003101,26146,False,False,False
A8_RANDOM_PROTECTED,0,1,15,0.83,0.8299829982998299,100,0.8200000000000001,0.009999999999999898,False,1.2733788000186905,26146,False,False,False
A10_FULL_PUD_FREEZE,0,1,15,0.8,0.7996794871794872,100,0.74,0.06000000000000005,False,1.218069700000342,26146,False,False,False
B0_VANILLA_EEGNET,0,1,19,0.65,0.630450849963045,100,,,False,0.0,0,False,False,False
B1_STRONG_EEGNET,0,1,19,0.73,0.7266929851199515,100,,,False,0.0,0,False,False,False
B2_STRONG_GENERIC,0,1,19,0.73,0.7293233082706767,100,0.73,0.0,False,1.1967700999812223,68514,False,False,False
A2_DUAL_CONTROL,0,1,19,0.73,0.7286704853783539,100,0.7,0.030000000000000027,False,1.262386099959258,26146,False,False,False
A6_PUD_ALL_ADAPT,0,1,19,0.6200000000000001,0.6186270574066639,100,0.64,-0.019999999999999907,True,2.095282199967187,52292,False,False,False
A7_IDENTITY_PROTECTED,0,1,19,0.7,0.7,100,0.68,0.019999999999999907,False,1.2754392999922857,26146,False,False,False
