method,fold,seed,subject_id,strategy,trainable_parameter_names,trainable_parameters,parameter_update_l2,adaptation_time_s,adaptation_seed,all_adapt,protected_parameter_update_l2,adaptive_parameter_update_l2,protected_buffer_update_l2
B2_STRONG_GENERIC,0,1,15,full,"['encoder.temporal.weight', 'encoder.bn1.weight', 'encoder.bn1.bias', 'encoder.spatial.weight', 'encoder.bn2.weight', 'encoder.bn2.bias', 'encoder.depth.weight', 'encoder.point.weight', 'encoder.bn3.weight', 'encoder.bn3.bias', 'encoder.embedding.0.weight', 'encoder.embedding.0.bias', 'encoder.embedding.2.weight', 'encoder.embedding.2.bias', 'head.weight', 'head.bias']",68514,0.10814550150312847,1.3724056000355631,,,,,
A2_DUAL_CONTROL,0,1,15,full,"['adaptive.temporal.weight', 'adaptive.bn1.weight', 'adaptive.bn1.bias', 'adaptive.spatial.weight', 'adaptive.bn2.weight', 'adaptive.bn2.bias', 'adaptive.depth.weight', 'adaptive.point.weight', 'adaptive.bn3.weight', 'adaptive.bn3.bias', 'adaptive.embedding.0.weight', 'adaptive.embedding.0.bias', 'adaptive.embedding.2.weight', 'adaptive.embedding.2.bias', 'adaptive_head.weight', 'adaptive_head.bias']",26146,,1.3002034000237472,369800624.0,False,0.0,0.0792822454261292,0.0
A6_PUD_ALL_ADAPT,0,1,15,full,"['protected.temporal.weight', 'protected.bn1.weight', 'protected.bn1.bias', 'protected.spatial.weight', 'protected.bn2.weight', 'protected.bn2.bias', 'protected.depth.weight', 'protected.point.weight', 'protected.bn3.weight', 'protected.bn3.bias', 'protected.embedding.0.weight', 'protected.embedding.0.bias', 'protected.embedding.2.weight', 'protected.embedding.2.bias', 'adaptive.temporal.weight', 'adaptive.bn1.weight', 'adaptive.bn1.bias', 'adaptive.spatial.weight', 'adaptive.bn2.weight', 'adaptive.bn2.bias', 'adaptive.depth.weight', 'adaptive.point.weight', 'adaptive.bn3.weight', 'adaptive.bn3.bias', 'adaptive.embedding.0.weight', 'adaptive.embedding.0.bias', 'adaptive.embedding.2.weight', 'adaptive.embedding.2.bias', 'protected_head.weight', 'protected_head.bias', 'adaptive_head.weight', 'adaptive_head.bias']",52292,,2.24187119997805,369800624.0,True,0.08537783923848342,0.07644333718132787,69.29261897618879
A7_IDENTITY_PROTECTED,0,1,15,full,"['adaptive.temporal.weight', 'adaptive.bn1.weight', 'adaptive.bn1.bias', 'adaptive.spatial.weight', 'adaptive.bn2.weight', 'adaptive.bn2.bias', 'adaptive.depth.weight', 'adaptive.point.weight', 'adaptive.bn3.weight', 'adaptive.bn3.bias', 'adaptive.embedding.0.weight', 'adaptive.embedding.0.bias', 'adaptive.embedding.2.weight', 'adaptive.embedding.2.bias', 'adaptive_head.weight', 'adaptive_head.bias']",26146,,1.332849600003101,369800624.0,False,0.0,0.08071770596747789,0.0
A8_RANDOM_PROTECTED,0,1,15,full,"['adaptive.temporal.weight', 'adaptive.bn1.weight', 'adaptive.bn1.bias', 'adaptive.spatial.weight', 'adaptive.bn2.weight', 'adaptive.bn2.bias', 'adaptive.depth.weight', 'adaptive.point.weight', 'adaptive.bn3.weight', 'adaptive.bn3.bias', 'adaptive.embedding.0.weight', 'adaptive.embedding.0.bias', 'adaptive.embedding.2.weight', 'adaptive.embedding.2.bias', 'adaptive_head.weight', 'adaptive_head.bias']",26146,,1.2733788000186905,369800624.0,False,0.0,0.07923037520694866,0.0
A10_FULL_PUD_FREEZE,0,1,15,full,"['adaptive.temporal.weight', 'adaptive.bn1.weight', 'adaptive.bn1.bias', 'adaptive.spatial.weight', 'adaptive.bn2.weight', 'adaptive.bn2.bias', 'adaptive.depth.weight', 'adaptive.point.weight', 'adaptive.bn3.weight', 'adaptive.bn3.bias', 'adaptive.embedding.0.weight', 'adaptive.embedding.0.bias', 'adaptive.embedding.2.weight', 'adaptive.embedding.2.bias', 'adaptive_head.weight', 'adaptive_head.bias']",26146,,1.218069700000342,369800624.0,False,0.0,0.07989511134242094,0.0
B2_STRONG_GENERIC,0,1,19,full,"['encoder.temporal.weight', 'encoder.bn1.weight', 'encoder.bn1.bias', 'encoder.spatial.weight', 'encoder.bn2.weight', 'encoder.bn2.bias', 'encoder.depth.weight', 'encoder.point.weight', 'encoder.bn3.weight', 'encoder.bn3.bias', 'encoder.embedding.0.weight', 'encoder.embedding.0.bias', 'encoder.embedding.2.weight', 'encoder.embedding.2.bias', 'head.weight', 'head.bias']",68514,0.10652011734616129,1.1967700999812223,,,,,
A2_DUAL_CONTROL,0,1,19,full,"['adaptive.temporal.weight', 'adaptive.bn1.weight', 'adaptive.bn1.bias', 'adaptive.spatial.weight', 'adaptive.bn2.weight', 'adaptive.bn2.bias', 'adaptive.depth.weight', 'adaptive.point.weight', 'adaptive.bn3.weight', 'adaptive.bn3.bias', 'adaptive.embedding.0.weight', 'adaptive.embedding.0.bias', 'adaptive.embedding.2.weight', 'adaptive.embedding.2.bias', 'adaptive_head.weight', 'adaptive_head.bias']",26146,,1.262386099959258,1819290367.0,False,0.0,0.07410005655206908,0.0
A6_PUD_ALL_ADAPT,0,1,19,full,"['protected.temporal.weight', 'protected.bn1.weight', 'protected.bn1.bias', 'protected.spatial.weight', 'protected.bn2.weight', 'protected.bn2.bias', 'protected.depth.weight', 'protected.point.weight', 'protected.bn3.weight', 'protected.bn3.bias', 'protected.embedding.0.weight', 'protected.embedding.0.bias', 'protected.embedding.2.weight', 'protected.embedding.2.bias', 'adaptive.temporal.weight', 'adaptive.bn1.weight', 'adaptive.bn1.bias', 'adaptive.spatial.weight', 'adaptive.bn2.weight', 'adaptive.bn2.bias', 'adaptive.depth.weight', 'adaptive.point.weight', 'adaptive.bn3.weight', 'adaptive.bn3.bias', 'adaptive.embedding.0.weight', 'adaptive.embedding.0.bias', 'adaptive.embedding.2.weight', 'adaptive.embedding.2.bias', 'protected_head.weight', 'protected_head.bias', 'adaptive_head.weight', 'adaptive_head.bias']",52292,,2.095282199967187,1819290367.0,True,0.07602871078179638,0.06741178632698461,69.29992974138605
A7_IDENTITY_PROTECTED,0,1,19,full,"['adaptive.temporal.weight', 'adaptive.bn1.weight', 'adaptive.bn1.bias', 'adaptive.spatial.weight', 'adaptive.bn2.weight', 'adaptive.bn2.bias', 'adaptive.depth.weight', 'adaptive.point.weight', 'adaptive.bn3.weight', 'adaptive.bn3.bias', 'adaptive.embedding.0.weight', 'adaptive.embedding.0.bias', 'adaptive.embedding.2.weight', 'adaptive.embedding.2.bias', 'adaptive_head.weight', 'adaptive_head.bias']",26146,,1.2754392999922857,1819290367.0,False,0.0,0.06928894458330156,0.0
A8_RANDOM_PROTECTED,0,1,19,full,"['adaptive.temporal.weight', 'adaptive.bn1.weight', 'adaptive.bn1.bias', 'adaptive.spatial.weight', 'adaptive.bn2.weight', 'adaptive.bn2.bias', 'adaptive.depth.weight', 'adaptive.point.weight', 'adaptive.bn3.weight', 'adaptive.bn3.bias', 'adaptive.embedding.0.weight', 'adaptive.embedding.0.bias', 'adaptive.embedding.2.weight', 'adaptive.embedding.2.bias', 'adaptive_head.weight', 'adaptive_head.bias']",26146,,1.2087380000157282,1819290367.0,False,0.0,0.07417788993478193,0.0
