fold,subject,method,Frozen_BA,BA,delta_BA_vs_Frozen
0,sub-1,Frozen,0.51,0.51,0.0
0,sub-3,Frozen,0.595,0.595,0.0
0,sub-5,Frozen,0.635,0.635,0.0
0,sub-16,Frozen,0.5,0.5,0.0
0,sub-19,Frozen,0.7,0.7,0.0
0,sub-21,Frozen,0.5700000000000001,0.5700000000000001,0.0
0,sub-28,Frozen,0.525,0.525,0.0
0,sub-33,Frozen,0.6799999999999999,0.6799999999999999,0.0
0,sub-37,Frozen,0.605,0.605,0.0
0,sub-1,Generic,0.51,0.915,0.405
0,sub-3,Generic,0.595,0.77,0.17500000000000004
0,sub-5,Generic,0.635,0.73,0.09499999999999997
0,sub-16,Generic,0.5,0.51,0.010000000000000009
0,sub-19,Generic,0.7,0.91,0.21000000000000008
0,sub-21,Generic,0.5700000000000001,0.8049999999999999,0.23499999999999988
0,sub-28,Generic,0.525,0.6799999999999999,0.15499999999999992
0,sub-33,Generic,0.6799999999999999,0.94,0.26
0,sub-37,Generic,0.605,0.885,0.28
1,sub-2,Frozen,0.62,0.62,0.0
1,sub-11,Frozen,0.645,0.645,0.0
1,sub-13,Frozen,0.64,0.64,0.0
1,sub-18,Frozen,0.545,0.545,0.0
1,sub-27,Frozen,0.51,0.51,0.0
1,sub-36,Frozen,0.87,0.87,0.0
1,sub-44,Frozen,0.6799999999999999,0.6799999999999999,0.0
1,sub-45,Frozen,0.81,0.81,0.0
1,sub-2,Generic,0.62,0.785,0.16500000000000004
1,sub-11,Generic,0.645,0.735,0.08999999999999997
1,sub-13,Generic,0.64,0.815,0.17499999999999993
1,sub-18,Generic,0.545,0.64,0.09499999999999997
1,sub-27,Generic,0.51,0.635,0.125
1,sub-36,Generic,0.87,0.975,0.10499999999999998
1,sub-44,Generic,0.6799999999999999,0.7849999999999999,0.10499999999999998
1,sub-45,Generic,0.81,0.9199999999999999,0.10999999999999988
2,sub-9,Frozen,0.595,0.595,0.0
2,sub-22,Frozen,0.65,0.65,0.0
2,sub-25,Frozen,0.975,0.975,0.0
2,sub-26,Frozen,0.665,0.665,0.0
2,sub-29,Frozen,0.715,0.715,0.0
2,sub-34,Frozen,0.56,0.56,0.0
2,sub-35,Frozen,0.915,0.915,0.0
2,sub-49,Frozen,0.915,0.915,0.0
2,sub-9,Generic,0.595,0.625,0.030000000000000027
2,sub-22,Generic,0.65,0.655,0.0050000000000000044
2,sub-25,Generic,0.975,0.975,0.0
2,sub-26,Generic,0.665,0.6499999999999999,-0.015000000000000124
2,sub-29,Generic,0.715,0.735,0.020000000000000018
2,sub-34,Generic,0.56,0.545,-0.015000000000000013
2,sub-35,Generic,0.915,0.92,0.0050000000000000044
2,sub-49,Generic,0.915,0.925,0.010000000000000009
3,sub-6,Frozen,0.895,0.895,0.0
3,sub-23,Frozen,0.9450000000000001,0.9450000000000001,0.0
3,sub-24,Frozen,0.9075126262626263,0.9075126262626263,0.0
3,sub-30,Frozen,0.845,0.845,0.0
3,sub-31,Frozen,0.5650000000000001,0.5650000000000001,0.0
3,sub-38,Frozen,0.54,0.54,0.0
3,sub-41,Frozen,0.79,0.79,0.0
3,sub-42,Frozen,0.655,0.655,0.0
3,sub-6,Generic,0.895,0.905,0.010000000000000009
3,sub-23,Generic,0.9450000000000001,0.94,-0.0050000000000001155
3,sub-24,Generic,0.9075126262626263,0.9076704545454546,0.00015782828282828731
3,sub-30,Generic,0.845,0.89,0.04500000000000004
3,sub-31,Generic,0.5650000000000001,0.56,-0.0050000000000000044
3,sub-38,Generic,0.54,0.535,-0.0050000000000000044
3,sub-41,Generic,0.79,0.8,0.010000000000000009
3,sub-42,Generic,0.655,0.67,0.015000000000000013
4,sub-7,Frozen,0.7949999999999999,0.7949999999999999,0.0
4,sub-12,Frozen,0.6950000000000001,0.6950000000000001,0.0
4,sub-14,Frozen,0.5800000000000001,0.5800000000000001,0.0
4,sub-17,Frozen,0.8,0.8,0.0
4,sub-32,Frozen,0.56,0.56,0.0
4,sub-47,Frozen,0.905,0.905,0.0
4,sub-48,Frozen,0.73,0.73,0.0
4,sub-50,Frozen,0.9099999999999999,0.9099999999999999,0.0
4,sub-7,Generic,0.7949999999999999,0.77,-0.02499999999999991
4,sub-12,Generic,0.6950000000000001,0.7,0.004999999999999893
4,sub-14,Generic,0.5800000000000001,0.5900000000000001,0.010000000000000009
4,sub-17,Generic,0.8,0.7949999999999999,-0.0050000000000001155
4,sub-32,Generic,0.56,0.565,0.004999999999999893
4,sub-47,Generic,0.905,0.935,0.030000000000000027
4,sub-48,Generic,0.73,0.75,0.020000000000000018
4,sub-50,Generic,0.9099999999999999,0.915,0.0050000000000001155
