fold,direction,persistence_eigenvalue,inner_subject_count,signed_utility_mean,signed_utility_median,utility_positive_fraction,utility_p_raw,decision_dependence_mean,decision_positive_fraction,decision_p_raw
0,1,0.17118796128353914,32,-0.0020779824117198586,-0.0020561693236231804,0.15625,1.0,1.1619146424800464,1.0,0.0
0,2,0.02419510697094998,32,-0.0023664934560656548,-0.0023642228916287422,0.0625,1.0,1.1609154318569241,1.0,0.0
0,3,0.01866185203374488,32,-0.0017978405812755227,-0.0017336346209049225,0.125,1.0,1.1617321449370932,1.0,0.0
0,4,0.015926962296365397,32,-0.001656124775763601,-0.0015511922538280487,0.1875,1.0,1.1624119411420675,1.0,0.0
0,5,0.013975470883982518,32,-0.0025176684139296412,-0.0025324542075395584,0.15625,1.0,1.160909757971419,1.0,0.0
0,6,0.009921943014230486,32,-0.0017413813038729131,-0.0016025947406888008,0.15625,1.0,1.1615782409391429,1.0,0.0
0,7,0.006884502447787198,32,-0.0016913071158342063,-0.0016564643010497093,0.15625,0.99999,1.161874723714584,1.0,0.0
0,8,0.005783715775847661,32,-0.0017489904421381652,-0.001828586682677269,0.1875,1.0,1.1622891871005834,1.0,0.0
1,1,0.13673159155413128,33,-0.00373622825877233,-0.0029216278344392776,0.18181818181818182,1.0,0.0865036893836557,1.0,0.0
1,2,0.04323171465841662,33,-0.0026804065670479427,-0.0028995834290981293,0.15151515151515152,1.0,0.08757680910798789,1.0,0.0
1,3,0.02780368862740952,33,-0.0025459564657825413,-0.0029832404106855392,0.12121212121212122,1.0,0.08911184792044739,1.0,0.0
1,4,0.017193988428489345,33,-0.002971649734359799,-0.002886606380343437,0.18181818181818182,1.0,0.08719980700760374,1.0,0.0
1,5,0.014639970649823584,33,-0.0018208918980125225,-0.0019088396802544594,0.18181818181818182,1.0,0.08911590047488308,1.0,0.0
1,6,0.013344048422299536,33,-0.002397303271925811,-0.0025454889982938766,0.12121212121212122,1.0,0.08937511453726081,1.0,0.0
1,7,0.00940508389390403,33,-0.002597219000260035,-0.00276247039437294,0.18181818181818182,1.0,0.08774644575116047,1.0,0.0
1,8,0.008457783926823831,33,-0.002659617443427895,-0.002736348658800125,0.12121212121212122,1.0,0.08729629378798737,1.0,0.0
2,1,0.20985903987528742,33,0.000810859195718711,-0.0004295455291867256,0.45454545454545453,0.1851,0.37739094247417204,1.0,0.0
2,2,0.09755608395335617,33,0.0019102944202269568,0.00020606163889169693,0.5151515151515151,0.03667,0.3775986548772042,1.0,0.0
2,3,0.05657481675220062,33,0.001601213010761774,0.00020332541316747665,0.5151515151515151,0.0488,0.3712306139093373,1.0,0.0
2,4,0.04379321851492847,33,0.0003751948419393915,-0.0013736942782998085,0.3939393939393939,0.3202,0.38670408412037277,1.0,0.0
2,5,0.03338274602452207,33,0.0007461953809428396,-0.0009528947994112968,0.42424242424242425,0.15998,0.3751059156978609,1.0,0.0
2,6,0.02037909695045135,33,0.000814662195008361,0.0007660575211048126,0.5151515151515151,0.21242,0.3665303878190831,1.0,0.0
2,7,0.01606552659973344,33,0.0016114488879049366,-0.00016145315021276474,0.48484848484848486,0.07078,0.37684414628493634,1.0,0.0
2,8,0.013691101568614111,33,0.0005570321245062532,-0.00044111814349889755,0.42424242424242425,0.19462,0.3875903922615625,1.0,0.0
3,1,0.16032222269058793,33,0.0023819957154266763,0.00025086477398872375,0.5151515151515151,0.03172,0.20669874371329466,1.0,0.0
3,2,0.12684722123965608,33,0.000675153128351226,-0.0002618832513689995,0.45454545454545453,0.23896,0.2089499896489893,1.0,0.0
3,3,0.05033270464265107,33,0.0022046704226258125,0.00047023408114910126,0.5151515151515151,0.03632,0.20404413911344185,1.0,0.0
3,4,0.037328644297811533,33,0.001955198138162042,-0.0004685809835791588,0.48484848484848486,0.03918,0.20481841006009116,1.0,0.0
3,5,0.03658856101471448,33,0.0014840559469479504,0.00029833707958459854,0.5151515151515151,0.05664,0.20419934520938202,1.0,0.0
3,6,0.02815833198861378,33,0.00179103900904231,-0.00014571752399206161,0.48484848484848486,0.03168,0.2018502768831709,1.0,0.0
3,7,0.024424149060602987,33,0.0013884820227483005,0.0004532523453235626,0.6060606060606061,0.079,0.19634735647557747,1.0,0.0
3,8,0.01213779874485581,33,0.0012542243172047715,-0.0001986827701330185,0.48484848484848486,0.08889,0.20490302145444453,1.0,0.0
4,1,0.18375232201357877,33,-0.0014141902934308305,-0.0021810773760080338,0.24242424242424243,0.99274,0.19631671134674547,1.0,0.0
4,2,0.0948950640200368,33,-0.001800446735807892,-0.002989374101161957,0.30303030303030304,0.98453,0.19858466068030017,1.0,0.0
4,3,0.0748550743539606,33,-0.001501059653519681,-0.0022981707006692886,0.30303030303030304,0.98938,0.20190058326553117,1.0,0.0
4,4,0.04573466908842392,33,-0.0015126535259751659,-0.002470823936164379,0.2727272727272727,0.98318,0.19517152689419662,1.0,0.0
4,5,0.031873904949882945,33,-0.0018098126730006752,-0.002669507171958685,0.24242424242424243,0.99528,0.20431779078175,1.0,0.0
4,6,0.025062142373215836,33,-0.0014288298376468997,-0.0018636863678693771,0.2727272727272727,0.98587,0.20708172878759123,1.0,0.0
4,7,0.01932429197616129,33,-0.001013708413776123,-0.0015628207474946976,0.3333333333333333,0.95252,0.20705467206440753,1.0,0.0
4,8,0.014605830337853929,33,-0.001631092724644325,-0.0027940813452005386,0.2727272727272727,0.991,0.20463299975931318,1.0,0.0
