dataset,fold,seed,candidate,scope,kappa,epoch,subject_id,anchor_BA,task_BA,selected_BA,selected_anchor_delta_BA,selected_task_delta_BA,anchor_macro_F1,task_macro_F1,selected_macro_F1,anchor_NLL,task_NLL,selected_NLL,trials
OpenBMI,0,0,P6_LATE_CAP20,LATE,0.2,2,2,0.81,0.8,0.8,-0.010000000000000009,0.0,0.8099809980998101,0.7992773986350863,0.7992773986350863,0.3845960697924135,0.3910103771275256,0.39090415005022927,100
OpenBMI,0,0,P6_LATE_CAP20,LATE,0.2,2,13,0.76,0.73,0.73,-0.030000000000000027,0.0,0.7575757575757576,0.7237851662404092,0.7237851662404092,0.47369629046601813,0.49476502392678917,0.49475231970144484,100
OpenBMI,0,0,P6_LATE_CAP20,LATE,0.2,2,14,0.76,0.75,0.75,-0.010000000000000009,0.0,0.7596153846153846,0.7487689679429204,0.7487689679429204,0.47796944382274553,0.5019052337150489,0.5019839435536642,100
OpenBMI,0,0,P6_LATE_CAP20,LATE,0.2,2,19,0.6699999999999999,0.72,0.72,0.050000000000000044,0.0,0.6440513428972063,0.7083333333333334,0.7083333333333334,0.6446105039369805,0.5911126495214172,0.5912562687000971,100
OpenBMI,0,0,P6_LATE_CAP20,LATE,0.2,2,32,0.75,0.75,0.75,0.0,0.0,0.7497747973175859,0.7497747973175859,0.7497747973175859,0.6316021334606653,0.6291068935091767,0.6293384736953639,100
OpenBMI,0,0,P6_LATE_CAP20,LATE,0.2,2,33,0.78,0.8200000000000001,0.8200000000000001,0.040000000000000036,0.0,0.7726333195535345,0.8164014687882497,0.8164014687882497,0.403170344366036,0.3693791703384617,0.3695354327130985,100
OpenBMI,0,0,P6_LATE_CAP20,LATE,0.2,2,36,0.94,0.9099999999999999,0.9099999999999999,-0.030000000000000027,0.0,0.9399038461538461,0.9095568284594513,0.9095568284594513,0.17118395130120712,0.20019726978649932,0.19994499629702983,100
OpenBMI,0,0,P6_LATE_CAP20,LATE,0.2,2,40,0.84,0.8300000000000001,0.8300000000000001,-0.009999999999999898,0.0,0.8368013055895553,0.8260869565217391,0.8260869565217391,0.3489617460531471,0.3577149746936676,0.3578152804065766,100
OpenBMI,0,0,P6_LATE_CAP20,LATE,0.2,2,47,0.96,0.96,0.96,0.0,0.0,0.96,0.96,0.96,0.2223904722924057,0.19029129779806234,0.19025657789866454,100
OpenBMI,0,0,P6_LATE_CAP20,LATE,0.2,2,50,0.5700000000000001,0.5700000000000001,0.5700000000000001,0.0,0.0,0.5174503422735944,0.5305164319248826,0.5305164319248826,0.9252882593948156,0.8758348996633623,0.8762194182491908,100
OpenBMI,0,0,P6_LATE_CAP20,LATE,0.2,2,53,0.8,0.8,0.8,0.0,0.0,0.7992773986350863,0.797979797979798,0.797979797979798,0.4065137227705474,0.4192080793244545,0.419126241192547,100
OpenBMI,1,0,P6_LATE_CAP20,LATE,0.2,2,1,0.77,0.74,0.74,-0.030000000000000027,0.0,0.7631551848419318,0.7291666666666667,0.7291666666666667,0.5030825455592072,0.5089023649354134,0.5090743020251023,100
OpenBMI,1,0,P6_LATE_CAP20,LATE,0.2,2,5,0.79,0.8,0.8,0.010000000000000009,0.0,0.7851662404092072,0.7960016319869441,0.7960016319869441,0.5185873153143156,0.4792836949373225,0.47957027736822583,100
OpenBMI,1,0,P6_LATE_CAP20,LATE,0.2,2,6,0.96,0.97,0.97,0.010000000000000009,0.0,0.9599358974358975,0.9699729756781104,0.9699729756781104,0.10049147450599952,0.10789786709595962,0.10777025859932471,100
OpenBMI,1,0,P6_LATE_CAP20,LATE,0.2,2,10,0.77,0.76,0.76,-0.010000000000000009,0.0,0.7694235588972431,0.7599039615846338,0.7599039615846338,0.5148941823807808,0.506732554326951,0.5067890863535937,100
OpenBMI,1,0,P6_LATE_CAP20,LATE,0.2,2,16,0.84,0.8200000000000001,0.8200000000000001,-0.019999999999999907,0.0,0.8399359743897559,0.8199279711884754,0.8199279711884754,0.33591963106332073,0.3201406991213186,0.3200033147828957,100
OpenBMI,1,0,P6_LATE_CAP20,LATE,0.2,2,25,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0508232577674847,0.05238916929723956,0.05213198928101609,100
OpenBMI,1,0,P6_LATE_CAP20,LATE,0.2,2,35,0.8,0.79,0.79,-0.010000000000000009,0.0,0.797979797979798,0.7874278773155178,0.7874278773155178,0.38253257983151145,0.38581828903849036,0.3860243341306777,100
OpenBMI,1,0,P6_LATE_CAP20,LATE,0.2,2,42,0.78,0.79,0.79,0.010000000000000009,0.0,0.7796474358974359,0.78997899789979,0.78997899789979,0.4746336168766488,0.46593513227458944,0.465847540089725,100
OpenBMI,1,0,P6_LATE_CAP20,LATE,0.2,2,43,0.9099999999999999,0.9299999999999999,0.9299999999999999,0.020000000000000018,0.0,0.9097744360902256,0.9298245614035088,0.9298245614035088,0.250829662027316,0.22759891569431787,0.22741940634695554,100
