dataset,candidate,scope,kappa,guard_kind,n_steps,spearman_rho,pearson_r,sign_accuracy,harm_auroc,mean_h_before,mean_delta_L_B_guard
OpenBMI,CAP_ZERO_IDENTITY,ALL,0.0,TRUE_GUARD,1705,0.9999080893318435,0.9999124182247077,0.9958944281524926,0.9999460083562451,-3.0899316710598546e-05,-2.8311354149122043e-05
OpenBMI,ERM2_REFERENCE,ALL,0.0,TRUE_GUARD,1705,0.9999567614148009,0.9999631378035927,0.9994134897360704,0.9999667132680914,-0.00047409035185842253,-0.0004709555081957596
OpenBMI,P1_ALL_CAP05,ALL,0.05,TRUE_GUARD,1705,0.9616001557900831,0.954221520124206,0.9958944281524926,0.9982040170244797,-2.9347380984912237e-05,-8.426110241070521e-05
OpenBMI,P2_ALL_CAP10,ALL,0.1,TRUE_GUARD,1705,0.9178518655750559,0.884124811369678,0.9953079178885631,0.9976214986633902,-2.9037964672133007e-05,-9.78313451987907e-05
OpenBMI,P3_ALL_CAP20,ALL,0.2,TRUE_GUARD,1705,0.9096645535269988,0.858390943427985,0.9947214076246335,0.9969299593337265,-2.8993155955747043e-05,-9.989377952391101e-05
OpenBMI,P4_LATE_CAP05,LATE,0.05,TRUE_GUARD,1705,0.9978993253664179,0.9973876111064243,0.9947214076246335,0.9996276641392121,-3.0707287337937056e-05,-4.7283136774717536e-05
OpenBMI,P5_LATE_CAP10,LATE,0.1,TRUE_GUARD,1705,0.9917524626568699,0.990005678294605,0.9958944281524926,0.9996235794275086,-3.0549275927696085e-05,-6.181218844355027e-05
OpenBMI,P6_LATE_CAP20,LATE,0.2,TRUE_GUARD,1705,0.9712779096755921,0.9675006841043841,0.9935483870967742,0.9984123820359713,-3.0336950210825776e-05,-8.055562934567851e-05
OpenBMI,TASK_ONLY_MATCHED,ALL,0.0,TRUE_GUARD,1705,0.9999080893318435,0.9999124182247077,0.9958944281524926,0.9999460083562451,-3.0899316710598546e-05,-2.8311354149122043e-05
WBCIC,CAP_ZERO_IDENTITY,ALL,0.0,TRUE_GUARD,2580,0.9999727939695825,0.9999131132548511,1.0,1.0,-3.187230811697196e-05,-3.111603301624919e-05
WBCIC,ERM2_REFERENCE,ALL,0.0,TRUE_GUARD,2580,0.9999680934743369,0.9999508051348084,0.9996124031007751,1.0,-0.0003012700280581954,-0.0003002124614724817
WBCIC,P1_ALL_CAP05,ALL,0.05,TRUE_GUARD,2580,0.9732172801632435,0.9626130998985369,0.9930232558139535,0.9970148956520278,-3.171457015969413e-05,-5.585189417813176e-05
WBCIC,P2_ALL_CAP10,ALL,0.1,TRUE_GUARD,2580,0.9494096928089907,0.9249374411048938,0.9922480620155039,0.9931735758731459,-3.17197843510178e-05,-6.085200191930283e-05
WBCIC,P3_ALL_CAP20,ALL,0.2,TRUE_GUARD,2580,0.9464248829313365,0.9094379131526807,0.9922480620155039,0.9944134391949062,-3.173714681734345e-05,-6.172820174878882e-05
WBCIC,P4_LATE_CAP05,LATE,0.05,TRUE_GUARD,2580,0.9945620741888245,0.9936373679062676,0.9945736434108527,0.9985888697960298,-3.180299043694192e-05,-4.4536827377570693e-05
WBCIC,P5_LATE_CAP10,LATE,0.1,TRUE_GUARD,2580,0.9820278826270156,0.9761419762073373,0.9949612403100775,0.9983119751385258,-3.176096752035837e-05,-5.2696789881979775e-05
WBCIC,P6_LATE_CAP20,LATE,0.2,TRUE_GUARD,2580,0.9569182520251741,0.9379518910032649,0.9930232558139535,0.995314676459415,-3.17474773986083e-05,-5.9624593849329985e-05
WBCIC,TASK_ONLY_MATCHED,ALL,0.0,TRUE_GUARD,2580,0.9999727939695825,0.9999131132548511,1.0,1.0,-3.187230811697196e-05,-3.111603301624919e-05
