dataset,fold,trial_count,max_probability_abs_diff,trial_uid_exact,labels_exact,predictions_exact,pass
OpenBMI,0,1100,1.5808709974418633e-07,True,True,True,True
OpenBMI,1,1100,1.276654693627144e-07,True,True,True,True
OpenBMI,2,1100,1.1632631236047075e-07,True,True,True,True
OpenBMI,3,1100,1.5638179917676354e-07,True,True,True,True
OpenBMI,4,1000,1.2837810564603203e-07,True,True,True,True
WBCIC,0,1800,1.1595557891652675e-07,True,True,True,True
WBCIC,1,1600,1.189132892709388e-07,True,True,True,True
WBCIC,2,1600,1.871922995499986e-07,True,True,True,True
WBCIC,3,1595,1.1934657273560134e-07,True,True,True,True
WBCIC,4,1600,1.6531010782472322e-07,True,True,True,True
