dataset,candidate,scope,kappa,epoch,true_guard_BA,random_guard_BA,true_guard_delta_pp,random_guard_delta_pp,true_vs_random_guard_pp,true_probe_harm_frequency,random_probe_harm_frequency,true_probe_mean_positive_harm,random_probe_mean_positive_harm
OpenBMI,P6_LATE_CAP20,LATE,0.2,2,0.8196296296296297,0.8200000000000001,0.05555555555556424,0.09259259259259967,-0.037037037037035425,0.6666666666666666,0.3333333333333333,0.00016493697961171468,4.764894644419352e-05
WBCIC,P6_LATE_CAP20,LATE,0.2,2,0.7903178122690316,0.7900739098300074,0.4019308943089217,0.37754065040649376,0.024390243902427944,0.32,0.4,1.7925500869750977e-05,3.9767026901245114e-05
