dataset,fold,seed,steps_per_epoch,epochs,schedule_sha256,A_B_subject_disjoint,A_B_subject_disjoint_scope,random_guard_A_B_subject_disjoint,random_guard_subject_overlap_expected,B_probe_disjoint,class_balanced,same_schedule_for_all_candidates,candidate_independent_rng
OpenBMI,0,0,68,5,66f1d62815524d56d40d5cad4dd9b770417f85d5bf164e5feea81cdca56c1852,True,TRUE_GUARD_ONLY,False,True,True,True,True,True
OpenBMI,1,0,68,5,f53ecf483ff3267fdd9933109a89e92871be994bef9f45ff3c5e549c002a2b06,True,TRUE_GUARD_ONLY,False,True,True,True,True,True
OpenBMI,2,0,68,5,87b20ebadad14d5d4fbc588778dae35956bacf05abb499fe9a9788f2e4588815,True,TRUE_GUARD_ONLY,False,True,True,True,True,True
OpenBMI,3,0,68,5,fba137f71232076e911059415ca917e58271da5561562b2cab253ec7ffa59d20,True,TRUE_GUARD_ONLY,False,True,True,True,True,True
OpenBMI,4,0,69,5,96673b9bb50cc7a982273d666358979ce48d895d756b467e9ce01221fb179b8a,True,TRUE_GUARD_ONLY,False,True,True,True,True,True
WBCIC,0,0,100,5,3f7dec7f7f18b430693ff85621e948de8363fe7c9b4bfaafef60e12fdd0bfaf0,True,TRUE_GUARD_ONLY,False,True,True,True,True,True
WBCIC,1,0,104,5,29780f79dcca764941d7659c4bb22a6cee3c8723484ab8b261bd0d1d8db37b1b,True,TRUE_GUARD_ONLY,False,True,True,True,True,True
WBCIC,2,0,104,5,965d569d68dc2aed252b0776a2e443ec625ad50213911d4f615fd60852f45189,True,TRUE_GUARD_ONLY,False,True,True,True,True,True
WBCIC,3,0,104,5,8c1286a9f3657553e73db0b3e6b9ef6f6e5d873b1a1038154b49076f6c6c758b,True,TRUE_GUARD_ONLY,False,True,True,True,True,True
WBCIC,4,0,104,5,43c201402c2ed969839bc9ed852da16f85b9ed4adf3110ed0a5991832185f41f,True,TRUE_GUARD_ONLY,False,True,True,True,True,True
