dataset,candidate,scope,kappa,guard_kind,n_steps,trigger_rate,mean_relative_correction,median_relative_correction,mean_correction_norm,mean_h_before,mean_h_after,max_cap_violation,mean_delta_task_norm,max_cap_ratio
OpenBMI,CAP_ZERO_IDENTITY,ALL,0.0,TRUE_GUARD,1705,0.45689149560117304,0.0,0.0,0.0,-3.0899316710598546e-05,-3.0899316710598546e-05,0.0,0.0013488533942143588,0.0
OpenBMI,ERM2_REFERENCE,ALL,0.0,TRUE_GUARD,1705,0.020527859237536656,0.0,0.0,0.0,-0.00047409035185842253,-0.00047409035185842253,0.0,0.0013917917708656,0.0
OpenBMI,P1_ALL_CAP05,ALL,0.05,TRUE_GUARD,1705,0.4621700879765396,0.013604089720105433,0.0,1.8203365770609386e-05,-2.9347380984912237e-05,-8.662543971990799e-05,0.00019729153427761048,0.0013487304921352093,1.000000136212119
OpenBMI,P2_ALL_CAP10,ALL,0.1,TRUE_GUARD,1705,0.46158357771261,0.016631155933738744,0.0,2.2351720805754436e-05,-2.9037964672133007e-05,-0.00010014224208729798,0.00035562136326916516,0.0013487405827831574,1.0000000912691558
OpenBMI,P3_ALL_CAP20,ALL,0.2,TRUE_GUARD,1705,0.46099706744868035,0.017039260728989536,0.0,2.2933811911267403e-05,-2.8993155955747043e-05,-0.00010219278935668989,0.00035562136326916516,0.0013487275159996975,0.8604847026645827
OpenBMI,P4_LATE_CAP05,LATE,0.05,TRUE_GUARD,1705,0.4574780058651026,0.020283111389292188,0.0,2.6313461302185402e-05,-3.0707287337937056e-05,-4.9851970880299524e-05,0.0002685955842025578,0.0013491448077108286,1.0000001479689946
OpenBMI,P5_LATE_CAP10,LATE,0.1,TRUE_GUARD,1705,0.4592375366568915,0.035703750111638594,0.0,4.634768044108512e-05,-3.0549275927696085e-05,-6.436488039768722e-05,0.000537186220753938,0.001349348533841238,1.0000001163561896
OpenBMI,P6_LATE_CAP20,LATE,0.2,TRUE_GUARD,1705,0.4586510263929619,0.055629040052155534,0.0,7.214621230490035e-05,-3.0336950210825776e-05,-8.308554054203922e-05,0.0007632734486833215,0.0013495874638966888,1.0000001633472637
OpenBMI,TASK_ONLY_MATCHED,ALL,0.0,TRUE_GUARD,1705,0.45689149560117304,0.0,0.0,0.0,-3.0899316710598546e-05,-3.0899316710598546e-05,0.0,0.0013488533942143588,0.0
WBCIC,CAP_ZERO_IDENTITY,ALL,0.0,TRUE_GUARD,2580,0.40930232558139534,0.0,0.0,0.0,-3.187230811697196e-05,-3.187230811697196e-05,0.0,0.0014031400527288892,0.0
WBCIC,ERM2_REFERENCE,ALL,0.0,TRUE_GUARD,2580,0.010852713178294573,0.0,0.0,0.0,-0.0003012700280581954,-0.0003012700280581954,0.0,0.0014506715231181605,0.0
WBCIC,P1_ALL_CAP05,ALL,0.05,TRUE_GUARD,2580,0.40968992248062014,0.011505929624084857,0.0,1.6006284121799837e-05,-3.171457015969413e-05,-5.658550277273477e-05,0.0002769588609226048,0.0014033231636068906,1.0000001547452817
WBCIC,P2_ALL_CAP10,ALL,0.1,TRUE_GUARD,2580,0.4108527131782946,0.013687862534539156,0.0,1.9117501768170874e-05,-3.17197843510178e-05,-6.157891762758901e-05,0.00032885183463804424,0.0014035058497945784,1.0000001204802729
WBCIC,P3_ALL_CAP20,ALL,0.2,TRUE_GUARD,2580,0.4108527131782946,0.01402426011378293,0.0,1.9624012216261592e-05,-3.173714681734345e-05,-6.24551163476534e-05,0.00032885183463804424,0.0014035595170323297,1.0000000191067209
WBCIC,P4_LATE_CAP05,LATE,0.05,TRUE_GUARD,2580,0.40891472868217055,0.016262913740241747,0.0,2.1773169512196912e-05,-3.180299043694192e-05,-4.526865422469994e-05,0.00026857765624299645,0.0014032758278284916,1.000000157581394
WBCIC,P5_LATE_CAP10,LATE,0.1,TRUE_GUARD,2580,0.40852713178294575,0.025923776897919446,0.0,3.4881524636212464e-05,-3.176096752035837e-05,-5.341499019381733e-05,0.0005371553124859929,0.001403382773666332,1.0000001524105204
WBCIC,P6_LATE_CAP20,LATE,0.2,TRUE_GUARD,2580,0.40813953488372096,0.03391092035285098,0.0,4.578127264551051e-05,-3.17474773986083e-05,-6.03309418742265e-05,0.0008742658537812531,0.00140350088788478,1.0000001942961723
WBCIC,TASK_ONLY_MATCHED,ALL,0.0,TRUE_GUARD,2580,0.40930232558139534,0.0,0.0,0.0,-3.187230811697196e-05,-3.187230811697196e-05,0.0,0.0014031400527288892,0.0
