dataset,fold,epoch,max_parameter_abs_diff,max_probability_abs_diff,pass
OpenBMI,0,1,0.0,0.0,True
OpenBMI,0,2,0.0,0.0,True
OpenBMI,0,3,0.0,0.0,True
OpenBMI,0,4,0.0,0.0,True
OpenBMI,0,5,0.0,0.0,True
OpenBMI,1,1,0.0,0.0,True
OpenBMI,1,2,0.0,0.0,True
OpenBMI,1,3,0.0,0.0,True
OpenBMI,1,4,0.0,0.0,True
OpenBMI,1,5,0.0,0.0,True
OpenBMI,2,1,0.0,0.0,True
OpenBMI,2,2,0.0,0.0,True
OpenBMI,2,3,0.0,0.0,True
OpenBMI,2,4,0.0,0.0,True
OpenBMI,2,5,0.0,0.0,True
OpenBMI,3,1,0.0,0.0,True
OpenBMI,3,2,0.0,0.0,True
OpenBMI,3,3,0.0,0.0,True
OpenBMI,3,4,0.0,0.0,True
OpenBMI,3,5,0.0,0.0,True
OpenBMI,4,1,0.0,0.0,True
OpenBMI,4,2,0.0,0.0,True
OpenBMI,4,3,0.0,0.0,True
OpenBMI,4,4,0.0,0.0,True
OpenBMI,4,5,0.0,0.0,True
WBCIC,0,1,0.0,0.0,True
WBCIC,0,2,0.0,0.0,True
WBCIC,0,3,0.0,0.0,True
WBCIC,0,4,0.0,0.0,True
WBCIC,0,5,0.0,0.0,True
WBCIC,1,1,0.0,0.0,True
WBCIC,1,2,0.0,0.0,True
WBCIC,1,3,0.0,0.0,True
WBCIC,1,4,0.0,0.0,True
WBCIC,1,5,0.0,0.0,True
WBCIC,2,1,0.0,0.0,True
WBCIC,2,2,0.0,0.0,True
WBCIC,2,3,0.0,0.0,True
WBCIC,2,4,0.0,0.0,True
WBCIC,2,5,0.0,0.0,True
WBCIC,3,1,0.0,0.0,True
WBCIC,3,2,0.0,0.0,True
WBCIC,3,3,0.0,0.0,True
WBCIC,3,4,0.0,0.0,True
WBCIC,3,5,0.0,0.0,True
WBCIC,4,1,0.0,0.0,True
WBCIC,4,2,0.0,0.0,True
WBCIC,4,3,0.0,0.0,True
WBCIC,4,4,0.0,0.0,True
WBCIC,4,5,0.0,0.0,True
