dataset,fold,seed,BA,n_subjects
OpenBMI,0,0,0.7854545454545455,11
OpenBMI,1,0,0.8318181818181819,11
OpenBMI,2,0,0.8145454545454545,11
OpenBMI,3,0,0.8245454545454544,11
OpenBMI,4,0,0.841,10
WBCIC,0,0,0.8005555555555556,9
WBCIC,1,0,0.77125,8
WBCIC,2,0,0.786875,8
WBCIC,3,0,0.7854048295454545,8
WBCIC,4,0,0.785625,8
