model,task,fold,seed,status,checkpoint_sha256,basis_sha256,split_sha256,P_minus_random,P_oracle_BA_gain,P_percentile,empirical_p,random_oracle_high,random_oracle_low,random_oracle_mean
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,-0.0060124999999999484,0.07750000000000001,0.35,0.6534653465346535,0.1025,0.0625,0.08351249999999996
EEGNet,OpenBMI_MI,1,0,COMPLETE,31ece43171bf5373a32bc0aa46adc23920f1296ad9d59cc83d3f421c9f536afd,4e9a5f99d3d44c50c7afa426812ea07b2eb0df165745405f3c18d2b9a7af261e,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,-0.010712500000000014,0.08249999999999998,0.1,0.9108910891089109,0.10690624999999995,0.07934374999999998,0.09321249999999999
EEGNet,OpenBMI_MI,2,0,COMPLETE,e05e706370a70479056262c6acd3d50303eaeedcebb34c25c1975683b5a1b31b,e0aff4bd34fd8374611f34105d88b1a4c8cd02ac0be7b27e7743ccfe4339b697,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,-0.04271250000000003,0.08500000000000003,0.04,0.9702970297029703,0.16006250000000002,0.08500000000000002,0.12771250000000006
EEGNet,OpenBMI_MI,3,0,COMPLETE,bb6d51d2dadc12c03a159b73194845094b24093d251dd44713055016f30b09c8,7b12b4ec68c01cc1ea3577ee4955d925ee19f29a94857743ee9af6011c924683,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,-0.02781249999999999,0.06500000000000002,0.03,0.9702970297029703,0.11875000000000004,0.06493750000000002,0.0928125
EEGNet,OpenBMI_MI,4,0,COMPLETE,92f2de1b95d785fd5f801b05625a2b8a9b475cfc3831262a63cf406d5b896462,7e0fc10f2744a762d23a150a96ad7eded63bdbe97189126dccdac1d7d91368f7,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,-0.03375,0.07875,0.01,0.9900990099009901,0.13875,0.08803124999999999,0.1125
EEGNet,OpenBMI_SSVEP,0,0,COMPLETE,861b3f566bfc00ddb1036072b3d82948ba562540f8d1b67718262b52ab8bbe16,c955c696f5600b9f5399d12078abd373b844b6a85bfb7087b6c8981f481c85fb,d1ef45b998b0dfe0acaad75dc1eb1b02f571c4314484bbd442ac3d55cd2de5a0,-0.005374999999999987,0.02500000000000001,0.2,0.8118811881188119,0.04125,0.01999999999999999,0.030374999999999996
EEGNet,OpenBMI_SSVEP,1,0,COMPLETE,c52842b9bd3717a4239149aa711cc7c894a28959e1ed897577af14acf1f55f50,4eff8f01e69f1655d2da1eb4a55f251dedae77bf90e4ce8bdb70f25106a089a8,d1ef45b998b0dfe0acaad75dc1eb1b02f571c4314484bbd442ac3d55cd2de5a0,-0.0007625000000000166,0.014999999999999986,0.43,0.594059405940594,0.023749999999999993,0.008750000000000008,0.015762500000000002
EEGNet,OpenBMI_SSVEP,2,0,COMPLETE,6aa5e6e296ab32f1f69f03090f052d8a71c09dedc03bbc11d287cf9873a62040,73287146b09aaf3561fe6fd0eb8419bf58673131e6e49d840a76be9e4f1df464,d1ef45b998b0dfe0acaad75dc1eb1b02f571c4314484bbd442ac3d55cd2de5a0,0.0016374999999999862,0.04249999999999998,0.58,0.43564356435643564,0.058156249999999986,0.025593749999999988,0.040862499999999996
EEGNet,OpenBMI_SSVEP,3,0,COMPLETE,f286e0fb5018864344844f980e946f9724b00dae7a5a53c55c88465841ba6c12,d4df19f15b5b96ace4bb4271ad4b10d2ecdc4445700bb104c99b5c329c95e3c9,d1ef45b998b0dfe0acaad75dc1eb1b02f571c4314484bbd442ac3d55cd2de5a0,-0.007187499999999996,0.011249999999999982,0.1,0.9207920792079208,0.029406249999999967,0.009343749999999967,0.018437499999999978
EEGNet,OpenBMI_SSVEP,4,0,COMPLETE,d11730326b518db0ae6fc3239bd31ff3f1a2e364ddd293c9b656c2e756a1b56e,3200adc3086ceacf14de9eab06b318d26163a19deeeb4cff6b29ed46f4a7f7e1,d1ef45b998b0dfe0acaad75dc1eb1b02f571c4314484bbd442ac3d55cd2de5a0,0.002625000000000006,0.012500000000000011,0.78,0.32673267326732675,0.018156249999999992,0.0030937500000000027,0.009875000000000005
