model,task,fold,seed,status,checkpoint_sha256,basis_sha256,split_sha256,C_DOWN_ONLY,C_DOWN_ONLY_flag,C_UP_ONLY,C_UP_ONLY_flag,JOINT_REWEIGHT,NOT_REWEIGHT_RECOVERABLE,P_DOWN_ONLY,P_DOWN_ONLY_flag,P_UP_ONLY,P_UP_ONLY_flag,minimum_intervention_distance,subject_id
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,2,3,2,2,2,4,0,2,1,2,0.49476297412599834,3
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0,6,2,2,6,12,1,3,6,6,0.45790331562360126,5
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,1,3,1,1,4,3,1,1,2,2,0.4736896753311157,6
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,2,3,5,6,0,9,2,7,1,2,0.29163961112499237,15
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,3,5,3,4,2,24,1,4,2,3,0.4402965415607799,32
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,1,5,1,1,5,15,1,2,4,4,0.49788109461466473,33
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,1,5,3,3,4,13,1,4,4,4,0.4042024199779217,38
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,2,3,2,2,4,5,1,3,1,1,0.466791045665741,47
EEGNet,OpenBMI_MI,1,0,COMPLETE,31ece43171bf5373a32bc0aa46adc23920f1296ad9d59cc83d3f421c9f536afd,4e9a5f99d3d44c50c7afa426812ea07b2eb0df165745405f3c18d2b9a7af261e,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,1,4,3,3,2,18,2,5,3,3,0.44775263287804346,2
EEGNet,OpenBMI_MI,1,0,COMPLETE,31ece43171bf5373a32bc0aa46adc23920f1296ad9d59cc83d3f421c9f536afd,4e9a5f99d3d44c50c7afa426812ea07b2eb0df165745405f3c18d2b9a7af261e,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,5,9,1,2,3,18,1,2,4,5,0.41111780064446585,14
EEGNet,OpenBMI_MI,1,0,COMPLETE,31ece43171bf5373a32bc0aa46adc23920f1296ad9d59cc83d3f421c9f536afd,4e9a5f99d3d44c50c7afa426812ea07b2eb0df165745405f3c18d2b9a7af261e,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0,0,0,0,2,10,0,0,0,0,0.7281799912452698,26
EEGNet,OpenBMI_MI,1,0,COMPLETE,31ece43171bf5373a32bc0aa46adc23920f1296ad9d59cc83d3f421c9f536afd,4e9a5f99d3d44c50c7afa426812ea07b2eb0df165745405f3c18d2b9a7af261e,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,3,7,4,4,1,14,1,5,4,5,0.3576304522844461,28
EEGNet,OpenBMI_MI,1,0,COMPLETE,31ece43171bf5373a32bc0aa46adc23920f1296ad9d59cc83d3f421c9f536afd,4e9a5f99d3d44c50c7afa426812ea07b2eb0df165745405f3c18d2b9a7af261e,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0,3,0,2,2,15,7,7,3,3,0.40521268049875897,31
EEGNet,OpenBMI_MI,1,0,COMPLETE,31ece43171bf5373a32bc0aa46adc23920f1296ad9d59cc83d3f421c9f536afd,4e9a5f99d3d44c50c7afa426812ea07b2eb0df165745405f3c18d2b9a7af261e,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,1,4,3,3,1,11,0,3,3,4,0.3119574375450611,35
EEGNet,OpenBMI_MI,1,0,COMPLETE,31ece43171bf5373a32bc0aa46adc23920f1296ad9d59cc83d3f421c9f536afd,4e9a5f99d3d44c50c7afa426812ea07b2eb0df165745405f3c18d2b9a7af261e,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0,0,1,1,1,11,1,2,0,0,0.46341729164123535,40
EEGNet,OpenBMI_MI,1,0,COMPLETE,31ece43171bf5373a32bc0aa46adc23920f1296ad9d59cc83d3f421c9f536afd,4e9a5f99d3d44c50c7afa426812ea07b2eb0df165745405f3c18d2b9a7af261e,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,2,4,2,3,2,9,3,5,2,2,0.4279950206929987,43
EEGNet,OpenBMI_MI,2,0,COMPLETE,e05e706370a70479056262c6acd3d50303eaeedcebb34c25c1975683b5a1b31b,e0aff4bd34fd8374611f34105d88b1a4c8cd02ac0be7b27e7743ccfe4339b697,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,3,4,1,2,4,17,1,2,1,1,0.5358629137277603,1
EEGNet,OpenBMI_MI,2,0,COMPLETE,e05e706370a70479056262c6acd3d50303eaeedcebb34c25c1975683b5a1b31b,e0aff4bd34fd8374611f34105d88b1a4c8cd02ac0be7b27e7743ccfe4339b697,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,1,5,3,3,1,19,2,5,4,4,0.3234986500306563,8
EEGNet,OpenBMI_MI,2,0,COMPLETE,e05e706370a70479056262c6acd3d50303eaeedcebb34c25c1975683b5a1b31b,e0aff4bd34fd8374611f34105d88b1a4c8cd02ac0be7b27e7743ccfe4339b697,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,2,5,5,6,1,18,4,9,3,4,0.31239649454752605,11
EEGNet,OpenBMI_MI,2,0,COMPLETE,e05e706370a70479056262c6acd3d50303eaeedcebb34c25c1975683b5a1b31b,e0aff4bd34fd8374611f34105d88b1a4c8cd02ac0be7b27e7743ccfe4339b697,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,2,4,2,3,3,20,4,6,2,2,0.4518579519712008,23
