model,task,status,completed_folds,P_specific_oracle_gain_mean,P_minus_random_mean
EEGNet,OpenBMI_MI,COMPLETE,5,0.07775,-0.024199999999999996
EEGNet,OpenBMI_SSVEP,COMPLETE,5,0.021249999999999995,-0.0018125000000000016
EEGConformer,OpenBMI_MI,COMPLETE,5,0.053249999999999985,-0.030820000000000014
EEGConformer,OpenBMI_SSVEP,COMPLETE,5,0.03999999999999998,-0.005002500000000012
