model,task,policy,metric,unit,subjects,delta_mean,ci_low,ci_high,positive_folds,folds
EEGNet,OpenBMI_SSVEP,reliability_A,CE,biological_subject,40,0.009759398718597368,0.002726391528995009,0.018037104997492854,4,5
EEGNet,OpenBMI_SSVEP,reliability_B,BA,biological_subject,40,0.0002500000000000002,0.0,0.0007500000000000007,1,5
EEGNet,OpenBMI_SSVEP,reliability_B,MacroF1,biological_subject,40,0.00032309855709210104,-1.1685802905807286e-05,0.0009809814741821104,1,5
EEGNet,OpenBMI_SSVEP,reliability_B,CE,biological_subject,40,0.010278699808986857,0.003042983311897842,0.0196546338313783,4,5
EEGNet,OpenBMI_SSVEP,reliability_C,BA,biological_subject,40,0.0005000000000000004,0.0,0.0015000000000000013,1,5
EEGNet,OpenBMI_SSVEP,reliability_C,MacroF1,biological_subject,40,0.0007520723269424407,0.0,0.002256216980827322,1,5
EEGNet,OpenBMI_SSVEP,reliability_C,CE,biological_subject,40,0.011118858866393567,0.0024203907597984656,0.021332068190822593,4,5
EEGNet,OpenBMI_SSVEP,reliability_D,BA,biological_subject,40,0.0005000000000000004,0.0,0.0012500000000000011,2,5
EEGNet,OpenBMI_SSVEP,reliability_D,MacroF1,biological_subject,40,0.0007187880751598569,0.0,0.0017175958145759086,2,5
EEGNet,OpenBMI_SSVEP,reliability_D,CE,biological_subject,40,0.005655324761755764,0.00022975396947003902,0.013003867259685645,4,5
EEGConformer,OpenBMI_MI,C_only,BA,biological_subject,40,-0.15125,-0.18275,-0.12224375000000003,0,5
EEGConformer,OpenBMI_MI,C_only,MacroF1,biological_subject,40,-0.1636106909862503,-0.19759168453459366,-0.13052941182320088,0,5
EEGConformer,OpenBMI_MI,C_only,CE,biological_subject,40,0.1171988008543849,0.03398067434318364,0.1994528111256658,4,5
EEGConformer,OpenBMI_MI,P_only,BA,biological_subject,40,-0.01750000000000001,-0.031750000000000014,-0.0040000000000000036,2,5
EEGConformer,OpenBMI_MI,P_only,MacroF1,biological_subject,40,-0.017046632092175423,-0.033383346977474304,-0.0026704377444123177,2,5
EEGConformer,OpenBMI_MI,P_only,CE,biological_subject,40,0.04006808567792177,0.015955498418770732,0.060919598271138964,4,5
EEGConformer,OpenBMI_MI,fixed_alpha_0.25,BA,biological_subject,40,-0.007749999999999996,-0.01924999999999999,0.0035000000000000118,1,5
EEGConformer,OpenBMI_MI,fixed_alpha_0.25,MacroF1,biological_subject,40,-0.007113113965081019,-0.019600191305328665,0.005231711743810265,2,5
EEGConformer,OpenBMI_MI,fixed_alpha_0.25,CE,biological_subject,40,0.012388580664992332,-0.005107520706951619,0.02856603397987782,4,5
EEGConformer,OpenBMI_MI,fixed_alpha_0.5,BA,biological_subject,40,-0.0012500000000000011,-0.009749999999999991,0.006749999999999997,3,5
EEGConformer,OpenBMI_MI,fixed_alpha_0.5,MacroF1,biological_subject,40,-0.0007138778375992416,-0.00962381921380467,0.007719926061462111,4,5
EEGConformer,OpenBMI_MI,fixed_alpha_0.5,CE,biological_subject,40,-0.00293637216091156,-0.014127066275104879,0.007052330700680613,3,5
EEGConformer,OpenBMI_MI,fixed_alpha_0.75,BA,biological_subject,40,-2.7755575615628915e-18,-0.005750000000000005,0.005749999999999994,2,5
EEGConformer,OpenBMI_MI,fixed_alpha_0.75,MacroF1,biological_subject,40,0.0005241945881245297,-0.005981079552480969,0.006421902437223586,3,5
EEGConformer,OpenBMI_MI,fixed_alpha_0.75,CE,biological_subject,40,-0.006801193580031395,-0.012622044133022427,-0.0016580945905298006,1,5
EEGConformer,OpenBMI_MI,fixed_alpha_0,BA,biological_subject,40,-0.01750000000000001,-0.03225,-0.003750000000000009,2,5
EEGConformer,OpenBMI_MI,fixed_alpha_0,MacroF1,biological_subject,40,-0.017046632092175423,-0.0329498387663489,-0.0029529013658348077,2,5
EEGConformer,OpenBMI_MI,fixed_alpha_0,CE,biological_subject,40,0.04006808567792177,0.016561296666041017,0.062262244494631865,4,5
EEGConformer,OpenBMI_MI,fixed_alpha_1,BA,biological_subject,40,0.0,0.0,0.0,0,5
EEGConformer,OpenBMI_MI,fixed_alpha_1,MacroF1,biological_subject,40,0.0,0.0,0.0,0,5
EEGConformer,OpenBMI_MI,fixed_alpha_1,CE,biological_subject,40,-1.4901161193847657e-09,-1.7881393432617187e-08,1.1920928955078126e-08,2,5
