model,task,fold,seed,status,checkpoint_sha256,basis_sha256,split_sha256
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068
EEGNet,OpenBMI_MI,1,0,COMPLETE,31ece43171bf5373a32bc0aa46adc23920f1296ad9d59cc83d3f421c9f536afd,4e9a5f99d3d44c50c7afa426812ea07b2eb0df165745405f3c18d2b9a7af261e,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068
EEGNet,OpenBMI_MI,2,0,COMPLETE,e05e706370a70479056262c6acd3d50303eaeedcebb34c25c1975683b5a1b31b,e0aff4bd34fd8374611f34105d88b1a4c8cd02ac0be7b27e7743ccfe4339b697,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068
EEGNet,OpenBMI_MI,3,0,COMPLETE,bb6d51d2dadc12c03a159b73194845094b24093d251dd44713055016f30b09c8,7b12b4ec68c01cc1ea3577ee4955d925ee19f29a94857743ee9af6011c924683,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068
EEGNet,OpenBMI_MI,4,0,COMPLETE,92f2de1b95d785fd5f801b05625a2b8a9b475cfc3831262a63cf406d5b896462,7e0fc10f2744a762d23a150a96ad7eded63bdbe97189126dccdac1d7d91368f7,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068
EEGNet,OpenBMI_SSVEP,0,0,COMPLETE,861b3f566bfc00ddb1036072b3d82948ba562540f8d1b67718262b52ab8bbe16,c955c696f5600b9f5399d12078abd373b844b6a85bfb7087b6c8981f481c85fb,d1ef45b998b0dfe0acaad75dc1eb1b02f571c4314484bbd442ac3d55cd2de5a0
EEGNet,OpenBMI_SSVEP,1,0,COMPLETE,c52842b9bd3717a4239149aa711cc7c894a28959e1ed897577af14acf1f55f50,4eff8f01e69f1655d2da1eb4a55f251dedae77bf90e4ce8bdb70f25106a089a8,d1ef45b998b0dfe0acaad75dc1eb1b02f571c4314484bbd442ac3d55cd2de5a0
EEGNet,OpenBMI_SSVEP,2,0,COMPLETE,6aa5e6e296ab32f1f69f03090f052d8a71c09dedc03bbc11d287cf9873a62040,73287146b09aaf3561fe6fd0eb8419bf58673131e6e49d840a76be9e4f1df464,d1ef45b998b0dfe0acaad75dc1eb1b02f571c4314484bbd442ac3d55cd2de5a0
EEGNet,OpenBMI_SSVEP,3,0,COMPLETE,f286e0fb5018864344844f980e946f9724b00dae7a5a53c55c88465841ba6c12,d4df19f15b5b96ace4bb4271ad4b10d2ecdc4445700bb104c99b5c329c95e3c9,d1ef45b998b0dfe0acaad75dc1eb1b02f571c4314484bbd442ac3d55cd2de5a0
EEGNet,OpenBMI_SSVEP,4,0,COMPLETE,d11730326b518db0ae6fc3239bd31ff3f1a2e364ddd293c9b656c2e756a1b56e,3200adc3086ceacf14de9eab06b318d26163a19deeeb4cff6b29ed46f4a7f7e1,d1ef45b998b0dfe0acaad75dc1eb1b02f571c4314484bbd442ac3d55cd2de5a0
EEGConformer,OpenBMI_MI,0,0,COMPLETE,cc650b3011d1f05b208cc93fbebf98ab89bc1749213f02afb8667177212859f1,cee6edec269b727f9d7ced232b8769fdda772457625ebf29de6300167f3e4987,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068
EEGConformer,OpenBMI_MI,1,0,COMPLETE,38b50eed3b72893c0868bcc86ab55cb249d76fa0a32a375b352d6dbb37768a3e,742e9affd197484466bda0bb2e2718322983a1dfc1736f85f5088470bf57a177,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068
EEGConformer,OpenBMI_MI,2,0,COMPLETE,a5a0a2eafbba9b026c6368c26c3f3f7021adc2daca0091dd43662c3447374c34,8d1945adbfa1b522ddfb472870fb65a1de1bccddb40f394717aeea185b625474,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068
EEGConformer,OpenBMI_MI,3,0,COMPLETE,ee78fd8820d87c3a5caf05e5c7f49c30de7646cb6def3fa53b2f4856bdde570a,c358cff6c10b43c6fd49642f24cf246d7d3fd9e64d021ae70cc133572b32d005,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068
EEGConformer,OpenBMI_MI,4,0,COMPLETE,8ee4853ad1850a57ef7ba3c6091f132fe2ab4c169efa140810e39cd20076f77b,0f8964a6d58441a9c14f33713f363bb9db20006d22481a3cb07d9ecd43b8d910,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068
EEGConformer,OpenBMI_SSVEP,0,0,COMPLETE,ed322e47fbd576ca0f782cc16a4255edbb8b2268683ca14865318fa15f64b400,650e6c449ac8304d5d31661652a67853fa3a03cfef87b9d5c94b9b5352aa01d6,d1ef45b998b0dfe0acaad75dc1eb1b02f571c4314484bbd442ac3d55cd2de5a0
EEGConformer,OpenBMI_SSVEP,1,0,COMPLETE,32f75fd16bbe0eff08e3188a355638875f14106e7890072708a0f26b07796e2f,35a0bc31934e50b19b1cf630e5c05b97d523f86ab6f4bd277f4c873515fcbd6c,d1ef45b998b0dfe0acaad75dc1eb1b02f571c4314484bbd442ac3d55cd2de5a0
EEGConformer,OpenBMI_SSVEP,2,0,COMPLETE,b3f95a55bf72ebb6e60bab30891cd9766e80a824713c2b64e697652c3a114955,99604a1d36cc4b2b248492b55396d3f1dd984fd57b04b280de8ce2c55cd193af,d1ef45b998b0dfe0acaad75dc1eb1b02f571c4314484bbd442ac3d55cd2de5a0
EEGConformer,OpenBMI_SSVEP,3,0,COMPLETE,8f2fc67d712feb757b872fc8c6175b50ad1671bb1d3e5d185d099740466418ff,1efc60bdab3e7b22bb9e4b462e35f23d85b4502ef3676055777afc5dc309ab28,d1ef45b998b0dfe0acaad75dc1eb1b02f571c4314484bbd442ac3d55cd2de5a0
