run,subject,base_BA,fused_BA,delta_BA
fold-0/seed-0,1,0.77,0.77,0.0
fold-0/seed-0,3,0.915,0.915,0.0
fold-0/seed-0,6,0.7849999999999999,0.77,-0.014999999999999902
fold-0/seed-0,10,0.655,0.635,-0.020000000000000018
fold-0/seed-0,17,0.67,0.66,-0.010000000000000009
fold-0/seed-0,28,0.9450000000000001,0.9450000000000001,0.0
fold-0/seed-0,45,0.875,0.885,0.010000000000000009
fold-0/seed-0,48,0.635,0.615,-0.020000000000000018
fold-0/seed-0,54,0.545,0.545,0.0
fold-0/seed-1,1,0.745,0.745,0.0
fold-0/seed-1,3,0.89,0.89,0.0
fold-0/seed-1,6,0.8200000000000001,0.8200000000000001,0.0
fold-0/seed-1,10,0.745,0.745,0.0
fold-0/seed-1,17,0.69,0.69,0.0
fold-0/seed-1,28,0.96,0.96,0.0
fold-0/seed-1,45,0.875,0.875,0.0
fold-0/seed-1,48,0.57,0.57,0.0
fold-0/seed-1,54,0.605,0.605,0.0
fold-1/seed-0,3,0.895,0.895,0.0
fold-1/seed-0,7,0.6799999999999999,0.6799999999999999,0.0
fold-1/seed-0,11,0.61,0.61,0.0
fold-1/seed-0,17,0.755,0.755,0.0
fold-1/seed-0,19,0.75,0.75,0.0
fold-1/seed-0,22,0.735,0.735,0.0
fold-1/seed-0,38,0.7050000000000001,0.7050000000000001,0.0
fold-1/seed-0,40,0.73,0.73,0.0
fold-1/seed-0,50,0.525,0.525,0.0
fold-1/seed-1,3,0.885,0.885,0.0
fold-1/seed-1,7,0.62,0.62,0.0
fold-1/seed-1,11,0.64,0.64,0.0
fold-1/seed-1,17,0.7,0.7,0.0
fold-1/seed-1,19,0.8049999999999999,0.8049999999999999,0.0
fold-1/seed-1,22,0.73,0.73,0.0
fold-1/seed-1,38,0.69,0.69,0.0
fold-1/seed-1,40,0.7250000000000001,0.7250000000000001,0.0
fold-1/seed-1,50,0.515,0.515,0.0
fold-2/seed-0,5,0.845,0.845,0.0
fold-2/seed-0,6,0.835,0.835,0.0
fold-2/seed-0,9,0.79,0.79,0.0
fold-2/seed-0,14,0.63,0.63,0.0
fold-2/seed-0,16,0.77,0.77,0.0
fold-2/seed-0,17,0.745,0.745,0.0
fold-2/seed-0,25,0.845,0.845,0.0
fold-2/seed-0,30,0.7,0.7,0.0
fold-2/seed-0,49,0.75,0.75,0.0
fold-2/seed-1,5,0.79,0.79,0.0
fold-2/seed-1,6,0.8200000000000001,0.8200000000000001,0.0
fold-2/seed-1,9,0.835,0.835,0.0
fold-2/seed-1,14,0.645,0.645,0.0
fold-2/seed-1,16,0.75,0.75,0.0
fold-2/seed-1,17,0.675,0.675,0.0
fold-2/seed-1,25,0.815,0.815,0.0
fold-2/seed-1,30,0.78,0.78,0.0
fold-2/seed-1,49,0.71,0.71,0.0
