fold,seed,base_version,base_BA,protected_fused_BA,protected_delta_BA,random_mean_delta_BA,uniform_delta_BA,shuffled_delta_BA,all_persistence_delta_BA,full_canonical_delta_BA
0,0,V2,0.755,0.7488888888888889,-0.006111111111111067,-0.0002500000000000013,-0.006111111111111067,-0.006111111111111067,0.0,0.0
0,1,V2,0.7666666666666666,0.7666666666666666,0.0,-0.00023888888888888625,0.0,0.0,0.0,0.0
1,0,V2,0.7094444444444444,0.7094444444444444,0.0,-0.000149999999999999,0.0,0.0,0.0,0.0
1,1,V2,0.701111111111111,0.701111111111111,0.0,0.0,0.0,0.0,0.0,0.0
2,0,V2,0.7677777777777778,0.7677777777777778,0.0,-0.0021611111111111123,0.0,0.0,0.0,0.0
2,1,V2,0.7577777777777778,0.7577777777777778,0.0,5.5555555555553136e-06,0.0,0.0,0.0,0.0
