method,fold,seed,subject_id,protected_representation_drift,adaptive_representation_drift,protected_decision_logit_drift,adaptive_decision_logit_drift,protected_D_finite_after,combined_BA,protected_branch_erasure_harm_BA,adaptive_branch_erasure_harm_BA,protected_parameter_update_l2,adaptive_parameter_update_l2,protected_buffer_update_l2,adaptation_seed,target_future_labels_used_for_fit,internal_holdout_used,outer_test_used,functional_distillation_RMSE_before,functional_distillation_correlation_before,functional_distillation_RMSE_after,functional_distillation_correlation_after
A2_DUAL_CONTROL,0,0,15,0.0,0.36110082268714905,0.0,0.9400417621567868,0.8136851144667038,0.81,0.09000000000000008,0.10000000000000009,0.0,0.07372312589490819,0.0,3434672688,False,False,False,,,,
A6_PUD_ALL_ADAPT,0,0,15,0.11674851179122925,0.17595671117305756,0.4595755889893523,0.23948128933806082,1.4883623281861458,0.8300000000000001,0.20000000000000007,0.0,0.08125561608808474,0.07080206406286699,69.32177259862252,3434672688,False,False,False,0.5067491050806927,0.8707595336881916,0.45726061339190105,0.9019773138958307
A7_IDENTITY_PROTECTED,0,0,15,0.0,0.24134178459644318,0.0,0.5071011896256562,0.2703279869323535,0.87,0.050000000000000044,0.32999999999999996,0.0,0.0755576727050434,0.0,3434672688,False,False,False,,,,
A8_RANDOM_PROTECTED,0,0,15,0.0,0.26048317551612854,0.0,0.625658419869117,0.5039968637734288,0.8799999999999999,0.05999999999999983,0.32999999999999985,0.0,0.07665663450208886,0.0,3434672688,False,False,False,,,,
A10_FULL_PUD_FREEZE,0,0,15,0.0,0.18494251370429993,0.0,0.26450001079887453,1.4045268143492904,0.83,0.22999999999999987,-0.01000000000000012,0.0,0.07518670859619274,0.0,3434672688,False,False,False,0.5067491050806927,0.8707595336881916,0.5067491050806927,0.8707595336881916
A3_P_ONLY,0,0,15,0.0,0.17171832919120789,0.0,0.2758005422582163,1.3019570958337479,0.8200000000000001,0.020000000000000018,0.08000000000000007,0.0,0.07727074574231557,0.0,3434672688,False,False,False,,,,
A4_P_PLUS_U,0,0,15,0.0,0.18494251370429993,0.0,0.26450001079887453,1.4045268143492904,0.83,0.22999999999999987,-0.01000000000000012,0.0,0.07518670859619274,0.0,3434672688,False,False,False,,,,
A5_P_PLUS_D,0,0,15,0.0,0.1856747716665268,0.0,0.2756631936503734,1.3950641036423508,0.82,0.17999999999999994,0.039999999999999925,0.0,0.07225763601076017,0.0,3434672688,False,False,False,,,,
A9_PCA_PROTECTED,0,0,15,0.0,0.2253565490245819,0.0,0.5110294936562333,1.5201719979008983,0.89,0.32999999999999996,0.12,0.0,0.08464849507572478,0.0,3434672688,False,False,False,,,,
A2_DUAL_CONTROL,0,0,19,0.0,0.3093491494655609,0.0,0.4937776006235985,0.7952178013807005,0.73,-0.040000000000000036,0.13,0.0,0.07403817378280152,0.0,2330922183,False,False,False,,,,
A6_PUD_ALL_ADAPT,0,0,19,0.15454530715942383,0.26607051491737366,0.445286271038182,0.21400429682462163,1.315662002490852,0.7,0.1299999999999999,0.030000000000000027,0.07228439723565439,0.07223920482709509,69.33220223300147,2330922183,False,False,False,0.5545681473294695,0.8387910205395085,0.7030953812602382,0.7392266236896534
A7_IDENTITY_PROTECTED,0,0,19,0.0,0.3531630337238312,0.0,0.4437339747421691,0.27944507965309573,0.7,0.040000000000000036,0.07999999999999996,0.0,0.0678583941619808,0.0,2330922183,False,False,False,,,,
A8_RANDOM_PROTECTED,0,0,19,0.0,0.3242746591567993,0.0,0.4118768500618046,0.318698152449223,0.7,-0.030000000000000027,0.20999999999999996,0.0,0.07280911471390222,0.0,2330922183,False,False,False,,,,
A10_FULL_PUD_FREEZE,0,0,19,0.0,0.2680129408836365,0.0,0.2528845866452805,1.0752933641483353,0.6799999999999999,0.09999999999999987,-0.030000000000000027,0.0,0.07744479027208606,0.0,2330922183,False,False,False,0.5545681473294695,0.8387910205395085,0.5545681473294695,0.8387910205395085
A3_P_ONLY,0,0,19,0.0,0.21193356812000275,0.0,0.30638354090445974,1.147072110845375,0.6599999999999999,0.029999999999999916,0.0,0.0,0.07954388196909914,0.0,2330922183,False,False,False,,,,
A4_P_PLUS_U,0,0,19,0.0,0.2680129408836365,0.0,0.2528845866452805,1.0752933641483353,0.6799999999999999,0.09999999999999987,-0.030000000000000027,0.0,0.07744479027208606,0.0,2330922183,False,False,False,,,,
A5_P_PLUS_D,0,0,19,0.0,0.2266876995563507,0.0,0.2335352861717031,1.084535958440942,0.66,0.07000000000000006,0.010000000000000009,0.0,0.07831176011247169,0.0,2330922183,False,False,False,,,,
A9_PCA_PROTECTED,0,0,19,0.0,0.16378067433834076,0.0,0.2803456548686147,1.3181250373461142,0.7,0.04999999999999993,0.05999999999999994,0.0,0.08811526613822186,0.0,2330922183,False,False,False,,,,
A2_DUAL_CONTROL,0,0,32,0.0,0.342420369386673,0.0,0.3643856132418547,0.9693356854366116,0.6799999999999999,-0.030000000000000027,0.08999999999999986,0.0,0.06144155630628675,0.0,3280974116,False,False,False,,,,
A6_PUD_ALL_ADAPT,0,0,32,0.18177181482315063,0.36299073696136475,0.3351483507673411,0.2172300838910991,1.3852475604225616,0.63,0.010000000000000009,0.0,0.06019261520173304,0.05428743788046123,69.4068470288365,3280974116,False,False,False,0.6637084445290079,0.7929992623161198,0.6813306143138209,0.7565539514321447
A7_IDENTITY_PROTECTED,0,0,32,0.0,0.5807461142539978,0.0,0.5733604495659541,0.452031852689934,0.68,0.07000000000000006,0.02000000000000013,0.0,0.05676415784150306,0.0,3280974116,False,False,False,,,,
A8_RANDOM_PROTECTED,0,0,32,0.0,0.5199400782585144,0.0,0.4447447431244849,0.6338456904572077,0.67,-0.009999999999999898,0.12,0.0,0.05701673545957732,0.0,3280974116,False,False,False,,,,
A10_FULL_PUD_FREEZE,0,0,32,0.0,0.36202192306518555,0.0,0.21178514199600124,1.513234716008408,0.63,0.010000000000000009,-0.029999999999999916,0.0,0.0623219102143249,0.0,3280974116,False,False,False,0.6637084445290079,0.7929992623161198,0.6637084445290079,0.7929992623161198
A3_P_ONLY,0,0,32,0.0,0.31759679317474365,0.0,0.1611237091762246,1.6465496077885093,0.65,0.06000000000000005,0.010000000000000009,0.0,0.06191829840983556,0.0,3280974116,False,False,False,,,,
A4_P_PLUS_U,0,0,32,0.0,0.36202192306518555,0.0,0.21178514199600124,1.513234716008408,0.63,0.010000000000000009,-0.029999999999999916,0.0,0.0623219102143249,0.0,3280974116,False,False,False,,,,
A5_P_PLUS_D,0,0,32,0.0,0.3890173137187958,0.0,0.20902542593505324,1.6255353544927083,0.5700000000000001,-0.05999999999999994,-0.05999999999999994,0.0,0.0621057067939016,0.0,3280974116,False,False,False,,,,
A9_PCA_PROTECTED,0,0,32,0.0,0.1847067028284073,0.0,0.1322364561856587,1.629472398277007,0.6599999999999999,-0.010000000000000009,0.029999999999999916,0.0,0.0650002295113884,0.0,3280974116,False,False,False,,,,
A2_DUAL_CONTROL,0,0,33,0.0,0.3022790849208832,0.0,0.3972508370500642,0.8752414587771523,0.81,0.010000000000000009,0.030000000000000027,0.0,0.06230072542451659,0.0,1875325459,False,False,False,,,,
A6_PUD_ALL_ADAPT,0,0,33,0.1283852607011795,0.20344874262809753,0.41450092257426185,0.16310104069381234,1.504726884226902,0.78,0.16999999999999993,0.030000000000000027,0.06595112812102538,0.06582710087347003,69.33366219533752,1875325459,False,False,False,0.5574138884986356,0.9085454320777433,0.5328480447548019,0.9007264200262547
A7_IDENTITY_PROTECTED,0,0,33,0.0,0.26615357398986816,0.0,0.3725029068863322,0.2654628645866945,0.8200000000000001,0.020000000000000018,0.24,0.0,0.06836315657057977,0.0,1875325459,False,False,False,,,,
A8_RANDOM_PROTECTED,0,0,33,0.0,0.23724177479743958,0.0,0.3173101480439064,0.3613951996768292,0.79,0.020000000000000018,0.21000000000000008,0.0,0.06332348618849541,0.0,1875325459,False,False,False,,,,
A10_FULL_PUD_FREEZE,0,0,33,0.0,0.20625004172325134,0.0,0.18271152121416148,1.257732230022642,0.79,0.20999999999999996,-0.020000000000000018,0.0,0.07237702992070638,0.0,1875325459,False,False,False,0.5574138884986356,0.9085454320777433,0.5574138884986356,0.9085454320777433
A3_P_ONLY,0,0,33,0.0,0.19226998090744019,0.0,0.1231162616537824,1.331724729948691,0.81,0.19999999999999996,0.040000000000000036,0.0,0.0793569620633138,0.0,1875325459,False,False,False,,,,
A4_P_PLUS_U,0,0,33,0.0,0.20625004172325134,0.0,0.18271152121416148,1.257732230022642,0.79,0.20999999999999996,-0.020000000000000018,0.0,0.07237702992070638,0.0,1875325459,False,False,False,,,,
A5_P_PLUS_D,0,0,33,0.0,0.18905353546142578,0.0,0.18336745914283306,1.4486005396380457,0.78,0.18000000000000005,0.010000000000000009,0.0,0.071477555150725,0.0,1875325459,False,False,False,,,,
A9_PCA_PROTECTED,0,0,33,0.0,0.16396267712116241,0.0,0.09645155404884796,1.387757232562918,0.8,0.14,0.020000000000000018,0.0,0.08590641489911119,0.0,1875325459,False,False,False,,,,
A2_DUAL_CONTROL,0,0,41,0.0,0.3797873556613922,0.0,0.45373075808108054,0.8959325870162388,0.76,0.10999999999999999,-0.010000000000000009,0.0,0.05326953525142031,0.0,3388355084,False,False,False,,,,
A6_PUD_ALL_ADAPT,0,0,41,0.17535290122032166,0.27921921014785767,0.30221576684360063,0.1312761139787584,1.5101557106526442,0.74,0.12,-0.010000000000000009,0.05415749134345935,0.05583736516553813,69.33645430867055,3388355084,False,False,False,0.47727602295031213,0.9027887722645014,0.5125200843057517,0.8897900045255188
A7_IDENTITY_PROTECTED,0,0,41,0.0,0.4868549108505249,0.0,0.32319134853867987,0.427763107027264,0.77,0.0,0.20999999999999996,0.0,0.061886640193392226,0.0,3388355084,False,False,False,,,,
A8_RANDOM_PROTECTED,0,0,41,0.0,0.45265913009643555,0.0,0.2824254019955279,0.4578654894966602,0.74,0.020000000000000018,0.13,0.0,0.054169644386052075,0.0,3388355084,False,False,False,,,,
A10_FULL_PUD_FREEZE,0,0,41,0.0,0.28245410323143005,0.0,0.1399296737587514,1.388940561315055,0.75,0.1100000000000001,0.010000000000000009,0.0,0.056135973844157805,0.0,3388355084,False,False,False,0.47727602295031213,0.9027887722645014,0.47727602295031213,0.9027887722645014
A3_P_ONLY,0,0,41,0.0,0.23518191277980804,0.0,0.11681021879122087,1.5120337227914493,0.74,0.08999999999999997,0.030000000000000027,0.0,0.056732970215160904,0.0,3388355084,False,False,False,,,,
A4_P_PLUS_U,0,0,41,0.0,0.28245410323143005,0.0,0.1399296737587514,1.388940561315055,0.75,0.1100000000000001,0.010000000000000009,0.0,0.056135973844157805,0.0,3388355084,False,False,False,,,,
A5_P_PLUS_D,0,0,41,0.0,0.2769746780395508,0.0,0.1629292476382757,1.327733861699395,0.73,0.050000000000000044,-0.010000000000000009,0.0,0.054424543624583044,0.0,3388355084,False,False,False,,,,
A9_PCA_PROTECTED,0,0,41,0.0,0.2012641429901123,0.0,0.1351765586715247,1.6224724634630259,0.75,0.20999999999999996,-0.020000000000000018,0.0,0.05383764259009784,0.0,3388355084,False,False,False,,,,
A2_DUAL_CONTROL,0,0,46,0.0,0.22986619174480438,0.0,0.27472715216006727,1.101337107739,0.68,-0.08999999999999997,0.08999999999999997,0.0,0.05817554180915186,0.0,220498749,False,False,False,,,,
A6_PUD_ALL_ADAPT,0,0,46,0.0777725800871849,0.15463387966156006,0.1544233402259617,0.1366180133238509,1.4245697725516413,0.61,0.040000000000000036,0.009999999999999898,0.06406370516951651,0.05864692362071757,69.2846592852317,220498749,False,False,False,0.573688541455549,0.8687068751586985,0.5981716277760268,0.8556511659889864
A7_IDENTITY_PROTECTED,0,0,46,0.0,0.19626259803771973,0.0,0.16986234774488404,0.3683918221532138,0.64,-0.04999999999999993,0.14,0.0,0.06193234165182441,0.0,220498749,False,False,False,,,,
A8_RANDOM_PROTECTED,0,0,46,0.0,0.22634348273277283,0.0,0.19287264702872817,0.5169181394003778,0.66,0.010000000000000009,0.09999999999999998,0.0,0.06124390858602605,0.0,220498749,False,False,False,,,,
A10_FULL_PUD_FREEZE,0,0,46,0.0,0.15182597935199738,0.0,0.1463940697021509,1.4776489689394512,0.61,0.040000000000000036,0.009999999999999898,0.0,0.0611433197608891,0.0,220498749,False,False,False,0.573688541455549,0.8687068751586985,0.573688541455549,0.8687068751586985
A3_P_ONLY,0,0,46,0.0,0.12001064419746399,0.0,0.12847566610417366,1.6192077637916724,0.6,0.09999999999999998,-0.030000000000000027,0.0,0.06215979305393784,0.0,220498749,False,False,False,,,,
A4_P_PLUS_U,0,0,46,0.0,0.15182597935199738,0.0,0.1463940697021509,1.4776489689394512,0.61,0.040000000000000036,0.009999999999999898,0.0,0.0611433197608891,0.0,220498749,False,False,False,,,,
A5_P_PLUS_D,0,0,46,0.0,0.13956628739833832,0.0,0.1502515889303894,1.601961971576802,0.62,0.030000000000000027,0.0,0.0,0.061150391890859246,0.0,220498749,False,False,False,,,,
A9_PCA_PROTECTED,0,0,46,0.0,0.19397838413715363,0.0,0.23461473974243224,1.7218049022321107,0.63,0.12,0.010000000000000009,0.0,0.056368281472253964,0.0,220498749,False,False,False,,,,
A2_DUAL_CONTROL,0,0,47,0.0,0.47355273365974426,0.0,0.3187112404132517,1.0537644460771733,0.95,0.07000000000000006,0.07999999999999996,0.0,0.0658796172378808,0.0,2481009167,False,False,False,,,,
A6_PUD_ALL_ADAPT,0,0,47,0.16172443330287933,0.46256300806999207,0.2494375998781149,0.15767960887640278,1.422853111947261,0.9299999999999999,0.16999999999999993,0.04999999999999993,0.06939773073158641,0.06287136317555396,70.91490927721856,2481009167,False,False,False,0.7340074206079854,0.8087710901845808,0.7267586053580576,0.8124538917691012
A7_IDENTITY_PROTECTED,0,0,47,0.0,0.4881703853607178,0.0,0.31186284225610844,0.3556621113408411,0.8999999999999999,0.009999999999999898,0.32999999999999985,0.0,0.06514291069935109,0.0,2481009167,False,False,False,,,,
A8_RANDOM_PROTECTED,0,0,47,0.0,0.5006532073020935,0.0,0.542006532578839,0.44558622686298405,0.96,0.020000000000000018,0.28,0.0,0.06176614931294659,0.0,2481009167,False,False,False,,,,
A10_FULL_PUD_FREEZE,0,0,47,0.0,0.4706326127052307,0.0,0.18127681493103712,1.373619921580272,0.96,0.20999999999999996,0.1399999999999999,0.0,0.060388683551956625,0.0,2481009167,False,False,False,0.7340074206079854,0.8087710901845808,0.7340074206079854,0.8087710901845808
A3_P_ONLY,0,0,47,0.0,0.30603650212287903,0.0,0.1800007924286925,1.5296932455425643,0.9299999999999999,0.32999999999999996,0.05999999999999994,0.0,0.06568059163767401,0.0,2481009167,False,False,False,,,,
A4_P_PLUS_U,0,0,47,0.0,0.4706326127052307,0.0,0.18127681493103712,1.373619921580272,0.96,0.20999999999999996,0.1399999999999999,0.0,0.060388683551956625,0.0,2481009167,False,False,False,,,,
A5_P_PLUS_D,0,0,47,0.0,0.3595157563686371,0.0,0.13285825155626832,1.5987028169851003,0.9099999999999999,0.23999999999999988,0.04999999999999982,0.0,0.060375571282073194,0.0,2481009167,False,False,False,,,,
A9_PCA_PROTECTED,0,0,47,0.0,0.2718329131603241,0.0,0.42471592438335287,1.6801524410827227,0.95,0.27,0.040000000000000036,0.0,0.058211343987214136,0.0,2481009167,False,False,False,,,,
A2_DUAL_CONTROL,0,0,49,0.0,0.16657620668411255,0.0,0.15334052375516355,0.9331125397158379,0.8500000000000001,0.02000000000000013,0.06000000000000005,0.0,0.06350049359353015,0.0,1098414556,False,False,False,,,,
A6_PUD_ALL_ADAPT,0,0,49,0.08096681535243988,0.16002193093299866,0.16506815075255507,0.10777331975917288,1.525052116415509,0.8,0.1100000000000001,0.050000000000000044,0.05034536175675173,0.057427315234893486,69.31502294558582,1098414556,False,False,False,0.6050872819286877,0.8337939709185144,0.6021366919538271,0.8386671056480021
A7_IDENTITY_PROTECTED,0,0,49,0.0,0.1671060025691986,0.0,0.19091961741974184,0.3255517352922726,0.85,-0.010000000000000009,0.26,0.0,0.05552568893683544,0.0,1098414556,False,False,False,,,,
A8_RANDOM_PROTECTED,0,0,49,0.0,0.1649547964334488,0.0,0.1950723575463182,0.50054966739979,0.84,0.020000000000000018,0.12,0.0,0.05620006070923782,0.0,1098414556,False,False,False,,,,
A10_FULL_PUD_FREEZE,0,0,49,0.0,0.159749373793602,0.0,0.103098570041211,1.4997013027193258,0.78,0.10000000000000009,0.020000000000000018,0.0,0.059153889263409525,0.0,1098414556,False,False,False,0.6050872819286877,0.8337939709185144,0.6050872819286877,0.8337939709185144
A3_P_ONLY,0,0,49,0.0,0.11042533069849014,0.0,0.0689380839556321,1.6882011539496218,0.82,0.2799999999999999,-1.1102230246251565e-16,0.0,0.05828652194640421,0.0,1098414556,False,False,False,,,,
A4_P_PLUS_U,0,0,49,0.0,0.159749373793602,0.0,0.103098570041211,1.4997013027193258,0.78,0.10000000000000009,0.020000000000000018,0.0,0.059153889263409525,0.0,1098414556,False,False,False,,,,
A5_P_PLUS_D,0,0,49,0.0,0.16563434898853302,0.0,0.11258208598410839,1.601485431700146,0.8200000000000001,0.25,0.0,0.0,0.05859826736474913,0.0,1098414556,False,False,False,,,,
A9_PCA_PROTECTED,0,0,49,0.0,0.11214210838079453,0.0,0.08387097468858414,1.8009219179542262,0.85,0.2899999999999999,-1.1102230246251565e-16,0.0,0.053035443216422985,0.0,1098414556,False,False,False,,,,
