analysis,analysis_role,dataset,subject_cluster,fold,backbone,RMSE_M0,RMSE_MI,RMSE_MD,RMSE_MID,method_family_count,Delta_MI_minus_MD
OPENBMI_EQUAL_CONFIG_SECONDARY,MANDATORY_GRID_WEIGHTING_SENSITIVITY,OPENBMI_STRESS,OB-S001,3,eegconformer,0.044948107188996056,0.04130536899228762,0.04267037953743785,0.04183974333307977,4,-0.0013650105451502303
OPENBMI_EQUAL_CONFIG_SECONDARY,MANDATORY_GRID_WEIGHTING_SENSITIVITY,OPENBMI_STRESS,OB-S002,1,eegconformer,0.05256575580888089,0.05002634797148979,0.04321800040077207,0.04318821818484063,4,0.006808347570717722
OPENBMI_EQUAL_CONFIG_SECONDARY,MANDATORY_GRID_WEIGHTING_SENSITIVITY,OPENBMI_STRESS,OB-S003,4,eegconformer,0.12228254015544547,0.12302728528661681,0.12528049441934286,0.12542971168836087,4,-0.0022532091327260445
OPENBMI_EQUAL_CONFIG_SECONDARY,MANDATORY_GRID_WEIGHTING_SENSITIVITY,OPENBMI_STRESS,OB-S004,3,eegconformer,0.04103604705243588,0.04117433477746442,0.039761430335946896,0.040241440745644605,4,0.0014129044415175235
OPENBMI_EQUAL_CONFIG_SECONDARY,MANDATORY_GRID_WEIGHTING_SENSITIVITY,OPENBMI_STRESS,OB-S005,3,eegconformer,0.1053149176935665,0.09875856261485409,0.09669406406657406,0.09645736750499327,4,0.0020644985482800304
OPENBMI_EQUAL_CONFIG_SECONDARY,MANDATORY_GRID_WEIGHTING_SENSITIVITY,OPENBMI_STRESS,OB-S006,3,eegconformer,0.07972833776075829,0.08709799025956393,0.09135611333517558,0.09137215531623541,4,-0.004258123075611658
OPENBMI_EQUAL_CONFIG_SECONDARY,MANDATORY_GRID_WEIGHTING_SENSITIVITY,OPENBMI_STRESS,OB-S007,4,eegconformer,0.03756845197566459,0.03726261961742669,0.03671906505482096,0.0370304526360849,4,0.0005435545626057275
OPENBMI_EQUAL_CONFIG_SECONDARY,MANDATORY_GRID_WEIGHTING_SENSITIVITY,OPENBMI_STRESS,OB-S008,2,eegconformer,0.04926672607012032,0.050443218505321935,0.055634934533077704,0.055624103807201154,4,-0.005191716027755769
OPENBMI_EQUAL_CONFIG_SECONDARY,MANDATORY_GRID_WEIGHTING_SENSITIVITY,OPENBMI_STRESS,OB-S009,2,eegconformer,0.026509448799523952,0.02725325194370843,0.026705901764607843,0.026852557622201845,4,0.0005473501791005871
OPENBMI_EQUAL_CONFIG_SECONDARY,MANDATORY_GRID_WEIGHTING_SENSITIVITY,OPENBMI_STRESS,OB-S010,4,eegconformer,0.11370705683384788,0.11774110015521012,0.12153432131536673,0.12173728048537072,4,-0.0037932211601566096
OPENBMI_EQUAL_CONFIG_SECONDARY,MANDATORY_GRID_WEIGHTING_SENSITIVITY,OPENBMI_STRESS,OB-S011,1,eegconformer,0.03930535241900249,0.04089023018252775,0.04260420766130199,0.042519849022398803,4,-0.001713977478774241
OPENBMI_EQUAL_CONFIG_SECONDARY,MANDATORY_GRID_WEIGHTING_SENSITIVITY,OPENBMI_STRESS,OB-S012,0,eegconformer,0.04160242611893195,0.04189552669481339,0.04167298656298066,0.04190847306830046,4,0.00022254013183273247
OPENBMI_EQUAL_CONFIG_SECONDARY,MANDATORY_GRID_WEIGHTING_SENSITIVITY,OPENBMI_STRESS,OB-S013,2,eegconformer,0.06440427555268985,0.06369447923832064,0.06169750401319126,0.061673582493050196,4,0.0019969752251293785
OPENBMI_EQUAL_CONFIG_SECONDARY,MANDATORY_GRID_WEIGHTING_SENSITIVITY,OPENBMI_STRESS,OB-S014,0,eegconformer,0.02846773480884481,0.027456762130695783,0.02412496107266505,0.02462868916357334,4,0.003331801058030732
OPENBMI_EQUAL_CONFIG_SECONDARY,MANDATORY_GRID_WEIGHTING_SENSITIVITY,OPENBMI_STRESS,OB-S015,3,eegconformer,0.07219325648596502,0.0649689751385974,0.0622564420503582,0.061834273403535076,4,0.002712533088239197
OPENBMI_EQUAL_CONFIG_SECONDARY,MANDATORY_GRID_WEIGHTING_SENSITIVITY,OPENBMI_STRESS,OB-S016,2,eegconformer,0.06123796424292728,0.06050648564362665,0.058385132413843,0.058363810564172565,4,0.00212135322978365
OPENBMI_EQUAL_CONFIG_SECONDARY,MANDATORY_GRID_WEIGHTING_SENSITIVITY,OPENBMI_STRESS,OB-S017,2,eegconformer,0.051655247500091366,0.05274548743717473,0.056805149299837134,0.05681416380832818,4,-0.004059661862662406
OPENBMI_EQUAL_CONFIG_SECONDARY,MANDATORY_GRID_WEIGHTING_SENSITIVITY,OPENBMI_STRESS,OB-S018,3,eegconformer,0.060361243139913874,0.06618887689925931,0.06963319137013896,0.06972407099462295,4,-0.0034443144708796447
OPENBMI_EQUAL_CONFIG_SECONDARY,MANDATORY_GRID_WEIGHTING_SENSITIVITY,OPENBMI_STRESS,OB-S019,3,eegconformer,0.061765518145017274,0.05380237559976064,0.05145458329211022,0.05068739646619363,4,0.0023477923076504204
OPENBMI_EQUAL_CONFIG_SECONDARY,MANDATORY_GRID_WEIGHTING_SENSITIVITY,OPENBMI_STRESS,OB-S020,4,eegconformer,0.05430426692225853,0.05389639201034255,0.05363437400828333,0.05372395225386354,4,0.00026201800205921666
OPENBMI_EQUAL_CONFIG_SECONDARY,MANDATORY_GRID_WEIGHTING_SENSITIVITY,OPENBMI_STRESS,OB-S021,4,eegconformer,0.10351848547481464,0.10366993075735034,0.10510629250043513,0.10531899590071937,4,-0.0014363617430847853
OPENBMI_EQUAL_CONFIG_SECONDARY,MANDATORY_GRID_WEIGHTING_SENSITIVITY,OPENBMI_STRESS,OB-S022,4,eegconformer,0.053082156362965836,0.055171027184105007,0.058026758017171096,0.057901817159783896,4,-0.002855730833066089
OPENBMI_EQUAL_CONFIG_SECONDARY,MANDATORY_GRID_WEIGHTING_SENSITIVITY,OPENBMI_STRESS,OB-S023,2,eegconformer,0.029461814866963094,0.028705864214031557,0.0273742464889657,0.02732813842839186,4,0.0013316177250658583
OPENBMI_EQUAL_CONFIG_SECONDARY,MANDATORY_GRID_WEIGHTING_SENSITIVITY,OPENBMI_STRESS,OB-S024,0,eegconformer,0.061071548650178595,0.06326488023499774,0.0660190440302427,0.06605682229248254,4,-0.002754163795244957
OPENBMI_EQUAL_CONFIG_SECONDARY,MANDATORY_GRID_WEIGHTING_SENSITIVITY,OPENBMI_STRESS,OB-S025,0,eegconformer,0.07725449131835829,0.07611540334106857,0.0730523576632478,0.07355920627706505,4,0.003063045677820772
OPENBMI_EQUAL_CONFIG_SECONDARY,MANDATORY_GRID_WEIGHTING_SENSITIVITY,OPENBMI_STRESS,OB-S026,1,eegconformer,0.06209054354005584,0.06012521534629897,0.053572913961883226,0.0534278019786989,4,0.006552301384415746
OPENBMI_EQUAL_CONFIG_SECONDARY,MANDATORY_GRID_WEIGHTING_SENSITIVITY,OPENBMI_STRESS,OB-S027,3,eegconformer,0.07681178184448346,0.07796388161484501,0.08023859245970474,0.07982939285246352,4,-0.002274710844859737
OPENBMI_EQUAL_CONFIG_SECONDARY,MANDATORY_GRID_WEIGHTING_SENSITIVITY,OPENBMI_STRESS,OB-S028,4,eegconformer,0.09030912720708742,0.09232353097977344,0.0954632162502144,0.09536972451583817,4,-0.0031396852704409506
OPENBMI_EQUAL_CONFIG_SECONDARY,MANDATORY_GRID_WEIGHTING_SENSITIVITY,OPENBMI_STRESS,OB-S029,1,eegconformer,0.08053045656035217,0.0853538241689319,0.09399441588751418,0.09396619897712848,4,-0.00864059171858228
OPENBMI_EQUAL_CONFIG_SECONDARY,MANDATORY_GRID_WEIGHTING_SENSITIVITY,OPENBMI_STRESS,OB-S030,0,eegconformer,0.08359556990405824,0.08644752142473441,0.09207045028353487,0.09192089781624123,4,-0.0056229288588004606
OPENBMI_EQUAL_CONFIG_SECONDARY,MANDATORY_GRID_WEIGHTING_SENSITIVITY,OPENBMI_STRESS,OB-S031,1,eegconformer,0.08870275203730912,0.09443494965610315,0.10380881840354383,0.103747749895987,4,-0.009373868747440686
OPENBMI_EQUAL_CONFIG_SECONDARY,MANDATORY_GRID_WEIGHTING_SENSITIVITY,OPENBMI_STRESS,OB-S032,1,eegconformer,0.06578825053260648,0.06964036034056653,0.07626100132890841,0.07617646218588982,4,-0.006620640988341878
OPENBMI_EQUAL_CONFIG_SECONDARY,MANDATORY_GRID_WEIGHTING_SENSITIVITY,OPENBMI_STRESS,OB-S033,2,eegconformer,0.024388497020121604,0.02435108904362828,0.023669836630631953,0.023691653759105483,4,0.0006812524129963284
OPENBMI_EQUAL_CONFIG_SECONDARY,MANDATORY_GRID_WEIGHTING_SENSITIVITY,OPENBMI_STRESS,OB-S034,0,eegconformer,0.04427470253633672,0.0447595196908481,0.04419229234717068,0.044393181562730186,4,0.0005672273436774164
OPENBMI_EQUAL_CONFIG_SECONDARY,MANDATORY_GRID_WEIGHTING_SENSITIVITY,OPENBMI_STRESS,OB-S035,0,eegconformer,0.062008193556347714,0.06082116680714925,0.05746573549546384,0.057893779444361415,4,0.0033554313116854126
OPENBMI_EQUAL_CONFIG_SECONDARY,MANDATORY_GRID_WEIGHTING_SENSITIVITY,OPENBMI_STRESS,OB-S036,1,eegconformer,0.05692488086871822,0.05430143518518859,0.04846013989744784,0.04844473629754827,4,0.005841295287740751
OPENBMI_EQUAL_CONFIG_SECONDARY,MANDATORY_GRID_WEIGHTING_SENSITIVITY,OPENBMI_STRESS,OB-S037,0,eegconformer,0.043180561144978716,0.04149423882091194,0.03804187724182912,0.03850680666385022,4,0.0034523615790828174
